rank,brand,tier,mention_pct,rank_som,primary_pct,aias,openai_aias,anthropic_aias,google_aias
1,Linear,challenger,79.1,47.2,41.8,100.0,101.2,129.5,54.9
2,Asana,incumbent,79.1,39.8,32.8,92.0,103.6,63.8,116.2
3,Jira,incumbent,74.6,36.1,25.4,83.8,90.5,70.0,94.4
4,Notion,mid-tier,74.6,22.4,31.3,76.6,81.6,83.6,58.9
5,ClickUp,mid-tier,73.1,24.5,28.4,76.0,100.6,36.0,98.6
6,Monday,incumbent,55.2,15.2,14.9,52.9,49.6,30.1,91.5
7,Trello,incumbent,37.3,16.3,19.4,43.0,35.2,35.2,66.0
8,Shortcut,challenger,19.4,4.1,4.5,17.5,18.5,16.7,17.2
9,Height,challenger,17.9,4.7,1.5,15.9,16.2,23.6,4.2
10,Motion,challenger,10.4,8.0,1.5,13.1,28.5,0.0,9.5
11,Airtable,mid-tier,11.9,1.4,3.0,10.1,21.0,0.0,8.7
12,Smartsheet,mid-tier,10.4,1.9,0.0,8.4,9.1,0.0,19.7
13,Basecamp,mid-tier,6.0,0.7,0.0,4.5,5.8,6.4,0.0
14,Wrike,mid-tier,4.5,0.6,0.0,3.4,6.0,0.0,4.7
15,Todoist,challenger,0.0,0.0,0.0,0.0,0.0,0.0,0.0
