Reading: results_v2_household_v1.0_final.csv
Category: household goods retailers
Registry: 21 brands
Re-extracting 288 successful responses...

  [  1/288] p1_functional      | anthropic_sonnet   | run 1 -> 10 known, 1 unknown
  [  2/288] p1_functional      | anthropic_sonnet   | run 2 -> 10 known, 1 unknown
  [  3/288] p1_functional      | anthropic_sonnet   | run 3 -> 10 known, 1 unknown
  [  4/288] p1_functional      | anthropic_sonnet   | run 4 -> 10 known, 1 unknown
  [  5/288] p1_functional      | anthropic_sonnet   | run 5 -> 11 known, 1 unknown
  [  6/288] p1_functional      | anthropic_sonnet   | run 6 -> 11 known, 2 unknown
  [  7/288] p1_functional      | anthropic_sonnet   | run 7 -> 10 known, 1 unknown
  [  8/288] p1_functional      | anthropic_sonnet   | run 8 -> 10 known, 3 unknown
  [  9/288] p1_functional      | anthropic_opus     | run 1 -> 10 known, 7 unknown
  [ 10/288] p1_functional      | anthropic_opus     | run 2 -> 13 known, 7 unknown
  [ 11/288] p1_functional      | anthropic_opus     | run 3 -> 12 known, 5 unknown
  [ 12/288] p1_functional      | anthropic_opus     | run 4 -> 12 known, 5 unknown
  [ 13/288] p1_functional      | anthropic_opus     | run 5 -> 12 known, 3 unknown
  [ 14/288] p1_functional      | anthropic_opus     | run 6 -> 13 known, 5 unknown
  [ 15/288] p1_functional      | anthropic_opus     | run 7 -> 13 known, 5 unknown
  [ 16/288] p1_functional      | anthropic_opus     | run 8 -> 11 known, 4 unknown
  [ 17/288] p1_functional      | openai_mini        | run 1 -> 6 known, 3 unknown
  [ 18/288] p1_functional      | openai_mini        | run 2 -> 6 known, 2 unknown
  [ 19/288] p1_functional      | openai_mini        | run 3 -> 6 known, 0 unknown
  [ 20/288] p1_functional      | openai_mini        | run 4 -> 6 known, 3 unknown
  [ 21/288] p1_functional      | openai_mini        | run 5 -> 6 known, 2 unknown
  [ 22/288] p1_functional      | openai_mini        | run 6 -> 6 known, 4 unknown
  [ 23/288] p1_functional      | openai_mini        | run 7 -> 6 known, 2 unknown
  [ 24/288] p1_functional      | openai_mini        | run 8 -> 7 known, 0 unknown
  [ 25/288] p1_functional      | openai_flagship    | run 1 -> 8 known, 2 unknown
  [ 26/288] p1_functional      | openai_flagship    | run 2 -> 6 known, 3 unknown
  [ 27/288] p1_functional      | openai_flagship    | run 3 -> 8 known, 3 unknown
  [ 28/288] p1_functional      | openai_flagship    | run 4 -> 6 known, 8 unknown
  [ 29/288] p1_functional      | openai_flagship    | run 5 -> 6 known, 5 unknown
  [ 30/288] p1_functional      | openai_flagship    | run 6 -> 6 known, 3 unknown
  [ 31/288] p1_functional      | openai_flagship    | run 7 -> 8 known, 7 unknown
  [ 32/288] p1_functional      | openai_flagship    | run 8 -> 11 known, 3 unknown
  [ 33/288] p1_functional      | google_flash       | run 1 -> 11 known, 7 unknown
  [ 34/288] p1_functional      | google_flash       | run 2 -> 9 known, 15 unknown
  [ 35/288] p1_functional      | google_flash       | run 3 -> 6 known, 6 unknown
  [ 36/288] p1_functional      | google_flash       | run 4 -> 7 known, 11 unknown
  [ 37/288] p1_functional      | google_flash       | run 5 -> 11 known, 8 unknown
  [ 38/288] p1_functional      | google_flash       | run 6 -> 6 known, 14 unknown
  [ 39/288] p1_functional      | google_flash       | run 7 -> 9 known, 14 unknown
