prompt_id,model_slot,run_idx,prior_status
knives_b3_en_fr,google_flash,4,never_attempted
knives_b3_en_fr,google_flash,5,never_attempted
knives_b3_en_fr,google_flash,6,never_attempted
knives_b3_en_fr,google_flash,7,never_attempted
knives_b3_en_fr,google_flash,8,never_attempted
knives_b3_en_fr,xai_grok,1,never_attempted
knives_b3_en_fr,xai_grok,2,never_attempted
knives_b3_en_fr,xai_grok,3,never_attempted
knives_b3_en_fr,xai_grok,4,never_attempted
knives_b3_en_fr,xai_grok,5,never_attempted
knives_b3_en_fr,xai_grok,6,never_attempted
knives_b3_en_fr,xai_grok,7,never_attempted
knives_b3_en_fr,xai_grok,8,never_attempted
knives_b3_en_zh,anthropic_sonnet,1,never_attempted
knives_b3_en_zh,anthropic_sonnet,2,never_attempted
knives_b3_en_zh,anthropic_sonnet,3,never_attempted
knives_b3_en_zh,anthropic_sonnet,4,never_attempted
knives_b3_en_zh,anthropic_sonnet,5,never_attempted
knives_b3_en_zh,anthropic_sonnet,6,never_attempted
knives_b3_en_zh,anthropic_sonnet,7,never_attempted
knives_b3_en_zh,anthropic_sonnet,8,never_attempted
knives_b3_en_zh,anthropic_opus,1,never_attempted
knives_b3_en_zh,anthropic_opus,2,never_attempted
knives_b3_en_zh,anthropic_opus,3,never_attempted
knives_b3_en_zh,anthropic_opus,4,never_attempted
knives_b3_en_zh,anthropic_opus,5,never_attempted
knives_b3_en_zh,anthropic_opus,6,never_attempted
knives_b3_en_zh,anthropic_opus,7,never_attempted
knives_b3_en_zh,anthropic_opus,8,never_attempted
knives_b3_en_zh,openai_mini,1,never_attempted
knives_b3_en_zh,openai_mini,2,never_attempted
knives_b3_en_zh,openai_mini,3,never_attempted
knives_b3_en_zh,openai_mini,4,never_attempted
knives_b3_en_zh,openai_mini,5,never_attempted
knives_b3_en_zh,openai_mini,6,never_attempted
knives_b3_en_zh,openai_mini,7,never_attempted
knives_b3_en_zh,openai_mini,8,never_attempted
knives_b3_en_zh,openai_flagship,1,never_attempted
knives_b3_en_zh,openai_flagship,2,never_attempted
knives_b3_en_zh,openai_flagship,3,never_attempted
knives_b3_en_zh,openai_flagship,4,never_attempted
knives_b3_en_zh,openai_flagship,5,never_attempted
knives_b3_en_zh,openai_flagship,6,never_attempted
knives_b3_en_zh,openai_flagship,7,never_attempted
knives_b3_en_zh,openai_flagship,8,never_attempted
knives_b3_en_zh,google_flash,1,never_attempted
knives_b3_en_zh,google_flash,2,never_attempted
knives_b3_en_zh,google_flash,3,never_attempted
knives_b3_en_zh,google_flash,4,never_attempted
knives_b3_en_zh,google_flash,5,never_attempted
knives_b3_en_zh,google_flash,6,never_attempted
knives_b3_en_zh,google_flash,7,never_attempted
knives_b3_en_zh,google_flash,8,never_attempted
knives_b3_en_zh,xai_grok,1,never_attempted
knives_b3_en_zh,xai_grok,2,never_attempted
knives_b3_en_zh,xai_grok,3,never_attempted
knives_b3_en_zh,xai_grok,4,never_attempted
knives_b3_en_zh,xai_grok,5,never_attempted
knives_b3_en_zh,xai_grok,6,never_attempted
knives_b3_en_zh,xai_grok,7,never_attempted
knives_b3_en_zh,xai_grok,8,never_attempted
knives_b4_ja_01,anthropic_sonnet,1,never_attempted
knives_b4_ja_01,anthropic_sonnet,2,never_attempted
knives_b4_ja_01,anthropic_sonnet,3,never_attempted
knives_b4_ja_01,anthropic_sonnet,4,never_attempted
knives_b4_ja_01,anthropic_sonnet,5,never_attempted
knives_b4_ja_01,anthropic_sonnet,6,never_attempted
knives_b4_ja_01,anthropic_sonnet,7,never_attempted
knives_b4_ja_01,anthropic_sonnet,8,never_attempted
knives_b4_ja_01,anthropic_opus,1,never_attempted
knives_b4_ja_01,anthropic_opus,2,never_attempted
knives_b4_ja_01,anthropic_opus,3,never_attempted
knives_b4_ja_01,anthropic_opus,4,never_attempted
knives_b4_ja_01,anthropic_opus,5,never_attempted
knives_b4_ja_01,anthropic_opus,6,never_attempted
knives_b4_ja_01,anthropic_opus,7,never_attempted
knives_b4_ja_01,anthropic_opus,8,never_attempted
knives_b4_ja_01,openai_mini,1,never_attempted
knives_b4_ja_01,openai_mini,2,never_attempted
knives_b4_ja_01,openai_mini,3,never_attempted
knives_b4_ja_01,openai_mini,4,never_attempted
knives_b4_ja_01,openai_mini,5,never_attempted
knives_b4_ja_01,openai_mini,6,never_attempted
knives_b4_ja_01,openai_mini,7,never_attempted
knives_b4_ja_01,openai_mini,8,never_attempted
knives_b4_ja_01,openai_flagship,1,never_attempted
knives_b4_ja_01,openai_flagship,2,never_attempted
knives_b4_ja_01,openai_flagship,3,never_attempted
knives_b4_ja_01,openai_flagship,4,never_attempted
knives_b4_ja_01,openai_flagship,5,never_attempted
knives_b4_ja_01,openai_flagship,6,never_attempted
knives_b4_ja_01,openai_flagship,7,never_attempted
knives_b4_ja_01,openai_flagship,8,never_attempted
knives_b4_ja_01,google_flash,1,never_attempted
knives_b4_ja_01,google_flash,2,never_attempted
knives_b4_ja_01,google_flash,3,never_attempted
knives_b4_ja_01,google_flash,4,never_attempted
knives_b4_ja_01,google_flash,5,never_attempted
knives_b4_ja_01,google_flash,6,never_attempted
knives_b4_ja_01,google_flash,7,never_attempted
knives_b4_ja_01,google_flash,8,never_attempted
knives_b4_ja_01,xai_grok,1,never_attempted
knives_b4_ja_01,xai_grok,2,never_attempted
knives_b4_ja_01,xai_grok,3,never_attempted
knives_b4_ja_01,xai_grok,4,never_attempted
knives_b4_ja_01,xai_grok,5,never_attempted
knives_b4_ja_01,xai_grok,6,never_attempted
knives_b4_ja_01,xai_grok,7,never_attempted
knives_b4_ja_01,xai_grok,8,never_attempted
knives_b4_de_01,anthropic_sonnet,1,never_attempted
knives_b4_de_01,anthropic_sonnet,2,never_attempted
knives_b4_de_01,anthropic_sonnet,3,never_attempted
knives_b4_de_01,anthropic_sonnet,4,never_attempted
knives_b4_de_01,anthropic_sonnet,5,never_attempted
knives_b4_de_01,anthropic_sonnet,6,never_attempted
knives_b4_de_01,anthropic_sonnet,7,never_attempted
knives_b4_de_01,anthropic_sonnet,8,never_attempted
knives_b4_de_01,anthropic_opus,1,never_attempted
knives_b4_de_01,anthropic_opus,2,never_attempted
knives_b4_de_01,anthropic_opus,3,never_attempted
knives_b4_de_01,anthropic_opus,4,never_attempted
knives_b4_de_01,anthropic_opus,5,never_attempted
knives_b4_de_01,anthropic_opus,6,never_attempted
knives_b4_de_01,anthropic_opus,7,never_attempted
knives_b4_de_01,anthropic_opus,8,never_attempted
knives_b4_de_01,openai_mini,1,never_attempted
knives_b4_de_01,openai_mini,2,never_attempted
knives_b4_de_01,openai_mini,3,never_attempted
knives_b4_de_01,openai_mini,4,never_attempted
knives_b4_de_01,openai_mini,5,never_attempted
knives_b4_de_01,openai_mini,6,never_attempted
knives_b4_de_01,openai_mini,7,never_attempted
knives_b4_de_01,openai_mini,8,never_attempted
knives_b4_de_01,openai_flagship,1,never_attempted
knives_b4_de_01,openai_flagship,2,never_attempted
knives_b4_de_01,openai_flagship,3,never_attempted
knives_b4_de_01,openai_flagship,4,never_attempted
knives_b4_de_01,openai_flagship,5,never_attempted
knives_b4_de_01,openai_flagship,6,never_attempted
knives_b4_de_01,openai_flagship,7,never_attempted
knives_b4_de_01,openai_flagship,8,never_attempted
knives_b4_de_01,google_flash,1,never_attempted
knives_b4_de_01,google_flash,2,never_attempted
knives_b4_de_01,google_flash,3,never_attempted
knives_b4_de_01,google_flash,4,never_attempted
knives_b4_de_01,google_flash,5,never_attempted
knives_b4_de_01,google_flash,6,never_attempted
knives_b4_de_01,google_flash,7,never_attempted
knives_b4_de_01,google_flash,8,never_attempted
knives_b4_de_01,xai_grok,1,never_attempted
knives_b4_de_01,xai_grok,2,never_attempted
knives_b4_de_01,xai_grok,3,never_attempted
knives_b4_de_01,xai_grok,4,never_attempted
knives_b4_de_01,xai_grok,5,never_attempted
knives_b4_de_01,xai_grok,6,never_attempted
knives_b4_de_01,xai_grok,7,never_attempted
knives_b4_de_01,xai_grok,8,never_attempted
knives_b4_fr_01,anthropic_sonnet,1,never_attempted
knives_b4_fr_01,anthropic_sonnet,2,never_attempted
knives_b4_fr_01,anthropic_sonnet,3,never_attempted
knives_b4_fr_01,anthropic_sonnet,4,never_attempted
knives_b4_fr_01,anthropic_sonnet,5,never_attempted
knives_b4_fr_01,anthropic_sonnet,6,never_attempted
knives_b4_fr_01,anthropic_sonnet,7,never_attempted
knives_b4_fr_01,anthropic_sonnet,8,never_attempted
