rank,brand,tier,presence,consistency,rank_som,primary_pct,presence_anthropic,presence_openai
1,California Olive Ranch,incumbent,69.8,81.0,47.2,16.7,79.2,60.4
2,Cobram Estate,incumbent,49.0,85.0,18.9,15.6,43.8,54.2
3,Brightland,challenger,45.8,74.3,14.3,6.2,54.2,37.5
4,Frantoio Muraglia,mid-tier,28.1,31.9,9.9,0.0,14.6,41.7
5,Graza,challenger,28.1,63.3,10.8,4.2,20.8,35.4
6,Kosterina,challenger,27.1,67.4,9.6,5.2,20.8,33.3
7,Castillo de Canena,mid-tier,22.9,10.0,6.5,3.1,8.3,37.5
8,Frescobaldi Laudemio,challenger,21.9,0.0,14.7,3.1,41.7,2.1
9,Lucini,mid-tier,19.8,77.7,5.8,1.0,16.7,22.9
10,Olio Verde,challenger,16.7,100.0,3.8,1.0,16.7,16.7
11,McEvoy Ranch,mid-tier,9.4,84.3,1.3,1.0,10.4,8.3
12,Manni,mid-tier,5.2,15.1,0.7,1.0,8.3,2.1
13,Colonna,mid-tier,5.2,0.0,1.9,0.0,10.4,0.0
14,Núñez de Prado,challenger,5.2,0.0,0.9,1.0,10.4,0.0
15,Colavita,incumbent,4.2,0.0,0.5,0.0,0.0,8.3
16,Partanna,mid-tier,3.1,0.0,0.5,1.0,0.0,6.2
17,Bertolli,incumbent,2.1,100.0,0.4,0.0,2.1,2.1
18,Filippo Berio,incumbent,1.0,0.0,0.1,0.0,0.0,2.1
19,Goya,incumbent,0.0,0.0,0.0,0.0,0.0,0.0
20,Fly By Jing,challenger,0.0,0.0,0.0,0.0,0.0,0.0
