rank,brand,tier,presence,consistency,rank_som,primary_pct,presence_anthropic,presence_openai
1,Linear,challenger,86.5,77.8,56.7,43.8,100.0,72.9
2,Asana,incumbent,80.2,76.1,37.6,32.3,66.7,93.8
3,Notion,mid-tier,79.2,96.3,24.2,20.8,81.2,77.1
4,Jira,incumbent,78.1,90.6,40.9,21.9,72.9,83.3
5,ClickUp,mid-tier,62.5,52.9,19.9,16.7,41.7,83.3
6,Monday,incumbent,59.4,77.7,15.9,8.3,50.0,68.8
7,GitHub Projects,challenger,42.7,69.0,8.7,3.1,52.1,33.3
8,Trello,incumbent,33.3,55.8,14.7,13.5,22.9,43.8
9,Shortcut,challenger,21.9,93.3,4.1,0.0,22.9,20.8
10,Confluence,incumbent,20.8,71.7,3.6,0.0,16.7,25.0
11,Height,challenger,15.6,52.9,4.7,0.0,20.8,10.4
12,Airtable,mid-tier,12.5,5.7,1.6,2.1,4.2,20.8
13,Smartsheet,mid-tier,8.3,0.0,0.8,1.0,0.0,16.7
14,Wrike,mid-tier,8.3,0.0,0.9,1.0,0.0,16.7
15,Coda,mid-tier,8.3,0.0,0.7,2.1,0.0,16.7
16,Motion,challenger,8.3,0.0,4.1,2.1,0.0,16.7
17,Basecamp,mid-tier,5.2,71.7,0.6,0.0,6.2,4.2
18,Workfront,mid-tier,1.0,0.0,0.1,0.0,0.0,2.1
19,Todoist,challenger,1.0,0.0,0.1,0.0,0.0,2.1
