rank,brand,tier,presence,consistency,rank_som,primary_pct,presence_anthropic,presence_openai
1,Asics,incumbent,80.2,94.5,40.1,11.5,77.1,83.3
2,Brooks,incumbent,80.2,98.2,51.0,3.1,79.2,81.2
3,Saucony,mid-tier,78.1,90.6,22.4,10.4,72.9,83.3
4,New Balance,incumbent,77.1,92.4,18.1,1.0,81.2,72.9
5,Hoka,challenger,71.9,81.6,15.8,1.0,62.5,81.2
6,Nike,incumbent,57.3,76.9,35.0,1.0,47.9,66.7
7,Adidas,incumbent,24.0,81.6,11.4,0.0,20.8,27.1
8,Puma,mid-tier,16.7,0.0,2.6,1.0,2.1,31.2
9,Norda,challenger,16.7,100.0,14.4,1.0,16.7,16.7
10,Topo Athletic,challenger,12.5,52.9,5.4,1.0,16.7,8.3
11,On,challenger,9.4,52.9,1.5,0.0,6.2,12.5
12,Mizuno,mid-tier,5.2,0.0,0.8,0.0,0.0,10.4
13,Salomon,challenger,5.2,0.0,1.5,1.0,10.4,0.0
14,Altra,challenger,3.1,52.9,0.5,0.0,2.1,4.2
15,Tracksmith,challenger,2.1,0.0,0.8,0.0,0.0,4.2
16,Under Armour,mid-tier,1.0,0.0,0.1,0.0,0.0,2.1
17,Reebok,mid-tier,0.0,0.0,0.0,0.0,0.0,0.0
