rank,brand,tier,presence,consistency,rank_som,primary_pct,presence_anthropic,presence_openai
1,CeraVe,incumbent,65.6,97.8,52.3,27.1,66.7,64.6
2,Neutrogena,incumbent,36.5,79.8,9.9,1.0,41.7,31.2
3,Cetaphil,incumbent,34.4,95.7,11.2,4.2,33.3,35.4
4,Skinceuticals,challenger,30.2,95.1,12.1,10.4,31.2,29.2
5,Tatcha,mid-tier,17.7,41.8,2.8,1.0,25.0,10.4
6,Drunk Elephant,challenger,16.7,100.0,3.8,1.0,16.7,16.7
7,The Ordinary,challenger,15.6,52.9,2.5,4.2,10.4,20.8
8,Paula's Choice,challenger,10.4,0.0,2.9,7.3,20.8,0.0
9,Augustinus Bader,challenger,5.2,0.0,0.8,0.0,0.0,10.4
10,Youth to the People,challenger,4.2,0.0,0.4,0.0,0.0,8.3
11,La Mer,incumbent,3.1,52.9,1.2,0.0,2.1,4.2
12,Estée Lauder,incumbent,3.1,0.0,0.6,0.0,0.0,6.2
13,Clinique,incumbent,3.1,0.0,0.5,0.0,0.0,6.2
14,Kiehl's,mid-tier,2.1,0.0,0.4,0.0,4.2,0.0
15,Lancôme,incumbent,1.0,0.0,0.1,0.0,0.0,2.1
16,Sunday Riley,challenger,1.0,0.0,0.2,0.0,2.1,0.0
17,SK-II,incumbent,0.0,0.0,0.0,0.0,0.0,0.0
18,Olay,incumbent,0.0,0.0,0.0,0.0,0.0,0.0
19,Origins,mid-tier,0.0,0.0,0.0,0.0,0.0,0.0
20,Dermalogica,mid-tier,0.0,0.0,0.0,0.0,0.0,0.0
21,Murad,mid-tier,0.0,0.0,0.0,0.0,0.0,0.0
22,Glossier,challenger,0.0,0.0,0.0,0.0,0.0,0.0
23,Beauty of Joseon,challenger,0.0,0.0,0.0,0.0,0.0,0.0
