rank,brand,tier,mention_rate_pct,aias_score,openai_pct,anthropic_pct,google_pct
1,Asana,incumbent,79.1,100.0,92.0,60.0,88.2
2,Jira,incumbent,79.1,100.0,80.0,76.0,82.4
3,Linear,challenger,79.1,100.0,80.0,100.0,47.1
4,Notion,mid-tier,74.6,94.3,80.0,80.0,58.8
5,ClickUp,mid-tier,73.1,92.5,92.0,40.0,94.1
6,Monday,incumbent,55.2,69.8,56.0,32.0,88.2
7,Trello,incumbent,37.3,47.2,32.0,32.0,52.9
8,Shortcut,challenger,19.4,24.5,20.0,20.0,17.6
9,Height,challenger,17.9,22.6,20.0,24.0,5.9
10,Airtable,mid-tier,11.9,15.1,24.0,0.0,11.8
11,Smartsheet,mid-tier,10.4,13.2,12.0,0.0,23.5
12,Motion,challenger,10.4,13.2,20.0,0.0,11.8
13,Basecamp,mid-tier,6.0,7.5,8.0,8.0,0.0
14,Wrike,mid-tier,4.5,5.7,8.0,0.0,5.9
15,Todoist,challenger,0.0,0.0,0.0,0.0,0.0
