==============================================================================
v0.9 Extraction Wrapper
Categories: ['finance']
Waves:      ['v06', 'v09']
Started:    2026-05-07T19:08:16
==============================================================================

==============================================================================
Category: finance (personal finance apps) — registry: 16 brands
==============================================================================

  Wave: v0.6 (t₁) — re-extracting 96 rows from data/finance/results_v2_20260430_181613.csv
  [   1/96] p1_functional  | openai_mini        | run 1 -> 6 canon, 0 unk
  [   2/96] p1_functional  | openai_mini        | run 2 -> 5 canon, 0 unk
  [   3/96] p1_functional  | openai_mini        | run 3 -> 5 canon, 1 unk
  [   4/96] p1_functional  | openai_mini        | run 4 -> 5 canon, 0 unk
  [   5/96] p1_functional  | openai_mini        | run 5 -> 5 canon, 0 unk
  [   6/96] p1_functional  | openai_mini        | run 6 -> 5 canon, 0 unk
  [   7/96] p1_functional  | openai_mini        | run 7 -> 5 canon, 0 unk
  [   8/96] p1_functional  | openai_mini        | run 8 -> 5 canon, 1 unk
  [   9/96] p1_functional  | anthropic_sonnet   | run 1 -> 5 canon, 2 unk
  [  10/96] p1_functional  | anthropic_sonnet   | run 2 -> 5 canon, 0 unk
  [  11/96] p1_functional  | anthropic_sonnet   | run 3 -> 5 canon, 1 unk
  [  12/96] p1_functional  | anthropic_sonnet   | run 4 -> 6 canon, 0 unk
  [  13/96] p1_functional  | anthropic_sonnet   | run 5 -> 6 canon, 0 unk
  [  14/96] p1_functional  | anthropic_sonnet   | run 6 -> 6 canon, 0 unk
  [  15/96] p1_functional  | anthropic_sonnet   | run 7 -> 5 canon, 0 unk
  [  16/96] p1_functional  | anthropic_sonnet   | run 8 -> 4 canon, 2 unk
  [  17/96] p2_contextual  | openai_mini        | run 1 -> 3 canon, 5 unk
  [  18/96] p2_contextual  | openai_mini        | run 2 -> 3 canon, 8 unk
  [  19/96] p2_contextual  | openai_mini        | run 3 -> 4 canon, 3 unk
  [  20/96] p2_contextual  | openai_mini        | run 4 -> 3 canon, 2 unk
  [  21/96] p2_contextual  | openai_mini        | run 5 -> 4 canon, 1 unk
  [  22/96] p2_contextual  | openai_mini        | run 6 -> 3 canon, 4 unk
  [  23/96] p2_contextual  | openai_mini        | run 7 -> 3 canon, 4 unk
  [  24/96] p2_contextual  | openai_mini        | run 8 -> 3 canon, 1 unk
  [  25/96] p2_contextual  | anthropic_sonnet   | run 1 -> 3 canon, 5 unk
  [  26/96] p2_contextual  | anthropic_sonnet   | run 2 -> 4 canon, 5 unk
  [  27/96] p2_contextual  | anthropic_sonnet   | run 3 -> 1 canon, 6 unk
  [  28/96] p2_contextual  | anthropic_sonnet   | run 4 -> 4 canon, 5 unk
  [  29/96] p2_contextual  | anthropic_sonnet   | run 5 -> 2 canon, 6 unk
  [  30/96] p2_contextual  | anthropic_sonnet   | run 6 -> 1 canon, 8 unk
  [  31/96] p2_contextual  | anthropic_sonnet   | run 7 -> 3 canon, 4 unk
  [  32/96] p2_contextual  | anthropic_sonnet   | run 8 -> 4 canon, 4 unk
  [  33/96] p3_constraint  | openai_mini        | run 1 -> 6 canon, 5 unk
  [  34/96] p3_constraint  | openai_mini        | run 2 -> 4 canon, 2 unk
  [  35/96] p3_constraint  | openai_mini        | run 3 -> 3 canon, 3 unk
  [  36/96] p3_constraint  | openai_mini        | run 4 -> 4 canon, 1 unk
  [  37/96] p3_constraint  | openai_mini        | run 5 -> 4 canon, 2 unk
  [  38/96] p3_constraint  | openai_mini        | run 6 -> 5 canon, 4 unk
  [  39/96] p3_constraint  | openai_mini        | run 7 -> 4 canon, 2 unk
  [  40/96] p3_constraint  | openai_mini        | run 8 -> 3 canon, 2 unk
  [  41/96] p3_constraint  | anthropic_sonnet   | run 1 -> 3 canon, 1 unk
  [  42/96] p3_constraint  | anthropic_sonnet   | run 2 -> 3 canon, 2 unk
  [  43/96] p3_constraint  | anthropic_sonnet   | run 3 -> 3 canon, 1 unk
  [  44/96] p3_constraint  | anthropic_sonnet   | run 4 -> 3 canon, 1 unk
  [  45/96] p3_constraint  | anthropic_sonnet   | run 5 -> 3 canon, 1 unk
  [  46/96] p3_constraint  | anthropic_sonnet   | run 6 -> 3 canon, 1 unk
  [  47/96] p3_constraint  | anthropic_sonnet   | run 7 -> 3 canon, 1 unk
  [  48/96] p3_constraint  | anthropic_sonnet   | run 8 -> 4 canon, 2 unk
  [  49/96] p4_identity    | openai_mini        | run 1 -> 5 canon, 14 unk
  [  50/96] p4_identity    | openai_mini        | run 2 -> 7 canon, 13 unk
  [  51/96] p4_identity    | openai_mini        | run 3 -> 6 canon, 0 unk
  [  52/96] p4_identity    | openai_mini        | run 4 -> 8 canon, 11 unk
  [  53/96] p4_identity    | openai_mini        | run 5 -> 6 canon, 12 unk
  [  54/96] p4_identity    | openai_mini        | run 6 -> 5 canon, 11 unk
  [  55/96] p4_identity    | openai_mini        | run 7 -> 5 canon, 12 unk
  [  56/96] p4_identity    | openai_mini        | run 8 -> 5 canon, 23 unk
  [  57/96] p4_identity    | anthropic_sonnet   | run 1 -> 3 canon, 5 unk
  [  58/96] p4_identity    | anthropic_sonnet   | run 2 -> 4 canon, 4 unk
  [  59/96] p4_identity    | anthropic_sonnet   | run 3 -> 3 canon, 5 unk
  [  60/96] p4_identity    | anthropic_sonnet   | run 4 -> 5 canon, 5 unk
  [  61/96] p4_identity    | anthropic_sonnet   | run 5 -> 2 canon, 8 unk
  [  62/96] p4_identity    | anthropic_sonnet   | run 6 -> 5 canon, 5 unk
  [  63/96] p4_identity    | anthropic_sonnet   | run 7 -> 3 canon, 4 unk
  [  64/96] p4_identity    | anthropic_sonnet   | run 8 -> 3 canon, 4 unk
  [  65/96] p5_discovery   | openai_mini        | run 1 -> 9 canon, 1 unk
  [  66/96] p5_discovery   | openai_mini        | run 2 -> 7 canon, 0 unk
  [  67/96] p5_discovery   | openai_mini        | run 3 -> 7 canon, 1 unk
  [  68/96] p5_discovery   | openai_mini        | run 4 -> 7 canon, 1 unk
  [  69/96] p5_discovery   | openai_mini        | run 5 -> 7 canon, 2 unk
  [  70/96] p5_discovery   | openai_mini        | run 6 -> 9 canon, 0 unk
  [  71/96] p5_discovery   | openai_mini        | run 7 -> 8 canon, 2 unk
  [  72/96] p5_discovery   | openai_mini        | run 8 -> 6 canon, 1 unk
  [  73/96] p5_discovery   | anthropic_sonnet   | run 1 -> 8 canon, 2 unk
  [  74/96] p5_discovery   | anthropic_sonnet   | run 2 -> 6 canon, 3 unk
  [  75/96] p5_discovery   | anthropic_sonnet   | run 3 -> 7 canon, 1 unk
  [  76/96] p5_discovery   | anthropic_sonnet   | run 4 -> 6 canon, 1 unk
  [  77/96] p5_discovery   | anthropic_sonnet   | run 5 -> 7 canon, 3 unk
  [  78/96] p5_discovery   | anthropic_sonnet   | run 6 -> 7 canon, 1 unk
  [  79/96] p5_discovery   | anthropic_sonnet   | run 7 -> 7 canon, 2 unk
  [  80/96] p5_discovery   | anthropic_sonnet   | run 8 -> 8 canon, 3 unk
  [  81/96] p6_comparison  | openai_mini        | run 1 -> 6 canon, 0 unk
  [  82/96] p6_comparison  | openai_mini        | run 2 -> 7 canon, 0 unk
  [  83/96] p6_comparison  | openai_mini        | run 3 -> 5 canon, 0 unk
  [  84/96] p6_comparison  | openai_mini        | run 4 -> 6 canon, 0 unk
  [  85/96] p6_comparison  | openai_mini        | run 5 -> 6 canon, 0 unk
  [  86/96] p6_comparison  | openai_mini        | run 6 -> 6 canon, 0 unk
  [  87/96] p6_comparison  | openai_mini        | run 7 -> 6 canon, 0 unk
  [  88/96] p6_comparison  | openai_mini        | run 8 -> 6 canon, 0 unk
  [  89/96] p6_comparison  | anthropic_sonnet   | run 1 -> 6 canon, 0 unk
  [  90/96] p6_comparison  | anthropic_sonnet   | run 2 -> 7 canon, 0 unk
  [  91/96] p6_comparison  | anthropic_sonnet   | run 3 -> 7 canon, 0 unk
  [  92/96] p6_comparison  | anthropic_sonnet   | run 4 -> 7 canon, 0 unk
  [  93/96] p6_comparison  | anthropic_sonnet   | run 5 -> 7 canon, 0 unk
  [  94/96] p6_comparison  | anthropic_sonnet   | run 6 -> 8 canon, 0 unk
  [  95/96] p6_comparison  | anthropic_sonnet   | run 7 -> 6 canon, 1 unk
