==============================================================================
AIAS Measurement Run v0.4
Category: oliveoil
Started:  2026-05-07T12:21:22
Plan:     6 prompts x 6 models x 8 runs = 288 calls
Methodology: prompts=oliveoil_v1.0, registry=oliveoil_v1.0, temp=0.7
Registry: 20 brands
Output:   data/oliveoil/
Models:
  - anthropic_sonnet   -> Anthropic claude-sonnet-4-6
  - anthropic_opus     -> Anthropic claude-opus-4-7 (no temp)
  - openai_mini        -> OpenAI gpt-5.4-mini
  - openai_flagship    -> OpenAI gpt-5.5 (no temp)
  - google_flash       -> Google gemini-2.5-flash
  - xai_grok           -> xAI grok-4-1-fast
==============================================================================
  [  1/288] p1_functional      | anthropic_sonnet   | run 1 -> OK (1 attempt, 7.7s)
  [  2/288] p1_functional      | anthropic_sonnet   | run 2 -> OK (1 attempt, 7.6s)
  [  3/288] p1_functional      | anthropic_sonnet   | run 3 -> OK (1 attempt, 7.8s)
  [  4/288] p1_functional      | anthropic_sonnet   | run 4 -> OK (1 attempt, 7.8s)
  [  5/288] p1_functional      | anthropic_sonnet   | run 5 -> OK (1 attempt, 7.6s)
  [  6/288] p1_functional      | anthropic_sonnet   | run 6 -> OK (1 attempt, 8.0s)
  [  7/288] p1_functional      | anthropic_sonnet   | run 7 -> OK (1 attempt, 8.1s)
  [  8/288] p1_functional      | anthropic_sonnet   | run 8 -> OK (1 attempt, 7.9s)
  [  9/288] p1_functional      | anthropic_opus     | run 1 -> OK (1 attempt, 10.2s)
  [ 10/288] p1_functional      | anthropic_opus     | run 2 -> OK (1 attempt, 10.1s)
  [ 11/288] p1_functional      | anthropic_opus     | run 3 -> OK (1 attempt, 9.5s)
  [ 12/288] p1_functional      | anthropic_opus     | run 4 -> OK (1 attempt, 13.9s)
  [ 13/288] p1_functional      | anthropic_opus     | run 5 -> OK (1 attempt, 9.6s)
  [ 14/288] p1_functional      | anthropic_opus     | run 6 -> OK (1 attempt, 8.5s)
  [ 15/288] p1_functional      | anthropic_opus     | run 7 -> OK (1 attempt, 9.6s)
  [ 16/288] p1_functional      | anthropic_opus     | run 8 -> OK (1 attempt, 10.2s)
  [ 17/288] p1_functional      | openai_mini        | run 1 -> OK (1 attempt, 3.6s)
  [ 18/288] p1_functional      | openai_mini        | run 2 -> OK (1 attempt, 3.1s)
  [ 19/288] p1_functional      | openai_mini        | run 3 -> OK (1 attempt, 2.1s)
  [ 20/288] p1_functional      | openai_mini        | run 4 -> OK (1 attempt, 3.0s)
  [ 21/288] p1_functional      | openai_mini        | run 5 -> OK (1 attempt, 3.0s)
  [ 22/288] p1_functional      | openai_mini        | run 6 -> OK (1 attempt, 3.2s)
  [ 23/288] p1_functional      | openai_mini        | run 7 -> OK (1 attempt, 2.6s)
  [ 24/288] p1_functional      | openai_mini        | run 8 -> OK (1 attempt, 2.9s)
  [ 25/288] p1_functional      | openai_flagship    | run 1 -> OK (1 attempt, 10.1s)
  [ 26/288] p1_functional      | openai_flagship    | run 2 -> OK (1 attempt, 7.5s)
  [ 27/288] p1_functional      | openai_flagship    | run 3 -> OK (1 attempt, 6.7s)
  [ 28/288] p1_functional      | openai_flagship    | run 4 -> OK (1 attempt, 6.7s)
  [ 29/288] p1_functional      | openai_flagship    | run 5 -> OK (1 attempt, 6.5s)
  [ 30/288] p1_functional      | openai_flagship    | run 6 -> OK (1 attempt, 8.4s)
  [ 31/288] p1_functional      | openai_flagship    | run 7 -> OK (1 attempt, 6.4s)
  [ 32/288] p1_functional      | openai_flagship    | run 8 -> OK (1 attempt, 7.1s)
  [ 33/288] p1_functional      | google_flash       | run 1 -> OK (1 attempt, 12.3s)
  [ 34/288] p1_functional      | google_flash       | run 2 -> OK (1 attempt, 12.9s)
  [ 35/288] p1_functional      | google_flash       | run 3 -> OK (1 attempt, 15.4s)
  [ 36/288] p1_functional      | google_flash       | run 4 -> OK (1 attempt, 12.1s)
  [ 37/288] p1_functional      | google_flash       | run 5 -> OK (1 attempt, 11.3s)
  [ 38/288] p1_functional      | google_flash       | run 6 -> OK (1 attempt, 12.0s)
  [ 39/288] p1_functional      | google_flash       | run 7 -> OK (1 attempt, 12.5s)
  [ 40/288] p1_functional      | google_flash       | run 8 -> OK (1 attempt, 11.0s)
  [ 41/288] p1_functional      | xai_grok           | run 1 -> OK (1 attempt, 16.4s)
  [ 42/288] p1_functional      | xai_grok           | run 2 -> OK (1 attempt, 17.2s)
  [ 43/288] p1_functional      | xai_grok           | run 3 -> OK (1 attempt, 15.0s)
  [ 44/288] p1_functional      | xai_grok           | run 4 -> OK (1 attempt, 18.2s)
  [ 45/288] p1_functional      | xai_grok           | run 5 -> OK (1 attempt, 13.7s)
  [ 46/288] p1_functional      | xai_grok           | run 6 -> OK (1 attempt, 13.4s)
  [ 47/288] p1_functional      | xai_grok           | run 7 -> OK (1 attempt, 13.4s)
  [ 48/288] p1_functional      | xai_grok           | run 8 -> OK (1 attempt, 15.6s)
  [ 49/288] p2_contextual      | anthropic_sonnet   | run 1 -> OK (1 attempt, 9.8s)
  [ 50/288] p2_contextual      | anthropic_sonnet   | run 2 -> OK (1 attempt, 8.6s)
  [ 51/288] p2_contextual      | anthropic_sonnet   | run 3 -> OK (1 attempt, 8.6s)
  [ 52/288] p2_contextual      | anthropic_sonnet   | run 4 -> OK (1 attempt, 8.1s)
  [ 53/288] p2_contextual      | anthropic_sonnet   | run 5 -> OK (1 attempt, 8.2s)
  [ 54/288] p2_contextual      | anthropic_sonnet   | run 6 -> OK (1 attempt, 8.6s)
  [ 55/288] p2_contextual      | anthropic_sonnet   | run 7 -> OK (1 attempt, 8.6s)
  [ 56/288] p2_contextual      | anthropic_sonnet   | run 8 -> OK (1 attempt, 8.9s)
  [ 57/288] p2_contextual      | anthropic_opus     | run 1 -> OK (1 attempt, 19.7s)
  [ 58/288] p2_contextual      | anthropic_opus     | run 2 -> OK (1 attempt, 12.3s)
  [ 59/288] p2_contextual      | anthropic_opus     | run 3 -> OK (1 attempt, 15.4s)
  [ 60/288] p2_contextual      | anthropic_opus     | run 4 -> OK (1 attempt, 13.8s)
  [ 61/288] p2_contextual      | anthropic_opus     | run 5 -> OK (1 attempt, 12.6s)
  [ 62/288] p2_contextual      | anthropic_opus     | run 6 -> OK (1 attempt, 13.8s)
  [ 63/288] p2_contextual      | anthropic_opus     | run 7 -> OK (1 attempt, 12.9s)
  [ 64/288] p2_contextual      | anthropic_opus     | run 8 -> OK (1 attempt, 11.4s)
  [ 65/288] p2_contextual      | openai_mini        | run 1 -> OK (1 attempt, 4.9s)
  [ 66/288] p2_contextual      | openai_mini        | run 2 -> OK (1 attempt, 4.3s)
  [ 67/288] p2_contextual      | openai_mini        | run 3 -> OK (1 attempt, 4.9s)
  [ 68/288] p2_contextual      | openai_mini        | run 4 -> OK (1 attempt, 4.5s)
  [ 69/288] p2_contextual      | openai_mini        | run 5 -> OK (1 attempt, 5.3s)
  [ 70/288] p2_contextual      | openai_mini        | run 6 -> OK (1 attempt, 4.9s)
  [ 71/288] p2_contextual      | openai_mini        | run 7 -> OK (1 attempt, 4.9s)
  [ 72/288] p2_contextual      | openai_mini        | run 8 -> OK (1 attempt, 5.0s)
  [ 73/288] p2_contextual      | openai_flagship    | run 1 -> OK (1 attempt, 9.7s)
  [ 74/288] p2_contextual      | openai_flagship    | run 2 -> OK (1 attempt, 12.6s)
  [ 75/288] p2_contextual      | openai_flagship    | run 3 -> OK (1 attempt, 10.8s)
  [ 76/288] p2_contextual      | openai_flagship    | run 4 -> OK (1 attempt, 13.1s)
  [ 77/288] p2_contextual      | openai_flagship    | run 5 -> OK (1 attempt, 11.2s)
  [ 78/288] p2_contextual      | openai_flagship    | run 6 -> OK (1 attempt, 12.4s)
  [ 79/288] p2_contextual      | openai_flagship    | run 7 -> OK (1 attempt, 16.6s)
  [ 80/288] p2_contextual      | openai_flagship    | run 8 -> OK (1 attempt, 15.7s)
  [ 81/288] p2_contextual      | google_flash       | run 1 -> OK (1 attempt, 16.3s)
  [ 82/288] p2_contextual      | google_flash       | run 2 -> OK (1 attempt, 15.7s)
  [ 83/288] p2_contextual      | google_flash       | run 3 -> OK (1 attempt, 17.5s)
  [ 84/288] p2_contextual      | google_flash       | run 4 -> OK (1 attempt, 18.1s)
  [ 85/288] p2_contextual      | google_flash       | run 5 -> OK (1 attempt, 17.9s)
  [ 86/288] p2_contextual      | google_flash       | run 6 -> OK (1 attempt, 14.1s)
  [ 87/288] p2_contextual      | google_flash       | run 7 -> OK (1 attempt, 19.7s)
  [ 88/288] p2_contextual      | google_flash       | run 8 -> OK (1 attempt, 19.6s)
  [ 89/288] p2_contextual      | xai_grok           | run 1 -> OK (1 attempt, 15.2s)
  [ 90/288] p2_contextual      | xai_grok           | run 2 -> OK (1 attempt, 16.7s)
  [ 91/288] p2_contextual      | xai_grok           | run 3 -> OK (1 attempt, 15.1s)
  [ 92/288] p2_contextual      | xai_grok           | run 4 -> OK (1 attempt, 15.1s)
  [ 93/288] p2_contextual      | xai_grok           | run 5 -> OK (1 attempt, 15.4s)
  [ 94/288] p2_contextual      | xai_grok           | run 6 -> OK (1 attempt, 16.2s)
  [ 95/288] p2_contextual      | xai_grok           | run 7 -> OK (1 attempt, 15.1s)
  [ 96/288] p2_contextual      | xai_grok           | run 8 -> OK (1 attempt, 20.0s)
  [ 97/288] p3_constraint      | anthropic_sonnet   | run 1 -> OK (1 attempt, 8.3s)
  [ 98/288] p3_constraint      | anthropic_sonnet   | run 2 -> OK (1 attempt, 8.0s)
  [ 99/288] p3_constraint      | anthropic_sonnet   | run 3 -> OK (1 attempt, 8.9s)
  [100/288] p3_constraint      | anthropic_sonnet   | run 4 -> OK (1 attempt, 8.9s)
  [101/288] p3_constraint      | anthropic_sonnet   | run 5 -> OK (1 attempt, 8.6s)
  [102/288] p3_constraint      | anthropic_sonnet   | run 6 -> OK (1 attempt, 8.9s)
  [103/288] p3_constraint      | anthropic_sonnet   | run 7 -> OK (1 attempt, 8.3s)
  [104/288] p3_constraint      | anthropic_sonnet   | run 8 -> OK (1 attempt, 8.3s)
  [105/288] p3_constraint      | anthropic_opus     | run 1 -> OK (1 attempt, 12.0s)
  [106/288] p3_constraint      | anthropic_opus     | run 2 -> OK (1 attempt, 11.4s)
  [107/288] p3_constraint      | anthropic_opus     | run 3 -> OK (1 attempt, 13.8s)
  [108/288] p3_constraint      | anthropic_opus     | run 4 -> OK (1 attempt, 11.8s)
  [109/288] p3_constraint      | anthropic_opus     | run 5 -> OK (1 attempt, 13.3s)
  [110/288] p3_constraint      | anthropic_opus     | run 6 -> OK (1 attempt, 12.0s)
  [111/288] p3_constraint      | anthropic_opus     | run 7 -> OK (1 attempt, 13.2s)
  [112/288] p3_constraint      | anthropic_opus     | run 8 -> OK (1 attempt, 12.0s)
  [113/288] p3_constraint      | openai_mini        | run 1 -> OK (1 attempt, 4.0s)
  [114/288] p3_constraint      | openai_mini        | run 2 -> OK (1 attempt, 3.7s)
  [115/288] p3_constraint      | openai_mini        | run 3 -> OK (1 attempt, 4.6s)
  [116/288] p3_constraint      | openai_mini        | run 4 -> OK (1 attempt, 4.0s)
  [117/288] p3_constraint      | openai_mini        | run 5 -> OK (1 attempt, 4.3s)
  [118/288] p3_constraint      | openai_mini        | run 6 -> OK (1 attempt, 4.2s)
  [119/288] p3_constraint      | openai_mini        | run 7 -> OK (1 attempt, 4.8s)
  [120/288] p3_constraint      | openai_mini        | run 8 -> OK (1 attempt, 4.2s)
  [121/288] p3_constraint      | openai_flagship    | run 1 -> OK (1 attempt, 10.9s)
  [122/288] p3_constraint      | openai_flagship    | run 2 -> OK (1 attempt, 12.8s)
  [123/288] p3_constraint      | openai_flagship    | run 3 -> OK (1 attempt, 11.1s)
  [124/288] p3_constraint      | openai_flagship    | run 4 -> OK (1 attempt, 12.3s)
  [125/288] p3_constraint      | openai_flagship    | run 5 -> OK (1 attempt, 10.1s)
  [126/288] p3_constraint      | openai_flagship    | run 6 -> OK (1 attempt, 10.1s)
  [127/288] p3_constraint      | openai_flagship    | run 7 -> OK (1 attempt, 10.2s)
  [128/288] p3_constraint      | openai_flagship    | run 8 -> OK (1 attempt, 10.1s)
  [129/288] p3_constraint      | google_flash       | run 1 -> OK (1 attempt, 15.4s)
  [130/288] p3_constraint      | google_flash       | run 2 -> OK (1 attempt, 15.7s)
  [131/288] p3_constraint      | google_flash       | run 3 -> OK (1 attempt, 15.8s)
  [132/288] p3_constraint      | google_flash       | run 4 -> OK (1 attempt, 16.0s)
  [133/288] p3_constraint      | google_flash       | run 5 -> OK (1 attempt, 16.0s)
  [134/288] p3_constraint      | google_flash       | run 6 -> OK (1 attempt, 14.4s)
  [135/288] p3_constraint      | google_flash       | run 7 -> OK (1 attempt, 14.5s)
  [136/288] p3_constraint      | google_flash       | run 8 -> OK (1 attempt, 14.8s)
  [137/288] p3_constraint      | xai_grok           | run 1 -> OK (1 attempt, 12.0s)
  [138/288] p3_constraint      | xai_grok           | run 2 -> OK (1 attempt, 15.0s)
  [139/288] p3_constraint      | xai_grok           | run 3 -> OK (1 attempt, 22.0s)
  [140/288] p3_constraint      | xai_grok           | run 4 -> OK (1 attempt, 16.7s)
  [141/288] p3_constraint      | xai_grok           | run 5 -> OK (1 attempt, 16.9s)
