==============================================================================
AIAS Measurement Run v0.4
Category: pm
Started:  2026-05-07T00:33:31
Plan:     6 prompts x 6 models x 8 runs = 288 calls
Methodology: prompts=pm_v1.0, registry=pm_v1.0, temp=0.7
Registry: 19 brands
Output:   data/pm/
Models:
  - anthropic_sonnet   -> Anthropic claude-sonnet-4-6
  - anthropic_opus     -> Anthropic claude-opus-4-7 (no temp)
  - openai_mini        -> OpenAI gpt-5.4-mini
  - openai_flagship    -> OpenAI gpt-5.5 (no temp)
  - google_flash       -> Google gemini-2.5-flash
  - xai_grok           -> xAI grok-4-1-fast
==============================================================================
  [  1/288] p1_functional      | anthropic_sonnet   | run 1 -> OK (1 attempt, 7.9s)
  [  2/288] p1_functional      | anthropic_sonnet   | run 2 -> OK (1 attempt, 7.8s)
  [  3/288] p1_functional      | anthropic_sonnet   | run 3 -> OK (1 attempt, 7.8s)
  [  4/288] p1_functional      | anthropic_sonnet   | run 4 -> OK (1 attempt, 7.6s)
  [  5/288] p1_functional      | anthropic_sonnet   | run 5 -> OK (1 attempt, 7.7s)
  [  6/288] p1_functional      | anthropic_sonnet   | run 6 -> OK (1 attempt, 7.8s)
  [  7/288] p1_functional      | anthropic_sonnet   | run 7 -> OK (1 attempt, 7.9s)
  [  8/288] p1_functional      | anthropic_sonnet   | run 8 -> OK (1 attempt, 6.9s)
  [  9/288] p1_functional      | anthropic_opus     | run 1 -> OK (1 attempt, 7.2s)
  [ 10/288] p1_functional      | anthropic_opus     | run 2 -> OK (1 attempt, 8.3s)
  [ 11/288] p1_functional      | anthropic_opus     | run 3 -> OK (1 attempt, 8.9s)
  [ 12/288] p1_functional      | anthropic_opus     | run 4 -> OK (1 attempt, 7.8s)
  [ 13/288] p1_functional      | anthropic_opus     | run 5 -> OK (1 attempt, 8.6s)
  [ 14/288] p1_functional      | anthropic_opus     | run 6 -> OK (1 attempt, 8.6s)
  [ 15/288] p1_functional      | anthropic_opus     | run 7 -> OK (1 attempt, 9.1s)
  [ 16/288] p1_functional      | anthropic_opus     | run 8 -> OK (1 attempt, 7.9s)
  [ 17/288] p1_functional      | openai_mini        | run 1 -> OK (1 attempt, 3.8s)
