==============================================================================
AIAS Measurement Run v0.4
Category: skincare
Started:  2026-05-07T15:20:49
Plan:     6 prompts x 6 models x 8 runs = 288 calls
Methodology: prompts=v2-skincare, registry=v2-skincare, temp=0.7
Registry: 31 brands
Output:   data/skincare/
Models:
  - anthropic_sonnet   -> Anthropic claude-sonnet-4-6
  - anthropic_opus     -> Anthropic claude-opus-4-7 (no temp)
  - openai_mini        -> OpenAI gpt-5.4-mini
  - openai_flagship    -> OpenAI gpt-5.5 (no temp)
  - google_flash       -> Google gemini-2.5-flash
  - xai_grok           -> xAI grok-4-1-fast
==============================================================================
  [  1/288] p1_functional      | anthropic_sonnet   | run 1 -> OK (1 attempt, 8.9s)
  [  2/288] p1_functional      | anthropic_sonnet   | run 2 -> OK (1 attempt, 7.7s)
  [  3/288] p1_functional      | anthropic_sonnet   | run 3 -> OK (1 attempt, 7.5s)
  [  4/288] p1_functional      | anthropic_sonnet   | run 4 -> OK (1 attempt, 7.4s)
  [  5/288] p1_functional      | anthropic_sonnet   | run 5 -> OK (1 attempt, 6.4s)
  [  6/288] p1_functional      | anthropic_sonnet   | run 6 -> OK (1 attempt, 6.8s)
  [  7/288] p1_functional      | anthropic_sonnet   | run 7 -> OK (1 attempt, 7.1s)
  [  8/288] p1_functional      | anthropic_sonnet   | run 8 -> OK (1 attempt, 6.3s)
  [  9/288] p1_functional      | anthropic_opus     | run 1 -> OK (1 attempt, 10.6s)
  [ 10/288] p1_functional      | anthropic_opus     | run 2 -> OK (1 attempt, 11.0s)
  [ 11/288] p1_functional      | anthropic_opus     | run 3 -> OK (1 attempt, 10.6s)
  [ 12/288] p1_functional      | anthropic_opus     | run 4 -> OK (1 attempt, 9.9s)
  [ 13/288] p1_functional      | anthropic_opus     | run 5 -> OK (1 attempt, 11.1s)
  [ 14/288] p1_functional      | anthropic_opus     | run 6 -> OK (1 attempt, 10.2s)
  [ 15/288] p1_functional      | anthropic_opus     | run 7 -> OK (1 attempt, 10.9s)
  [ 16/288] p1_functional      | anthropic_opus     | run 8 -> OK (1 attempt, 11.4s)
  [ 17/288] p1_functional      | openai_mini        | run 1 -> OK (1 attempt, 9.4s)
  [ 18/288] p1_functional      | openai_mini        | run 2 -> OK (1 attempt, 6.7s)
  [ 19/288] p1_functional      | openai_mini        | run 3 -> OK (1 attempt, 2.7s)
  [ 20/288] p1_functional      | openai_mini        | run 4 -> OK (1 attempt, 3.1s)
  [ 21/288] p1_functional      | openai_mini        | run 5 -> OK (1 attempt, 3.4s)
  [ 22/288] p1_functional      | openai_mini        | run 6 -> OK (1 attempt, 3.3s)
  [ 23/288] p1_functional      | openai_mini        | run 7 -> OK (1 attempt, 5.0s)
  [ 24/288] p1_functional      | openai_mini        | run 8 -> OK (1 attempt, 3.9s)
  [ 25/288] p1_functional      | openai_flagship    | run 1 -> OK (1 attempt, 6.4s)
  [ 26/288] p1_functional      | openai_flagship    | run 2 -> OK (1 attempt, 7.1s)
  [ 27/288] p1_functional      | openai_flagship    | run 3 -> OK (1 attempt, 7.0s)
  [ 28/288] p1_functional      | openai_flagship    | run 4 -> OK (1 attempt, 7.1s)
  [ 29/288] p1_functional      | openai_flagship    | run 5 -> OK (1 attempt, 6.5s)
  [ 30/288] p1_functional      | openai_flagship    | run 6 -> OK (1 attempt, 6.7s)
  [ 31/288] p1_functional      | openai_flagship    | run 7 -> OK (1 attempt, 7.2s)
  [ 32/288] p1_functional      | openai_flagship    | run 8 -> OK (1 attempt, 6.9s)
  [ 33/288] p1_functional      | google_flash       | run 1 -> OK (1 attempt, 13.5s)
  [ 34/288] p1_functional      | google_flash       | run 2 -> OK (1 attempt, 14.1s)
  [ 35/288] p1_functional      | google_flash       | run 3 -> OK (1 attempt, 13.6s)
  [ 36/288] p1_functional      | google_flash       | run 4 -> OK (1 attempt, 16.9s)
  [ 37/288] p1_functional      | google_flash       | run 5 -> OK (1 attempt, 13.3s)
  [ 38/288] p1_functional      | google_flash       | run 6 -> OK (1 attempt, 13.4s)
  [ 39/288] p1_functional      | google_flash       | run 7 -> OK (1 attempt, 12.8s)
  [ 40/288] p1_functional      | google_flash       | run 8 -> OK (1 attempt, 12.6s)
  [ 41/288] p1_functional      | xai_grok           | run 1 -> OK (1 attempt, 13.8s)
  [ 42/288] p1_functional      | xai_grok           | run 2 -> OK (1 attempt, 13.0s)
  [ 43/288] p1_functional      | xai_grok           | run 3 -> OK (1 attempt, 17.8s)
  [ 44/288] p1_functional      | xai_grok           | run 4 -> OK (1 attempt, 12.6s)
  [ 45/288] p1_functional      | xai_grok           | run 5 -> OK (1 attempt, 14.2s)
  [ 46/288] p1_functional      | xai_grok           | run 6 -> OK (1 attempt, 12.3s)
  [ 47/288] p1_functional      | xai_grok           | run 7 -> OK (1 attempt, 12.4s)
  [ 48/288] p1_functional      | xai_grok           | run 8 -> OK (1 attempt, 12.6s)
  [ 49/288] p2_contextual      | anthropic_sonnet   | run 1 -> OK (1 attempt, 7.9s)
  [ 50/288] p2_contextual      | anthropic_sonnet   | run 2 -> OK (1 attempt, 7.8s)
  [ 51/288] p2_contextual      | anthropic_sonnet   | run 3 -> OK (1 attempt, 8.1s)
  [ 52/288] p2_contextual      | anthropic_sonnet   | run 4 -> OK (1 attempt, 8.5s)
  [ 53/288] p2_contextual      | anthropic_sonnet   | run 5 -> OK (1 attempt, 8.6s)
  [ 54/288] p2_contextual      | anthropic_sonnet   | run 6 -> OK (1 attempt, 7.7s)
  [ 55/288] p2_contextual      | anthropic_sonnet   | run 7 -> OK (1 attempt, 7.9s)
  [ 56/288] p2_contextual      | anthropic_sonnet   | run 8 -> OK (1 attempt, 7.6s)
  [ 57/288] p2_contextual      | anthropic_opus     | run 1 -> OK (1 attempt, 12.5s)
  [ 58/288] p2_contextual      | anthropic_opus     | run 2 -> OK (1 attempt, 15.6s)
  [ 59/288] p2_contextual      | anthropic_opus     | run 3 -> OK (1 attempt, 10.8s)
