brand,substrate,cell,cell_label,in_market,is_phantom,r_per_model,mean_r,sd_pop,cpc_raw,cpc_score,cpc_status,cpc_panel_n,C_P,R_cat_total,R_cult_total,presence_composite,presence_recognition,presence_recall_level
Estée Lauder,v0.20,A,Prestige,True,False,"[0, 0, 0, 1, 0, 0]",0.16666666666666666,0.372677996249965,,,N/A,6,6,1,0,35.18518518518518,6,0.16666666666666666
Lancôme,v0.20,A,Prestige,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
La Mer,v0.20,A,Prestige,True,False,"[2, 3, 1, 1, 1, 1]",1.5,0.7637626158259734,0.5091750772173156,0.662613645756624,defined,6,6,2,7,50.0,6,1.5
Sisley,v0.20,A,Prestige,True,False,"[0, 1, 0, 1, 0, 0]",0.3333333333333333,0.4714045207910317,,,N/A,6,6,0,2,37.03703703703704,6,0.3333333333333333
Dior Beauty,v0.20,A,Prestige,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,3,0,0,16.666666666666668,3,0.0
Chanel Beauty,v0.20,A,Prestige,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,3,0,0,16.666666666666668,3,0.0
La Prairie,v0.20,A,Prestige,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
Clé de Peau Beauté,v0.20,A,Prestige,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
Rare Beauty,v0.20,B,Celebrity DTC / cult,True,False,"[1, 1, 0, 1, 0, 0]",0.5,0.5,,,N/A,6,0,0,3,5.5555555555555545,0,0.5
Rhode,v0.20,B,Celebrity DTC / cult,True,False,"[1, 2, 3, 1, 0, 0]",1.1666666666666667,1.0671873729054748,0.9147320339189784,0.5222662922462574,defined,6,6,0,7,46.2962962962963,6,1.1666666666666667
Fenty Skin,v0.20,B,Celebrity DTC / cult,True,False,"[1, 1, 1, 0, 0, 1]",0.6666666666666666,0.4714045207910317,,,N/A,6,6,0,4,40.74074074074074,6,0.6666666666666666
Goop,v0.20,B,Celebrity DTC / cult,True,False,"[1, 0, 0, 0, 0, 0]",0.16666666666666666,0.372677996249965,,,N/A,6,2,0,1,12.962962962962962,2,0.16666666666666666
