substrate,brand,cell,k_per_model,pi_hat,mu,phi,phi_partition,phi_defined,J,J_n_models,J_defined,J_frame_resolved_substrate,mu_count,sd_pop,cpc_raw,cpc_raw_defined,cpc_corr,cpc_corr_defined
v0.19,Audeze,,"[3, 2, 3, 3, 0, 4]",0.4166666666666667,0.4166666666666667,1.3028571428571432,defined,True,0.675,5,True,True,2.5,1.2583057392117916,0.5033222956847166,True,2.5523098781859765,True
v0.19,Audio-Technica,,"[6, 5, 1, 6, 0, 4]",0.6111111111111112,0.6111111111111112,4.675324675324676,defined,True,0.5583333333333333,5,True,True,3.6666666666666665,2.3570226039551585,0.6428243465332251,True,4.834937784152282,True
v0.19,Beyerdynamic,,"[5, 4, 5, 3, 0, 5]",0.6111111111111112,0.6111111111111112,2.711688311688312,defined,True,0.7283333333333333,5,True,True,3.6666666666666665,1.7950549357115013,0.4895604370122277,True,3.6821789145072183,True
v0.19,Dan Clark Audio,,"[2, 1, 0, 0, 0, 2]",0.1388888888888889,0.1388888888888889,1.3470967741935482,defined,True,0.4444444444444444,3,True,True,0.8333333333333334,0.8975274678557507,,False,2.5952810774495587,True
v0.19,Denon,,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.19,Final Audio,,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.19,Focal,,"[4, 3, 3, 5, 0, 4]",0.5277777777777778,0.5277777777777778,1.9839009287925695,defined,True,0.78,5,True,True,3.1666666666666665,1.5723301886761007,0.4965253227398213,True,3.1495245107734675,True
v0.19,Grado,,"[2, 2, 2, 1, 0, 0]",0.19444444444444445,0.19444444444444445,1.0285714285714287,defined,True,0.19444444444444442,4,True,True,1.1666666666666667,0.8975274678557508,0.7693092581620721,True,2.2677868380553634,True
v0.19,HiFiMan,,"[3, 3, 3, 2, 0, 2]",0.3611111111111111,0.3611111111111111,0.9872909698996656,defined,True,0.6083333333333333,5,True,True,2.1666666666666665,1.0671873729054748,0.49254801826406536,True,2.221813414645417,True
v0.19,Koss,,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.19,Meze,,"[0, 1, 1, 0, 0, 2]",0.1111111111111111,0.1111111111111111,1.1250000000000002,defined,True,0.0,3,True,True,0.6666666666666666,0.74535599249993,,False,2.371708245126285,True
v0.19,Sennheiser,,"[6, 6, 6, 6, 0, 6]",0.8333333333333334,0.8333333333333334,7.200000000000001,defined,True,1.0,5,True,True,5.0,2.23606797749979,0.447213595499958,True,6.000000000000001,True
v0.19,Sony,,"[6, 4, 4, 6, 0, 4]",0.6666666666666666,0.6666666666666666,3.599999999999999,defined,True,0.72,5,True,True,4.0,2.0,0.5,True,4.242640687119285,True
v0.19,Spirit Torino,,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.19,Stax,,"[1, 1, 1, 1, 0, 0]",0.1111111111111111,0.1111111111111111,0.45000000000000007,defined,True,1.0,4,True,True,0.6666666666666666,0.4714045207910317,,False,1.5,True
v0.19,ZMF Headphones,,"[0, 1, 0, 0, 0, 0]",0.027777777777777776,0.027777777777777776,1.028571428571429,defined,True,,1,False,True,0.16666666666666666,0.372677996249965,,False,2.267786838055364,True
v0.20,Estée Lauder,A,"[0, 0, 0, 0, 0, 1]",0.027777777777777776,0.027777777777777776,1.028571428571429,defined,True,,1,False,True,0.16666666666666666,0.372677996249965,,False,2.267786838055364,True
v0.20,Lancôme,A,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.20,La Mer,A,"[2, 3, 1, 1, 1, 1]",0.25,0.25,0.6222222222222222,defined,True,0.6666666666666666,6,True,True,1.5,0.7637626158259734,0.5091750772173156,True,1.763834207376394,True
v0.20,Sisley,A,"[0, 1, 0, 0, 0, 1]",0.05555555555555555,0.05555555555555555,0.847058823529412,defined,True,1.0,2,True,True,0.3333333333333333,0.4714045207910317,,False,2.057983021710106,True
v0.20,Dior Beauty,A,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.20,Chanel Beauty,A,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.20,La Prairie,A,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.20,Clé de Peau Beauté,A,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.20,Rare Beauty,B,"[1, 1, 0, 0, 0, 1]",0.08333333333333333,0.08333333333333333,0.6545454545454545,defined,True,1.0,3,True,True,0.5,0.5,,False,1.8090680674665818,True
v0.20,Rhode,B,"[1, 2, 0, 0, 3, 1]",0.19444444444444445,0.19444444444444445,1.4541871921182266,defined,True,0.5555555555555555,4,True,True,1.1666666666666667,1.0671873729054748,0.9147320339189784,True,2.696467311240975,True
v0.20,Fenty Skin,B,"[1, 1, 0, 1, 1, 0]",0.1111111111111111,0.1111111111111111,0.45000000000000007,defined,True,1.0,4,True,True,0.6666666666666666,0.4714045207910317,,False,1.5,True
v0.20,Goop,B,"[1, 0, 0, 0, 0, 0]",0.027777777777777776,0.027777777777777776,1.028571428571429,defined,True,,1,False,True,0.16666666666666666,0.372677996249965,,False,2.267786838055364,True
v0.20,Drunk Elephant,B,"[5, 5, 5, 6, 5, 4]",0.8333333333333334,0.8333333333333334,0.4800000000000001,defined,True,0.8800000000000002,6,True,True,5.0,0.5773502691896257,0.11547005383792515,True,1.5491933384829668,True
v0.20,Glossier,B,"[0, 1, 2, 0, 0, 0]",0.08333333333333333,0.08333333333333333,1.5272727272727273,defined,True,0.5,2,True,True,0.5,0.7637626158259734,,False,2.7633971188310302,True
v0.20,Augustinus Bader,B,"[2, 2, 0, 0, 1, 2]",0.19444444444444445,0.19444444444444445,1.0285714285714287,defined,True,0.75,4,True,True,1.1666666666666667,0.8975274678557508,0.7693092581620721,True,2.2677868380553634,True
v0.20,Tower 28,B,"[0, 0, 0, 0, 0, 1]",0.027777777777777776,0.027777777777777776,1.028571428571429,defined,True,,1,False,True,0.16666666666666666,0.372677996249965,,False,2.267786838055364,True
v0.20,SkinCeuticals,C,"[5, 5, 3, 5, 5, 4]",0.75,0.75,0.6222222222222222,defined,True,0.7366666666666666,6,True,True,4.5,0.7637626158259734,0.1697250257391052,True,1.763834207376394,True
v0.20,La Roche-Posay,C,"[5, 4, 5, 4, 4, 5]",0.75,0.75,0.26666666666666666,defined,True,0.7155555555555556,6,True,True,4.5,0.5,0.1111111111111111,True,1.1547005383792517,True
v0.20,Paula's Choice,C,"[4, 2, 2, 2, 5, 6]",0.5833333333333334,0.5833333333333334,2.125714285714286,defined,True,0.4444444444444444,6,True,True,3.5,1.6072751268321592,0.45922146480918835,True,3.260148988707637,True
v0.20,CeraVe,C,"[6, 6, 6, 5, 6, 6]",0.9722222222222222,0.9722222222222222,1.0285714285714282,defined,True,0.9444444444444446,6,True,True,5.833333333333333,0.37267799624996495,0.06388765649999399,True,2.2677868380553625,True
v0.20,The Ordinary,C,"[5, 5, 5, 5, 5, 6]",0.8611111111111112,0.8611111111111112,0.23225806451612913,defined,True,0.9444444444444446,6,True,True,5.166666666666667,0.37267799624996495,0.07213122508063838,True,1.0776318121606496,True
v0.20,Cetaphil,C,"[2, 2, 1, 1, 1, 1]",0.2222222222222222,0.2222222222222222,0.25714285714285723,defined,True,0.4666666666666667,6,True,True,1.3333333333333333,0.47140452079103173,0.35355339059327384,True,1.1338934190276817,True
v0.20,Eucerin,C,"[1, 0, 1, 0, 0, 1]",0.08333333333333333,0.08333333333333333,0.6545454545454545,defined,True,1.0,3,True,True,0.5,0.5,,False,1.8090680674665818,True
v0.20,Bioderma,C,"[0, 0, 1, 1, 0, 0]",0.05555555555555555,0.05555555555555555,0.847058823529412,defined,True,0.0,2,True,True,0.3333333333333333,0.4714045207910317,,False,2.057983021710106,True
v0.21,MAC Cosmetics,A,"[1, 3, 4, 3, 3, 2]",0.4444444444444444,0.4444444444444444,0.7200000000000001,defined,True,0.5111111111111111,6,True,True,2.6666666666666665,0.9428090415820634,0.3535533905932738,True,1.8973665961010278,True
v0.21,NARS,A,"[6, 4, 4, 4, 5, 6]",0.8055555555555556,0.8055555555555556,1.028571428571429,defined,True,0.8044444444444444,6,True,True,4.833333333333333,0.8975274678557507,0.18569533817705186,True,2.267786838055363,True
v0.21,Bobbi Brown,A,"[1, 2, 1, 2, 1, 1]",0.2222222222222222,0.2222222222222222,0.25714285714285723,defined,True,0.45555555555555555,6,True,True,1.3333333333333333,0.4714045207910317,0.3535533905932738,True,1.1338934190276817,True
v0.21,Tom Ford Beauty,A,"[1, 1, 1, 0, 0, 3]",0.16666666666666666,0.16666666666666666,1.44,defined,True,0.27777777777777773,4,True,True,1.0,1.0,1.0,True,2.6832815729997477,True
v0.21,Giorgio Armani Beauty,A,"[0, 0, 0, 0, 0, 1]",0.027777777777777776,0.027777777777777776,1.028571428571429,defined,True,,1,False,True,0.16666666666666666,0.372677996249965,,False,2.267786838055364,True
v0.21,Hourglass,A,"[0, 0, 0, 0, 0, 2]",0.05555555555555555,0.05555555555555555,2.11764705882353,defined,True,,1,False,True,0.3333333333333333,0.74535599249993,,False,3.253956867279843,True
v0.21,Chantecaille,A,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.21,Laura Mercier,A,"[2, 0, 1, 0, 2, 0]",0.1388888888888889,0.1388888888888889,1.3470967741935482,defined,True,0.6666666666666666,3,True,True,0.8333333333333334,0.8975274678557507,,False,2.5952810774495587,True
v0.21,Rare Beauty,B,"[3, 3, 2, 3, 4, 3]",0.5,0.5,0.26666666666666666,defined,True,0.811111111111111,6,True,True,3.0,0.5773502691896257,0.19245008972987523,True,1.1547005383792515,True
v0.21,Fenty Beauty,B,"[3, 3, 5, 6, 4, 4]",0.6944444444444444,0.6944444444444444,1.0734545454545457,defined,True,0.6577777777777778,6,True,True,4.166666666666667,1.0671873729054748,0.25612496949731395,True,2.316737517992215,True
v0.21,Haus Labs,B,"[1, 2, 0, 0, 1, 0]",0.1111111111111111,0.1111111111111111,1.1250000000000002,defined,True,0.6666666666666666,3,True,True,0.6666666666666666,0.74535599249993,,False,2.371708245126285,True
v0.21,Pat McGrath Labs,B,"[3, 2, 3, 2, 1, 3]",0.3888888888888889,0.3888888888888889,0.4675324675324675,defined,True,0.43222222222222223,6,True,True,2.3333333333333335,0.7453559924999299,0.3194382824999699,True,1.5289415743128767,True
v0.21,Charlotte Tilbury,B,"[6, 6, 4, 6, 3, 4]",0.8055555555555556,0.8055555555555556,1.8798029556650249,defined,True,0.6833333333333333,6,True,True,4.833333333333333,1.2133516482134197,0.2510382720441558,True,3.065781267201742,True
v0.21,Huda Beauty,B,"[0, 2, 3, 3, 1, 2]",0.3055555555555556,0.3055555555555556,1.0734545454545454,defined,True,0.5166666666666666,5,True,True,1.8333333333333333,1.0671873729054748,0.5821022034029862,True,2.316737517992215,True
