brand,market_tier,tier_ordinal,brand_age_years,ai_t1_pct,ai_t2_pct,trends_ww_t1_mean,trends_ww_t1_eligible,trends_ww_t1_sparse,trends_ww_t2_mean,trends_ww_t2_eligible,trends_ww_t2_sparse,trends_us_t1_mean,trends_us_t1_eligible,trends_us_t1_sparse,trends_us_t2_mean,trends_us_t2_eligible,trends_us_t2_sparse
Asana,incumbent,1,14,80.21,81.25,100.0,True,False,100.0,True,False,100.0,True,False,100.0,True,False
Monday,incumbent,1,12,59.38,57.29,72.61,True,False,71.2,True,False,84.29,True,False,78.8,True,False
Jira,incumbent,1,24,78.12,79.17,311.38,True,False,310.03,True,False,234.61,True,False,235.86,True,False
Trello,incumbent,1,15,33.33,30.21,206.32,True,False,223.62,True,False,136.9,True,False,165.16,True,False
Confluence,incumbent,1,22,20.83,18.75,100.1,True,False,102.32,True,False,89.98,True,False,94.33,True,False
Notion,mid-tier,2,10,79.17,78.12,591.95,True,False,628.25,True,False,309.94,True,False,330.72,True,False
ClickUp,mid-tier,2,9,62.5,62.5,114.92,True,False,114.08,True,False,72.69,True,False,70.71,True,False
Smartsheet,mid-tier,2,20,8.33,9.38,33.02,True,False,32.52,True,False,70.65,True,False,72.95,True,False
Wrike,mid-tier,2,20,8.33,7.29,12.14,True,False,11.35,True,False,13.77,True,False,13.89,True,False
Airtable,mid-tier,2,11,12.5,12.5,72.72,True,False,74.3,True,False,71.58,True,False,73.8,True,False
Basecamp,mid-tier,2,22,5.21,2.08,23.85,True,False,21.84,True,False,29.99,True,False,26.95,True,False
Coda,mid-tier,2,9,8.33,7.29,15.82,True,False,15.06,True,False,16.15,True,False,19.04,True,False
Workfront,mid-tier,2,24,1.04,0.0,6.67,True,False,6.7,True,False,10.01,True,False,10.57,True,False
Linear,challenger,3,7,86.46,89.58,1.88,True,False,2.41,True,False,1.8,True,False,1.3,True,False
Height,challenger,3,5,15.62,13.54,0.0,False,True,1.02,True,True,0.0,False,True,0.0,False,True
Motion,challenger,3,7,8.33,9.38,1.41,True,False,1.6,True,False,0.15,True,True,0.14,True,True
Todoist,challenger,3,19,1.04,0.0,28.38,True,False,27.35,True,False,24.5,True,False,25.06,True,False
GitHub Projects,challenger,3,10,42.71,37.5,28.01,True,False,26.81,True,False,14.25,True,False,15.84,True,False
