brand,region,bundle_id,date,wave,raw_value,pivot_raw_value,rescaled_value
Asana,worldwide,1,2026-04-27,t1,32,32,100.0
Monday,worldwide,1,2026-04-27,t1,28,32,87.5
Jira,worldwide,1,2026-04-27,t1,87,32,271.88
Trello,worldwide,1,2026-04-27,t1,55,32,171.88
Confluence,worldwide,1,2026-04-27,t1,32,32,100.0
Asana,worldwide,1,2026-04-28,t1,30,30,100.0
Monday,worldwide,1,2026-04-28,t1,22,30,73.33
Jira,worldwide,1,2026-04-28,t1,94,30,313.33
Trello,worldwide,1,2026-04-28,t1,57,30,190.0
Confluence,worldwide,1,2026-04-28,t1,34,30,113.33
Asana,worldwide,1,2026-04-29,t1,30,30,100.0
Monday,worldwide,1,2026-04-29,t1,19,30,63.33
Jira,worldwide,1,2026-04-29,t1,100,30,333.33
Trello,worldwide,1,2026-04-29,t1,54,30,180.0
Confluence,worldwide,1,2026-04-29,t1,34,30,113.33
Asana,worldwide,1,2026-04-30,t1,29,29,100.0
Monday,worldwide,1,2026-04-30,t1,19,29,65.52
Jira,worldwide,1,2026-04-30,t1,91,29,313.79
Trello,worldwide,1,2026-04-30,t1,50,29,172.41
Confluence,worldwide,1,2026-04-30,t1,33,29,113.79
Asana,worldwide,1,2026-05-01,t1,21,21,100.0
Monday,worldwide,1,2026-05-01,t1,14,21,66.67
Jira,worldwide,1,2026-05-01,t1,86,21,409.52
Trello,worldwide,1,2026-05-01,t1,39,21,185.71
Confluence,worldwide,1,2026-05-01,t1,21,21,100.0
Asana,worldwide,1,2026-05-02,t1,12,12,100.0
Monday,worldwide,1,2026-05-02,t1,9,12,75.0
Jira,worldwide,1,2026-05-02,t1,35,12,291.67
Trello,worldwide,1,2026-05-02,t1,33,12,275.0
Confluence,worldwide,1,2026-05-02,t1,10,12,83.33
Asana,worldwide,1,2026-05-03,t1,13,13,100.0
Monday,worldwide,1,2026-05-03,t1,10,13,76.92
Jira,worldwide,1,2026-05-03,t1,32,13,246.15
Trello,worldwide,1,2026-05-03,t1,35,13,269.23
Confluence,worldwide,1,2026-05-03,t1,10,13,76.92
Asana,worldwide,1,2026-05-04,t2,30,30,100.0
Monday,worldwide,1,2026-05-04,t2,25,30,83.33
Jira,worldwide,1,2026-05-04,t2,89,30,296.67
Trello,worldwide,1,2026-05-04,t2,55,30,183.33
Confluence,worldwide,1,2026-05-04,t2,30,30,100.0
Asana,worldwide,1,2026-05-05,t2,30,30,100.0
Monday,worldwide,1,2026-05-05,t2,22,30,73.33
Jira,worldwide,1,2026-05-05,t2,96,30,320.0
Trello,worldwide,1,2026-05-05,t2,55,30,183.33
Confluence,worldwide,1,2026-05-05,t2,33,30,110.0
Asana,worldwide,1,2026-05-06,t2,30,30,100.0
Monday,worldwide,1,2026-05-06,t2,21,30,70.0
Jira,worldwide,1,2026-05-06,t2,96,30,320.0
Trello,worldwide,1,2026-05-06,t2,56,30,186.67
Confluence,worldwide,1,2026-05-06,t2,34,30,113.33
Asana,worldwide,1,2026-05-07,t2,30,30,100.0
Monday,worldwide,1,2026-05-07,t2,23,30,76.67
Jira,worldwide,1,2026-05-07,t2,95,30,316.67
Trello,worldwide,1,2026-05-07,t2,53,30,176.67
Confluence,worldwide,1,2026-05-07,t2,32,30,106.67
Asana,worldwide,1,2026-05-08,t2,25,25,100.0
Monday,worldwide,1,2026-05-08,t2,16,25,64.0
Jira,worldwide,1,2026-05-08,t2,83,25,332.0
Trello,worldwide,1,2026-05-08,t2,56,25,224.0
Confluence,worldwide,1,2026-05-08,t2,28,25,112.0
Asana,worldwide,1,2026-05-09,t2,12,12,100.0
Monday,worldwide,1,2026-05-09,t2,7,12,58.33
Jira,worldwide,1,2026-05-09,t2,32,12,266.67
Trello,worldwide,1,2026-05-09,t2,33,12,275.0
Confluence,worldwide,1,2026-05-09,t2,10,12,83.33
Asana,worldwide,1,2026-05-10,t2,11,11,100.0
Monday,worldwide,1,2026-05-10,t2,8,11,72.73
Jira,worldwide,1,2026-05-10,t2,35,11,318.18
Trello,worldwide,1,2026-05-10,t2,37,11,336.36
Confluence,worldwide,1,2026-05-10,t2,10,11,90.91
Notion,worldwide,2,2026-04-27,t1,97,20,485.0
ClickUp,worldwide,2,2026-04-27,t1,22,20,110.0
Smartsheet,worldwide,2,2026-04-27,t1,7,20,35.0
Airtable,worldwide,2,2026-04-27,t1,11,20,55.0
Notion,worldwide,2,2026-04-28,t1,95,18,527.78
ClickUp,worldwide,2,2026-04-28,t1,21,18,116.67
Smartsheet,worldwide,2,2026-04-28,t1,6,18,33.33
Airtable,worldwide,2,2026-04-28,t1,11,18,61.11
Notion,worldwide,2,2026-04-29,t1,90,18,500.0
ClickUp,worldwide,2,2026-04-29,t1,22,18,122.22
Smartsheet,worldwide,2,2026-04-29,t1,6,18,33.33
Airtable,worldwide,2,2026-04-29,t1,12,18,66.67
Notion,worldwide,2,2026-04-30,t1,85,18,472.22
ClickUp,worldwide,2,2026-04-30,t1,19,18,105.56
Smartsheet,worldwide,2,2026-04-30,t1,6,18,33.33
Airtable,worldwide,2,2026-04-30,t1,12,18,66.67
Notion,worldwide,2,2026-05-01,t1,71,13,546.15
ClickUp,worldwide,2,2026-05-01,t1,13,13,100.0
Smartsheet,worldwide,2,2026-05-01,t1,6,13,46.15
Airtable,worldwide,2,2026-05-01,t1,11,13,84.62
Notion,worldwide,2,2026-05-02,t1,64,8,800.0
