brand,region,t1_n_days_total,t1_n_nonzero_days,t1_mean,t1_sd,t1_min,t1_max,t1_eligible_E1b,t1_sparse_E5,t2_n_days_total,t2_n_nonzero_days,t2_mean,t2_sd,t2_min,t2_max,t2_eligible_E1b,t2_sparse_E5
Airtable,worldwide,7,7,72.72,13.54,55.0,87.5,True,False,7,7,74.3,18.25,55.56,100.0,True,False
Airtable,US,7,7,71.58,8.09,63.41,85.71,True,False,7,7,73.8,12.18,63.41,91.67,True,False
Asana,worldwide,7,7,100.0,0.0,100.0,100.0,False,False,7,7,100.0,0.0,100.0,100.0,False,False
Asana,US,7,7,100.0,0.0,100.0,100.0,False,False,7,7,100.0,0.0,100.0,100.0,False,False
Basecamp,worldwide,7,7,23.85,6.2,18.0,33.33,True,False,7,7,21.84,4.94,18.28,30.56,True,False
Basecamp,US,7,7,29.99,8.13,23.66,42.42,True,False,7,7,26.95,6.23,21.88,39.29,True,False
ClickUp,worldwide,7,7,114.92,9.95,100.0,125.0,True,False,7,7,114.08,8.48,105.56,128.57,True,False
ClickUp,US,7,7,72.69,6.35,65.71,80.0,True,False,7,7,70.71,11.9,59.52,90.91,True,False
Coda,worldwide,7,7,15.82,6.46,10.75,26.32,True,False,7,7,15.06,7.57,9.68,27.03,True,False
Coda,US,7,7,16.15,7.36,10.75,27.27,True,False,7,7,19.04,12.83,9.38,42.31,True,False
Confluence,worldwide,7,7,100.1,15.03,76.92,113.79,True,False,7,7,102.32,11.47,83.33,113.33,True,False
Confluence,US,7,7,89.98,16.4,61.54,108.57,True,False,7,7,94.33,11.29,80.0,112.12,True,False
GitHub Projects,worldwide,7,7,28.01,12.62,18.0,50.0,True,False,7,7,26.81,13.77,16.13,50.0,True,False
GitHub Projects,US,7,7,14.25,5.76,9.52,24.24,True,False,7,7,15.84,11.54,8.79,38.46,True,False
Height,worldwide,7,0,0.0,0.0,0.0,0.0,False,True,7,1,1.02,2.7,0.0,7.14,True,True
Height,US,7,0,0.0,0.0,0.0,0.0,False,True,7,0,0.0,0.0,0.0,0.0,False,True
Jira,worldwide,7,7,311.38,52.16,246.15,409.52,True,False,7,7,310.03,21.8,266.67,332.0,True,False
Jira,US,7,7,234.61,43.25,146.15,277.78,True,False,7,7,235.86,28.1,190.91,278.79,True,False
Linear,worldwide,7,7,1.88,0.68,1.0,2.63,True,False,7,7,2.41,2.22,1.06,5.88,True,False
Linear,US,7,7,1.8,0.95,1.0,3.03,True,False,7,6,1.3,1.09,0.0,3.57,True,False
Monday,worldwide,7,7,72.61,8.35,63.33,87.5,True,False,7,7,71.2,8.19,58.33,83.33,True,False
Monday,US,7,7,84.29,17.0,69.23,118.92,True,False,7,7,78.8,13.02,63.64,102.94,True,False
Motion,worldwide,7,6,1.41,0.93,0.0,2.63,True,False,7,7,1.6,0.84,1.06,2.94,True,False
Motion,US,7,1,0.15,0.41,0.0,1.08,True,True,7,1,0.14,0.38,0.0,1.0,True,True
Notion,worldwide,7,7,591.95,148.53,472.22,812.5,True,False,7,7,628.25,213.73,483.33,1000.0,True,False
Notion,US,7,7,309.94,121.14,226.83,521.43,True,False,7,7,330.72,163.63,219.51,609.09,True,False
Smartsheet,worldwide,7,7,33.02,7.13,25.0,46.15,True,False,7,7,32.52,9.04,14.29,38.89,True,False
Smartsheet,US,7,7,70.65,17.93,42.86,85.71,True,False,7,7,72.95,20.84,36.36,89.47,True,False
Todoist,worldwide,7,7,28.38,9.27,21.51,43.59,True,False,7,7,27.35,9.54,20.43,44.12,True,False
Todoist,US,7,7,24.5,10.06,17.78,42.42,True,False,7,7,25.06,10.83,17.0,42.86,True,False
Trello,worldwide,7,7,206.32,45.45,171.88,275.0,True,False,7,7,223.62,60.78,176.67,336.36,True,False
Trello,US,7,7,136.9,74.81,88.89,253.85,True,False,7,7,165.16,138.58,81.08,450.0,True,False
Workfront,worldwide,7,7,6.67,1.45,5.0,9.09,True,False,7,7,6.7,1.13,5.38,8.33,True,False
Workfront,US,7,7,10.01,3.08,5.88,13.98,True,False,7,7,10.57,3.84,3.57,14.77,True,False
Wrike,worldwide,7,7,12.14,0.71,11.0,13.16,True,False,7,7,11.35,0.51,10.64,11.83,True,False
Wrike,US,7,7,13.77,2.58,8.82,16.13,True,False,7,7,13.89,2.03,10.71,15.91,True,False
