brand,market_tier,is_pivot,phase_b_disposition,ai_presence_t1_pct,ai_presence_t2_pct,trends_ww_t1_rescaled,trends_ww_t2_rescaled,scale_mismatch_case
Bertolli,incumbent,False,PASS,2.08,6.25,150.96,158.46,False
California Olive Ranch,incumbent,True,PASS,70.83,67.71,100.00,100.00,False
Cobram Estate,incumbent,False,PASS,48.96,45.83,129.79,123.97,False
Lucini,mid-tier,False,EXCLUDED_E1a,19.79,17.71,below display threshold,below display threshold,True
Frantoio Muraglia,mid-tier,False,PASS,28.12,36.46,33.69,39.49,False
Castillo de Canena,mid-tier,False,PASS,22.92,18.75,30.51,26.43,False
McEvoy Ranch,mid-tier,False,EXCLUDED_E1a,9.38,5.21,below display threshold,below display threshold,True
Manni,mid-tier,False,EXCLUDED_E1a,5.21,3.12,below display threshold,below display threshold,True
Colonna,mid-tier,False,EXCLUDED_E1a,5.21,4.17,below display threshold,below display threshold,True
Brightland,challenger,False,PASS,45.83,26.04,57.14,61.90,False
Graza,challenger,False,PASS,28.12,19.79,385.71,442.86,False
Frescobaldi Laudemio,challenger,False,EXCLUDED_E1a,21.88,22.92,below display threshold,below display threshold,True
Olio Verde,challenger,False,EXCLUDED_E1a,16.67,22.92,below display threshold,below display threshold,True
Kosterina,challenger,False,PASS,27.08,31.25,45.24,47.62,False
Núñez de Prado,challenger,False,EXCLUDED_E1a,5.21,4.17,below display threshold,below display threshold,True
