brand,category,market_tier,tier_ordinal,brand_age_years,founding_year,ai_t1_pct,ai_t2_pct,e1a_excluded,is_pivot,is_phantom,trends_ww_t1_mean,trends_ww_t1_eligible,trends_ww_t1_raw_eligible,trends_ww_t1_sparse,trends_ww_t2_mean,trends_ww_t2_eligible,trends_ww_t2_raw_eligible,trends_ww_t2_sparse,trends_us_t1_mean,trends_us_t1_eligible,trends_us_t1_raw_eligible,trends_us_t1_sparse,trends_us_t2_mean,trends_us_t2_eligible,trends_us_t2_raw_eligible,trends_us_t2_sparse
Asana,pmsoftware,incumbent,1,14.0,2012.0,80.21,81.25,False,True,False,100.0,True,True,False,100.0,True,True,False,100.0,True,True,False,100.0,True,True,False
Monday,pmsoftware,incumbent,1,12.0,2014.0,59.38,57.29,False,False,False,75.0,True,True,False,71.13,True,True,False,82.38,True,True,False,77.48,True,True,False
Jira,pmsoftware,incumbent,1,24.0,2002.0,78.12,79.17,False,False,False,315.37,True,True,False,308.37,True,True,False,230.14,True,True,False,232.53,True,True,False
Trello,pmsoftware,incumbent,1,15.0,2011.0,33.33,30.21,False,False,False,212.04,True,True,False,227.31,True,True,False,130.75,True,True,False,165.33,True,True,False
Confluence,pmsoftware,incumbent,1,22.0,2004.0,20.83,18.75,False,False,False,100.44,True,True,False,102.66,True,True,False,88.34,True,True,False,98.79,True,True,False
Notion,pmsoftware,mid-tier,2,10.0,2016.0,79.17,78.12,False,False,False,589.46,True,True,False,618.28,True,True,False,307.37,True,True,False,322.22,True,True,False
ClickUp,pmsoftware,mid-tier,2,9.0,2017.0,62.5,62.5,False,False,False,118.78,True,True,False,114.25,True,True,False,70.79,True,True,False,69.77,True,True,False
Smartsheet,pmsoftware,mid-tier,2,20.0,2006.0,8.33,9.38,False,False,False,33.33,True,True,False,35.52,True,True,False,70.34,True,True,False,75.64,True,True,False
Wrike,pmsoftware,mid-tier,2,20.0,2006.0,8.33,7.29,False,False,False,12.01,True,True,False,11.32,True,True,False,13.6,True,True,False,13.61,True,True,False
Airtable,pmsoftware,mid-tier,2,11.0,2015.0,12.5,12.5,False,False,False,72.83,True,True,False,72.35,True,True,False,69.34,True,True,False,74.07,True,True,False
Basecamp,pmsoftware,mid-tier,2,22.0,2004.0,5.21,2.08,False,False,False,23.67,True,True,False,22.25,True,True,False,29.46,True,True,False,27.98,True,True,False
Coda,pmsoftware,mid-tier,2,9.0,2017.0,8.33,7.29,False,False,False,15.09,True,True,False,15.25,True,True,False,15.35,True,True,False,17.88,True,True,False
Workfront,pmsoftware,mid-tier,2,24.0,2002.0,1.04,0.0,False,False,False,6.48,True,True,False,6.15,True,True,False,9.7,True,True,False,10.5,True,True,False
Linear,pmsoftware,challenger,3,7.0,2019.0,86.46,89.58,False,False,False,2.18,True,True,False,2.3,True,True,False,1.75,True,True,False,1.81,True,False,False
Height,pmsoftware,challenger,3,5.0,2021.0,15.62,13.54,False,False,False,0.0,False,False,True,1.97,True,True,True,0.0,False,False,True,1.1,True,True,True
Motion,pmsoftware,challenger,3,7.0,2019.0,8.33,9.38,False,False,False,1.38,True,True,False,1.54,True,False,False,0.88,True,True,False,0.0,False,False,True
Shortcut,pmsoftware,challenger,3,,,21.88,26.04,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Todoist,pmsoftware,challenger,3,19.0,2007.0,1.04,0.0,False,False,False,28.51,True,True,False,28.28,True,True,False,24.2,True,True,False,26.06,True,True,False
GitHub Projects,pmsoftware,challenger,3,10.0,2016.0,42.71,37.5,False,False,False,27.61,True,True,False,26.51,True,True,False,14.24,True,True,False,14.47,True,True,False
Bertolli,oliveoil,incumbent,1,161.0,1865.0,2.08,6.25,False,False,False,150.96,True,True,False,158.46,True,True,False,79.27,True,True,False,80.55,True,True,False
Colavita,oliveoil,incumbent,1,,,4.17,2.08,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Filippo Berio,oliveoil,incumbent,1,,,1.04,5.21,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
California Olive Ranch,oliveoil,incumbent,1,28.0,1998.0,70.83,67.71,False,True,False,100.0,True,True,False,100.0,True,True,False,100.0,True,True,False,100.0,True,True,False
Goya,oliveoil,incumbent,1,,,0.0,0.0,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Cobram Estate,oliveoil,incumbent,1,28.0,1998.0,48.96,45.83,False,False,False,129.79,True,True,False,123.97,True,True,False,35.74,True,True,False,32.55,True,True,False
Lucini,oliveoil,mid-tier,2,28.0,1998.0,19.79,17.71,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Partanna,oliveoil,mid-tier,2,,,3.12,4.17,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Frantoio Muraglia,oliveoil,mid-tier,2,86.0,1940.0,28.12,36.46,False,False,False,33.69,True,True,False,39.49,True,True,False,1.57,True,True,True,3.64,True,True,True
Castillo de Canena,oliveoil,mid-tier,2,23.0,2003.0,22.92,18.75,False,False,False,30.51,True,True,False,26.43,True,True,False,0.0,False,False,True,0.0,False,False,True
McEvoy Ranch,oliveoil,mid-tier,2,36.0,1990.0,9.38,5.21,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
