brand,category,premium_tier,tier_ordinal,founding_year,brand_age_years,ai_t1_pct,ai_t2_pct,e1a_excluded,tested_not_activated,is_pivot,trends_ww_t1_mean,trends_ww_t1_eligible,trends_ww_t1_raw_eligible,trends_ww_t1_sparse,trends_ww_t2_mean,trends_ww_t2_eligible,trends_ww_t2_raw_eligible,trends_ww_t2_sparse,trends_us_t1_mean,trends_us_t1_eligible,trends_us_t1_raw_eligible,trends_us_t1_sparse,trends_us_t2_mean,trends_us_t2_eligible,trends_us_t2_raw_eligible,trends_us_t2_sparse
TWG Tea,premium_tea,luxury,3,2008,18,25.0,25.0,False,False,False,23.39,True,True,False,24.91,True,True,False,10.2,True,True,False,10.78,True,True,False
Ten Ren's Tea,premium_tea,specialty,1,1953,73,0.0,0.0,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
TenFu's Tea,premium_tea,specialty,1,1993,33,0.0,0.0,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Jing Tea,premium_tea,specialty,1,2004,22,6.25,16.67,False,False,False,5.66,True,True,False,5.01,True,True,False,5.25,True,True,False,5.32,True,True,False
Ippodo Tea,premium_tea,luxury,3,1717,309,33.33,33.33,False,False,False,7.88,True,True,False,7.7,True,True,False,13.63,True,True,False,16.65,True,True,False
Marukyu Koyamaen,premium_tea,luxury,3,1704,322,22.92,16.67,False,False,False,25.22,True,True,False,23.61,True,True,False,49.07,True,True,False,47.52,True,True,False
Lupicia,premium_tea,specialty,1,1994,32,2.08,0.0,False,False,False,7.96,True,True,False,8.35,True,True,False,4.78,True,True,False,5.89,True,True,False
Ito En,premium_tea,mainstream-premium,2,1966,60,2.08,0.0,False,False,False,27.68,True,True,False,26.19,True,True,False,50.02,True,True,False,50.69,True,True,False
Twinings,premium_tea,mainstream-premium,2,1706,320,2.08,4.17,False,False,True,100.0,True,True,False,100.0,True,True,False,100.0,True,True,False,100.0,True,True,False
Fortnum & Mason,premium_tea,luxury,3,1707,319,33.33,27.08,False,False,False,21.87,True,True,False,23.12,True,True,False,38.35,True,True,False,40.2,True,True,False
Whittard of Chelsea,premium_tea,mainstream-premium,2,1886,140,2.08,6.25,False,False,False,4.61,True,True,False,5.66,True,True,False,0.0,False,False,True,1.79,True,True,True
Tea Pigs,premium_tea,specialty,1,2006,20,6.25,6.25,False,False,False,3.39,True,True,False,4.73,True,True,False,10.28,True,True,False,11.76,True,False,False
Postcard Teas,premium_tea,specialty,1,2002,24,4.17,12.5,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Makaibari,premium_tea,luxury,3,1859,167,6.25,6.25,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Glenburn Tea Estate,premium_tea,luxury,3,1859,167,2.08,0.0,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Vahdam Teas,premium_tea,specialty,1,2015,11,16.67,12.5,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Tea Box,premium_tea,specialty,1,2012,14,4.17,8.33,False,False,False,166.74,True,True,False,169.35,True,True,False,428.17,True,True,False,406.63,True,True,False
Harney & Sons,premium_tea,specialty,1,1983,43,70.83,62.5,False,False,False,28.61,True,True,False,30.18,True,True,False,84.38,True,True,False,81.63,True,True,False
Rishi Tea,premium_tea,specialty,1,1997,29,50.0,39.58,False,False,False,17.12,True,True,False,17.45,True,True,False,78.51,True,True,False,75.91,True,True,False
Numi Organic Tea,premium_tea,specialty,1,1999,27,20.83,20.83,False,False,False,4.23,True,True,False,4.3,True,True,False,8.17,True,True,False,10.01,True,True,False
Smith Teamaker,premium_tea,specialty,1,2009,17,2.08,4.17,False,False,False,2.44,True,True,False,2.97,True,True,False,12.09,True,True,False,12.23,True,True,False
Republic of Tea,premium_tea,specialty,1,1992,34,2.08,4.17,False,False,False,27.11,True,True,False,27.23,True,True,False,92.13,True,True,False,88.11,True,True,False
Wang De Chuan,premium_tea,specialty,1,1862,164,0.0,0.0,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
In Pursuit of Tea,premium_tea,specialty,1,2002,24,10.42,12.5,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Yunnan Sourcing,premium_tea,specialty,1,2004,22,62.5,64.58,False,False,False,2.76,True,True,False,3.35,True,True,False,9.96,True,True,False,11.81,True,True,False
