brand,category,region,bundle_id,date,wave,raw_value,pivot_raw_value,rescaled_value
Twinings,premium_tea,worldwide,1,2026-04-27,t1,100,100,100.0
TWG Tea,premium_tea,worldwide,1,2026-04-27,t1,23,100,23.0
Jing Tea,premium_tea,worldwide,1,2026-04-27,t1,6,100,6.0
Yunnan Sourcing,premium_tea,worldwide,1,2026-04-27,t1,0,100,0.0
Ippodo Tea,premium_tea,worldwide,1,2026-04-27,t1,13,100,13.0
Twinings,premium_tea,worldwide,1,2026-04-28,t1,86,86,100.0
TWG Tea,premium_tea,worldwide,1,2026-04-28,t1,18,86,20.93
Jing Tea,premium_tea,worldwide,1,2026-04-28,t1,4,86,4.65
Yunnan Sourcing,premium_tea,worldwide,1,2026-04-28,t1,2,86,2.33
Ippodo Tea,premium_tea,worldwide,1,2026-04-28,t1,6,86,6.98
Twinings,premium_tea,worldwide,1,2026-04-29,t1,83,83,100.0
TWG Tea,premium_tea,worldwide,1,2026-04-29,t1,19,83,22.89
Jing Tea,premium_tea,worldwide,1,2026-04-29,t1,5,83,6.02
Yunnan Sourcing,premium_tea,worldwide,1,2026-04-29,t1,3,83,3.61
Ippodo Tea,premium_tea,worldwide,1,2026-04-29,t1,5,83,6.02
Twinings,premium_tea,worldwide,1,2026-04-30,t1,78,78,100.0
TWG Tea,premium_tea,worldwide,1,2026-04-30,t1,18,78,23.08
Jing Tea,premium_tea,worldwide,1,2026-04-30,t1,4,78,5.13
Yunnan Sourcing,premium_tea,worldwide,1,2026-04-30,t1,3,78,3.85
Ippodo Tea,premium_tea,worldwide,1,2026-04-30,t1,6,78,7.69
Twinings,premium_tea,worldwide,1,2026-05-01,t1,82,82,100.0
TWG Tea,premium_tea,worldwide,1,2026-05-01,t1,21,82,25.61
Jing Tea,premium_tea,worldwide,1,2026-05-01,t1,4,82,4.88
Yunnan Sourcing,premium_tea,worldwide,1,2026-05-01,t1,3,82,3.66
Ippodo Tea,premium_tea,worldwide,1,2026-05-01,t1,6,82,7.32
Twinings,premium_tea,worldwide,1,2026-05-02,t1,84,84,100.0
TWG Tea,premium_tea,worldwide,1,2026-05-02,t1,20,84,23.81
Jing Tea,premium_tea,worldwide,1,2026-05-02,t1,5,84,5.95
Yunnan Sourcing,premium_tea,worldwide,1,2026-05-02,t1,3,84,3.57
Ippodo Tea,premium_tea,worldwide,1,2026-05-02,t1,6,84,7.14
Twinings,premium_tea,worldwide,1,2026-05-03,t1,86,86,100.0
TWG Tea,premium_tea,worldwide,1,2026-05-03,t1,21,86,24.42
Jing Tea,premium_tea,worldwide,1,2026-05-03,t1,6,86,6.98
Yunnan Sourcing,premium_tea,worldwide,1,2026-05-03,t1,2,86,2.33
Ippodo Tea,premium_tea,worldwide,1,2026-05-03,t1,6,86,6.98
Twinings,premium_tea,worldwide,1,2026-05-04,t2,82,82,100.0
TWG Tea,premium_tea,worldwide,1,2026-05-04,t2,19,82,23.17
Jing Tea,premium_tea,worldwide,1,2026-05-04,t2,4,82,4.88
Yunnan Sourcing,premium_tea,worldwide,1,2026-05-04,t2,3,82,3.66
Ippodo Tea,premium_tea,worldwide,1,2026-05-04,t2,6,82,7.32
Twinings,premium_tea,worldwide,1,2026-05-05,t2,80,80,100.0
TWG Tea,premium_tea,worldwide,1,2026-05-05,t2,21,80,26.25
Jing Tea,premium_tea,worldwide,1,2026-05-05,t2,4,80,5.0
Yunnan Sourcing,premium_tea,worldwide,1,2026-05-05,t2,3,80,3.75
Ippodo Tea,premium_tea,worldwide,1,2026-05-05,t2,6,80,7.5
Twinings,premium_tea,worldwide,1,2026-05-06,t2,85,85,100.0
TWG Tea,premium_tea,worldwide,1,2026-05-06,t2,20,85,23.53
Jing Tea,premium_tea,worldwide,1,2026-05-06,t2,4,85,4.71
Yunnan Sourcing,premium_tea,worldwide,1,2026-05-06,t2,3,85,3.53
Ippodo Tea,premium_tea,worldwide,1,2026-05-06,t2,7,85,8.24
Twinings,premium_tea,worldwide,1,2026-05-07,t2,84,84,100.0
TWG Tea,premium_tea,worldwide,1,2026-05-07,t2,20,84,23.81
Jing Tea,premium_tea,worldwide,1,2026-05-07,t2,4,84,4.76
Yunnan Sourcing,premium_tea,worldwide,1,2026-05-07,t2,3,84,3.57
Ippodo Tea,premium_tea,worldwide,1,2026-05-07,t2,6,84,7.14
Twinings,premium_tea,worldwide,1,2026-05-08,t2,83,83,100.0
TWG Tea,premium_tea,worldwide,1,2026-05-08,t2,22,83,26.51
Jing Tea,premium_tea,worldwide,1,2026-05-08,t2,4,83,4.82
Yunnan Sourcing,premium_tea,worldwide,1,2026-05-08,t2,2,83,2.41
Ippodo Tea,premium_tea,worldwide,1,2026-05-08,t2,6,83,7.23
Twinings,premium_tea,worldwide,1,2026-05-09,t2,99,99,100.0
TWG Tea,premium_tea,worldwide,1,2026-05-09,t2,25,99,25.25
Jing Tea,premium_tea,worldwide,1,2026-05-09,t2,5,99,5.05
Yunnan Sourcing,premium_tea,worldwide,1,2026-05-09,t2,3,99,3.03
Ippodo Tea,premium_tea,worldwide,1,2026-05-09,t2,7,99,7.07
Twinings,premium_tea,worldwide,1,2026-05-10,t2,85,85,100.0
TWG Tea,premium_tea,worldwide,1,2026-05-10,t2,22,85,25.88
Jing Tea,premium_tea,worldwide,1,2026-05-10,t2,5,85,5.88
Yunnan Sourcing,premium_tea,worldwide,1,2026-05-10,t2,3,85,3.53
Ippodo Tea,premium_tea,worldwide,1,2026-05-10,t2,8,85,9.41
Marukyu Koyamaen,premium_tea,worldwide,2,2026-04-27,t1,30,100,30.0
Lupicia,premium_tea,worldwide,2,2026-04-27,t1,8,100,8.0
Ito En,premium_tea,worldwide,2,2026-04-27,t1,34,100,34.0
Fortnum & Mason,premium_tea,worldwide,2,2026-04-27,t1,29,100,29.0
Marukyu Koyamaen,premium_tea,worldwide,2,2026-04-28,t1,20,86,23.26
Lupicia,premium_tea,worldwide,2,2026-04-28,t1,6,86,6.98
Ito En,premium_tea,worldwide,2,2026-04-28,t1,24,86,27.91
Fortnum & Mason,premium_tea,worldwide,2,2026-04-28,t1,25,86,29.07
Marukyu Koyamaen,premium_tea,worldwide,2,2026-04-29,t1,18,84,21.43
Lupicia,premium_tea,worldwide,2,2026-04-29,t1,6,84,7.14
Ito En,premium_tea,worldwide,2,2026-04-29,t1,24,84,28.57
Fortnum & Mason,premium_tea,worldwide,2,2026-04-29,t1,14,84,16.67
Marukyu Koyamaen,premium_tea,worldwide,2,2026-04-30,t1,19,80,23.75
Lupicia,premium_tea,worldwide,2,2026-04-30,t1,6,80,7.5
Ito En,premium_tea,worldwide,2,2026-04-30,t1,21,80,26.25
Fortnum & Mason,premium_tea,worldwide,2,2026-04-30,t1,15,80,18.75
Marukyu Koyamaen,premium_tea,worldwide,2,2026-05-01,t1,21,78,26.92
Lupicia,premium_tea,worldwide,2,2026-05-01,t1,7,78,8.97
Ito En,premium_tea,worldwide,2,2026-05-01,t1,20,78,25.64
Fortnum & Mason,premium_tea,worldwide,2,2026-05-01,t1,15,78,19.23
Marukyu Koyamaen,premium_tea,worldwide,2,2026-05-02,t1,20,79,25.32
Lupicia,premium_tea,worldwide,2,2026-05-02,t1,7,79,8.86
Ito En,premium_tea,worldwide,2,2026-05-02,t1,22,79,27.85
Fortnum & Mason,premium_tea,worldwide,2,2026-05-02,t1,17,79,21.52
Marukyu Koyamaen,premium_tea,worldwide,2,2026-05-03,t1,22,85,25.88
Lupicia,premium_tea,worldwide,2,2026-05-03,t1,7,85,8.24
Ito En,premium_tea,worldwide,2,2026-05-03,t1,20,85,23.53
Fortnum & Mason,premium_tea,worldwide,2,2026-05-03,t1,16,85,18.82
Marukyu Koyamaen,premium_tea,worldwide,2,2026-05-04,t2,19,82,23.17
Lupicia,premium_tea,worldwide,2,2026-05-04,t2,6,82,7.32
