brand,category,region,t1_n_days_total,t1_n_nonzero_days,t1_mean,t1_sd,t1_min,t1_max,t1_raw_mean,t1_raw_sd,t1_eligible_E1b,t1_raw_eligible,t1_sparse_E5,t2_n_days_total,t2_n_nonzero_days,t2_mean,t2_sd,t2_min,t2_max,t2_raw_mean,t2_raw_sd,t2_eligible_E1b,t2_raw_eligible,t2_sparse_E5
Fortnum & Mason,premium_tea,worldwide,7,7,21.87,5.1,16.67,29.07,18.71,5.85,True,True,False,7,7,23.12,4.16,18.6,31.25,20.14,4.74,True,True,False
Fortnum & Mason,premium_tea,US,7,7,38.35,14.77,28.0,68.0,29.86,18.57,True,True,False,7,7,40.2,7.03,31.25,51.52,29.43,10.64,True,True,False
Harney & Sons,premium_tea,worldwide,7,7,28.61,11.78,20.0,54.29,8.86,4.56,True,True,False,7,7,30.18,4.67,24.14,34.48,9.14,1.86,True,True,False
Harney & Sons,premium_tea,US,7,7,84.38,40.63,55.56,175.0,8,5.77,True,True,False,7,7,81.63,16.01,62.5,112.5,7.14,1.95,True,True,False
Ippodo Tea,premium_tea,worldwide,7,7,7.88,2.32,6.02,13.0,6.86,2.73,True,True,False,7,7,7.7,0.85,7.07,9.41,6.57,0.79,True,True,False
Ippodo Tea,premium_tea,US,7,6,13.63,6.46,0.0,18.97,9.29,4.19,True,True,False,7,7,16.65,2.56,13.13,20.59,11.71,1.38,True,True,False
Ito En,premium_tea,worldwide,7,7,27.68,3.27,23.53,34.0,23.57,4.89,True,True,False,7,7,26.19,2.57,21.88,29.27,22.57,1.27,True,True,False
Ito En,premium_tea,US,7,7,50.02,5.01,42.35,57.0,36.86,9.15,True,True,False,7,7,50.69,7.42,38.38,63.79,35.57,2.51,True,True,False
Jing Tea,premium_tea,worldwide,7,7,5.66,0.81,4.65,6.98,4.86,0.9,True,True,False,7,7,5.01,0.4,4.71,5.88,4.29,0.49,True,True,False
Jing Tea,premium_tea,US,7,6,5.25,2.99,0.0,9.33,3.71,2.36,True,True,False,7,7,5.32,1.63,2.7,7.35,3.71,0.95,True,True,False
Lupicia,premium_tea,worldwide,7,7,7.96,0.79,6.98,8.97,6.71,0.76,True,True,False,7,7,8.35,1.69,6.98,10.99,7.29,1.89,True,True,False
Lupicia,premium_tea,US,7,6,4.78,2.18,0.0,6.15,3.29,1.5,True,True,False,7,7,5.89,1.15,4.04,7.35,4.14,0.69,True,True,False
Marukyu Koyamaen,premium_tea,worldwide,7,7,25.22,2.79,21.43,30.0,21.43,3.99,True,True,False,7,7,23.61,1.46,21.69,25.88,20.43,1.51,True,True,False
Marukyu Koyamaen,premium_tea,US,7,7,49.07,8.86,36.47,62.0,36.29,11.7,True,True,False,7,7,47.52,4.92,39.39,54.41,33.57,3.46,True,True,False
Numi Organic Tea,premium_tea,worldwide,7,7,4.23,2.23,2.5,9.0,3.71,2.43,True,True,False,7,7,4.3,0.57,3.49,4.88,3.71,0.49,True,True,False
Numi Organic Tea,premium_tea,US,7,6,8.17,4.63,0.0,15.38,4.43,2.99,True,True,False,7,7,10.01,2.34,7.69,13.46,5.43,1.51,True,True,False
Republic of Tea,premium_tea,worldwide,7,7,27.11,6.87,22.35,42.0,23.29,8.38,True,True,False,7,7,27.23,2.6,24.1,31.76,23.57,2.64,True,True,False
Republic of Tea,premium_tea,US,7,7,92.13,18.72,75.38,131.58,52.57,21.13,True,True,False,7,7,88.11,14.59,62.67,104.55,46.71,3.25,True,True,False
Rishi Tea,premium_tea,worldwide,7,7,17.12,2.03,14.29,21.0,14.57,2.99,True,True,False,7,7,17.45,1.51,15.66,19.28,15.14,1.95,True,True,False
Rishi Tea,premium_tea,US,7,7,78.51,15.66,63.08,111.84,44.86,18.03,True,True,False,7,7,75.91,10.53,62.67,96.15,40.71,5.82,True,True,False
Smith Teamaker,premium_tea,worldwide,7,6,2.44,1.21,0.0,3.75,2,1.0,True,True,False,7,7,2.97,0.6,2.33,3.66,2.57,0.53,True,True,False
