brand_canonical,category,tier_in_registry,pytrends_chosen_mid,pytrends_chosen_title,pytrends_chosen_type,solo_query,solo_phase_b_result,solo_max_value,solo_mean_value,e5_bundled_result,e5_slot_max,e5_slot_mean,final_query_tier,acquisition_query,notes
TWG Tea,premium_tea,chinese,/g/1tjgxwyv,TWG Tea at ION Orchard,Tea house in Singapore,TWG Tea,PASS,100,79.57,NOT_TESTED,,,PASS,TWG Tea,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea house in Singapore' matches category keyword set
Ten Ren's Tea,premium_tea,chinese,/m/0d6wfx,Ten Ren Tea,Food and beverage company,Ten Ren's Tea,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Food and beverage company' matches category keyword set
TenFu's Tea,premium_tea,chinese,/g/11rxp2spzy,TenFu's TEA,Topic,TenFu's Tea,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,DEVIATIONS Entry 1: bare canonical query | pytrends audit: no category-keyword match; defaulted to first suggestion (type='Topic')
Jing Tea,premium_tea,chinese,/m/053wng,Longjing tea,Tea,Jing Tea,PASS,100,70.86,NOT_TESTED,,,PASS,Jing Tea,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea' matches category keyword set
Ippodo Tea,premium_tea,japanese,/g/11ly_6plw3,Ippodo Tea (Kyoto Since 1717) Sayaka - Rich Matcha (40g Can),Tea,Ippodo Tea,PASS,100,74.0,NOT_TESTED,,,PASS,Ippodo Tea,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea' matches category keyword set
Marukyu Koyamaen,premium_tea,japanese,/g/11wy7s2__d,"Marukyu Koyamaen Aoarashi, Ceremonial Grade Matcha, 40 Gram",Tea,Marukyu Koyamaen,PASS,100,81.86,NOT_TESTED,,,PASS,Marukyu Koyamaen,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea' matches category keyword set
Lupicia,premium_tea,japanese,/g/1tlz_547,LUPICIA,"Tea store in Shinjuku, Japan",Lupicia,PASS,100,78.71,NOT_TESTED,,,PASS,Lupicia,"DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea store in Shinjuku, Japan' matches category keyword set"
Ito En,premium_tea,japanese,/m/0bpxyg,Ito En,Drink company,Ito En,PASS,100,84.29,NOT_TESTED,,,PASS,Ito En,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Drink company' matches category keyword set
Twinings,premium_tea,british,/m/088hqg,Twinings,Company,Twinings,PASS,100,86.29,NOT_TESTED,,,PASS,Twinings,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Company' matches category keyword set
Fortnum & Mason,premium_tea,british,/g/1hc88b9qp,The Diamond Jubilee Tea Salon at Fortnum & Mason,"Tea house in London, England",Fortnum & Mason,PASS,100,85.0,NOT_TESTED,,,PASS,Fortnum & Mason,"DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea house in London, England' matches category keyword set"
Whittard of Chelsea,premium_tea,british,/g/1trrcnxs,Whittard of Chelsea Covent Garden,"Tea store in London, England",Whittard of Chelsea,PASS,100,14.29,NOT_TESTED,,,PASS,Whittard of Chelsea,"DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea store in London, England' matches category keyword set"
Tea Pigs,premium_tea,british,/g/11s8lbb849,Teapigs Darjeeling Earl Grey Tea,Tea,Tea Pigs,PASS,100,31.29,NOT_TESTED,,,PASS,Tea Pigs,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea' matches category keyword set
Postcard Teas,premium_tea,british,/g/1tj49yzg,Postcard Teas,"Tea store in London, England",Postcard Teas,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,"DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea store in London, England' matches category keyword set"
Makaibari,premium_tea,indian,/g/11g1mjzl_m,"Taj Chia Kutir Resort & Spa, Darjeeling","Hotel in Makai Bari Tea Garden, India",Makaibari,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,"DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Hotel in Makai Bari Tea Garden, India' matches category keyword set"
Glenburn Tea Estate,premium_tea,indian,/g/1hf0gzzw8,Glenburn Tea Estate,"Hotel in Kambal Tea Garden, India",Glenburn Tea Estate,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,"DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Hotel in Kambal Tea Garden, India' matches category keyword set"
Vahdam Teas,premium_tea,indian,/g/11ybl47plp,"Vahdam, Organic Turmeric + Ashwagandha Superfood Herbal Tea",Tea,Vahdam Teas,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea' matches category keyword set
Tea Box,premium_tea,indian,/g/11vkptvvf_,Twinings Lemon Green Tea Box,Tea,Tea Box,PASS,100,88.0,NOT_TESTED,,,PASS,Tea Box,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea' matches category keyword set
Harney & Sons,premium_tea,us_specialty,/m/04y5ts,Harney & Sons,Company,Harney & Sons,PASS,100,79.43,NOT_TESTED,,,PASS,Harney & Sons,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Company' matches category keyword set
Rishi Tea,premium_tea,us_specialty,/g/11p9qrr4bk,Rishi Tea Ceremonial Matcha,Tea,Rishi Tea,PASS,100,86.57,NOT_TESTED,,,PASS,Rishi Tea,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea' matches category keyword set
Numi Organic Tea,premium_tea,us_specialty,/g/11sblpqx7_,Numi Organic Matcha Toasted Rice Green Tea,Tea,Numi Organic Tea,PASS,100,84.71,NOT_TESTED,,,PASS,Numi Organic Tea,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea' matches category keyword set
Smith Teamaker,premium_tea,us_specialty,/g/11v61_b0p2,"Smith Teamaker Tea,Lord Bergamot",Tea,Smith Teamaker,PASS,100,25.29,NOT_TESTED,,,PASS,Smith Teamaker,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Tea' matches category keyword set
Republic of Tea,premium_tea,us_specialty,/m/02ryyk,Republic of Ireland national football team,Soccer team,Republic of Tea,PASS,100,86.14,NOT_TESTED,,,PASS,Republic of Tea,DEVIATIONS Entry 1: bare canonical query | pytrends audit: type='Soccer team' matches category keyword set
