brand_canonical,category,tier_in_registry,pytrends_chosen_mid,pytrends_chosen_title,pytrends_chosen_type,solo_query,solo_phase_b_result,solo_max_value,solo_mean_value,e5_bundled_result,e5_slot_max,e5_slot_mean,final_query_tier,acquisition_query,notes
TWG Tea,premium_tea,chinese,/g/1tjgxwyv,TWG Tea at ION Orchard,Tea house in Singapore,/g/1tjgxwyv,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,pytrends: type='Tea house in Singapore' matches category keyword set
Ten Ren's Tea,premium_tea,chinese,/m/0d6wfx,Ten Ren Tea,Food and beverage company,/m/0d6wfx,PASS,100,83.29,NOT_TESTED,,,PASS,/m/0d6wfx,pytrends: type='Food and beverage company' matches category keyword set
TenFu's Tea,premium_tea,chinese,/g/11rxp2spzy,TenFu's TEA,Topic,/g/11rxp2spzy,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Jing Tea,premium_tea,chinese,/m/053wng,Longjing tea,Tea,/m/053wng,PASS,100,86.14,NOT_TESTED,,,PASS,/m/053wng,pytrends: type='Tea' matches category keyword set
Ippodo Tea,premium_tea,japanese,/g/11ly_6plw3,Ippodo Tea (Kyoto Since 1717) Sayaka - Rich Matcha (40g Can),Tea,/g/11ly_6plw3,PASS,100,63.86,NOT_TESTED,,,PASS,/g/11ly_6plw3,pytrends: type='Tea' matches category keyword set
Marukyu Koyamaen,premium_tea,japanese,/g/11wy7s2__d,"Marukyu Koyamaen Aoarashi, Ceremonial Grade Matcha, 40 Gram",Tea,/g/11wy7s2__d,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,pytrends: type='Tea' matches category keyword set
Lupicia,premium_tea,japanese,/g/1tlz_547,LUPICIA,"Tea store in Shinjuku, Japan",/g/1tlz_547,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,"pytrends: type='Tea store in Shinjuku, Japan' matches category keyword set"
Ito En,premium_tea,japanese,/m/0bpxyg,Ito En,Drink company,/m/0bpxyg,PASS,100,89.86,NOT_TESTED,,,PASS,/m/0bpxyg,pytrends: type='Drink company' matches category keyword set
Twinings,premium_tea,british,/m/088hqg,Twinings,Company,Twinings,PASS,100,88.14,NOT_TESTED,,,PASS,Twinings,pytrends: type='Company' matches category keyword set
Fortnum & Mason,premium_tea,british,/g/1hc88b9qp,The Diamond Jubilee Tea Salon at Fortnum & Mason,"Tea house in London, England",/g/1hc88b9qp,PASS,100,14.29,NOT_TESTED,,,PASS,/g/1hc88b9qp,"pytrends: type='Tea house in London, England' matches category keyword set"
Whittard of Chelsea,premium_tea,british,/g/1trrcnxs,Whittard of Chelsea Covent Garden,"Tea store in London, England",/g/1trrcnxs,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,"pytrends: type='Tea store in London, England' matches category keyword set"
Tea Pigs,premium_tea,british,/g/11s8lbb849,Teapigs Darjeeling Earl Grey Tea,Tea,/g/11s8lbb849,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,pytrends: type='Tea' matches category keyword set
Postcard Teas,premium_tea,british,/g/1tj49yzg,Postcard Teas,"Tea store in London, England",/g/1tj49yzg,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,"pytrends: type='Tea store in London, England' matches category keyword set"
Makaibari,premium_tea,indian,/g/11g1mjzl_m,"Taj Chia Kutir Resort & Spa, Darjeeling","Hotel in Makai Bari Tea Garden, India",/g/11g1mjzl_m,PASS,100,27.57,NOT_TESTED,,,PASS,/g/11g1mjzl_m,"pytrends: type='Hotel in Makai Bari Tea Garden, India' matches category keyword set"
Glenburn Tea Estate,premium_tea,indian,/g/1hf0gzzw8,Glenburn Tea Estate,"Hotel in Kambal Tea Garden, India",/g/1hf0gzzw8,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,"pytrends: type='Hotel in Kambal Tea Garden, India' matches category keyword set"
Vahdam Teas,premium_tea,indian,/g/11ybl47plp,"Vahdam, Organic Turmeric + Ashwagandha Superfood Herbal Tea",Tea,/g/11ybl47plp,FAIL_API,,,PASS_E5,9,1.29,PASS_E5,/g/11ybl47plp,pytrends: type='Tea' matches category keyword set
Tea Box,premium_tea,indian,/g/11vkptvvf_,Twinings Lemon Green Tea Box,Tea,/g/11vkptvvf_,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,pytrends: type='Tea' matches category keyword set
Harney & Sons,premium_tea,us_specialty,/m/04y5ts,Harney & Sons,Company,/m/04y5ts,PASS,100,87.86,NOT_TESTED,,,PASS,/m/04y5ts,pytrends: type='Company' matches category keyword set
Rishi Tea,premium_tea,us_specialty,/g/11p9qrr4bk,Rishi Tea Ceremonial Matcha,Tea,/g/11p9qrr4bk,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,pytrends: type='Tea' matches category keyword set
Numi Organic Tea,premium_tea,us_specialty,/g/11sblpqx7_,Numi Organic Matcha Toasted Rice Green Tea,Tea,/g/11sblpqx7_,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,pytrends: type='Tea' matches category keyword set
Smith Teamaker,premium_tea,us_specialty,/g/11v61_b0p2,"Smith Teamaker Tea,Lord Bergamot",Tea,/g/11v61_b0p2,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,pytrends: type='Tea' matches category keyword set
Republic of Tea,premium_tea,us_specialty,/m/02ryyk,Republic of Ireland national football team,Soccer team,/m/02ryyk,PASS,100,47.14,NOT_TESTED,,,PASS,/m/02ryyk,pytrends: type='Soccer team' matches category keyword set
