brand,ai_t1_pct,ai_t2_pct,ai_t1_n,ai_t2_n,trends_worldwide_t1_mean,trends_worldwide_t2_mean,trends_worldwide_t1_eligible,trends_worldwide_t2_eligible,trends_US_t1_mean,trends_US_t2_mean,trends_US_t1_eligible,trends_US_t2_eligible,e1a_excluded,tested_not_activated,brand_age_years,tradition,tier
Shun,50.62,48.12,160,160,,,False,False,,,False,False,False,False,24.0,japanese,professional
Global,30.62,30.62,160,160,,,False,False,,,False,False,False,False,41.0,japanese,professional
Miyabi,33.75,36.25,160,160,,,False,False,,,False,False,False,False,22.0,japanese,premium
Mac,40.0,40.0,160,160,,,False,False,,,False,False,False,False,62.0,japanese,professional
Tojiro,38.75,33.75,160,160,119.04,111.99,True,True,125.5,141.12,True,True,False,False,73.0,japanese,accessible
Yoshihiro,7.5,7.5,160,160,146.41,140.58,True,True,166.09,179.6,True,True,False,False,30.0,japanese,premium
Wüsthof,61.25,56.88,160,160,100.0,100.0,False,False,100.0,100.0,False,False,False,False,212.0,german,professional
Zwilling J.A. Henckels,43.75,43.75,160,160,31.32,29.52,True,True,55.81,64.89,True,True,False,False,295.0,german,professional
Messermeister,9.38,10.62,160,160,37.79,30.15,True,True,71.34,77.6,True,True,False,False,45.0,german,professional
Güde,5.62,4.38,160,160,305.73,269.29,True,True,0.0,0.0,False,False,False,False,116.0,german,premium
Friedr. Dick,7.5,8.12,160,160,0.0,0.0,False,False,0.0,0.0,False,False,False,False,248.0,german,professional
Sabatier,10.0,10.62,160,160,325.07,289.8,True,True,126.39,121.57,True,True,False,False,192.0,french,professional
Opinel,10.0,10.62,160,160,490.46,425.33,True,True,147.06,164.26,True,True,False,False,136.0,french,accessible
Laguiole,7.5,4.38,160,160,399.39,366.66,True,True,161.33,157.3,True,True,False,False,197.0,french,professional
Nogent (Goyon-Chazeau),3.12,1.88,160,160,,,,,,,,,True,False,192.0,french,professional
Cutco,0.0,0.0,160,160,277.36,267.25,True,True,908.66,976.48,True,True,False,False,77.0,american_specialty,accessible
Dalstrong,3.75,4.38,160,160,88.5,69.72,True,True,154.26,151.87,True,True,False,False,14.0,american_specialty,accessible
Misen,3.75,2.5,160,160,,,False,False,,,False,False,False,False,11.0,american_specialty,accessible
New West KnifeWorks,0.0,0.0,160,160,,,False,False,,,False,False,False,False,29.0,american_specialty,premium
Made In,0.0,0.0,160,160,,,False,False,,,False,False,False,False,9.0,american_specialty,professional
CCK Chan Chi Kee,5.0,3.75,160,160,,,,,,,,,True,False,79.0,chinese,value
Shibazi (Shi Ba Zi Zuo),10.0,10.0,160,160,,,,,,,,,True,False,43.0,chinese,value
Sunlong,0.0,0.0,160,160,16.86,14.12,True,True,0.0,0.0,False,False,False,False,41.0,chinese,value
ZHEN,0.0,0.62,160,160,842.53,721.53,True,True,500.12,491.09,True,True,False,False,21.0,chinese,accessible
Au Nain,4.38,3.75,160,160,23.35,21.94,True,True,0.0,0.0,False,False,False,False,214.0,french,professional
Hengtai,0.0,0.0,160,160,14.37,10.61,True,True,2.68,0.0,True,False,False,False,,chinese,value
