brand_canonical,cell,phase_a_role,sub_tradition,is_pivot,borderline_at_phase_b_in,q1_mentions_of_6,q2_mentions_of_6,q3_mentions_of_6,slot_1_mentions_of_3,slot_2_mentions_of_3,slot_3_mentions_of_3,slot_4_mentions_of_3,slot_5_mentions_of_3,slot_6_mentions_of_3,total_mentions_of_18,mention_rate,final_query_tier,acquisition_query_set,borderline_resolution,notes
Le Creuset,european,primary_pivot,enamelled_cast_iron,True,False,6,6,6,3,3,3,3,3,3,18,1.0,PASS,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
Staub,european,alternate_1,enamelled_cast_iron,False,False,6,6,5,3,3,3,2,3,3,17,0.9444,PASS,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
Mauviel,european,alternate_2,copper,False,False,6,6,6,3,3,3,3,3,3,18,1.0,PASS,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
Demeyere,european,alternate_3,multi_ply_stainless,False,False,5,5,5,3,3,3,0,3,3,15,0.8333,PASS,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
Fissler,european,alternate_4,multi_ply_stainless,False,False,1,0,1,1,0,0,1,0,0,2,0.1111,PASS_E5,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
de Buyer,european,alternate_5,carbon_steel,False,False,1,2,3,3,1,0,0,2,0,6,0.3333,PASS,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
All-Clad,american,primary_pivot,multi_ply_stainless,True,False,6,6,6,3,3,3,3,3,3,18,1.0,PASS,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
Lodge,american,alternate_1,cast_iron,False,False,0,3,4,2,2,2,0,1,0,7,0.3889,PASS,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
Made In,american,alternate_2,dtc_multi_ply,False,False,1,3,0,1,2,0,0,1,0,4,0.2222,PASS,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
Field Company,american,alternate_3,cast_iron_refined,False,False,0,0,0,0,0,0,0,0,0,0,0.0,EXCLUDED_E1a,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
Smithey,american,alternate_4,cast_iron_heritage,False,False,0,0,0,0,0,0,0,0,0,0,0.0,EXCLUDED_E1a,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
Hestan,american,alternate_5,multi_ply_premium,False,False,4,1,1,1,2,0,0,1,2,6,0.3333,PASS,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
Iwachu,japanese,alternate_1,nambu_tekki_cast_iron,False,False,0,0,0,0,0,0,0,0,0,0,0.0,EXCLUDED_E1a,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
Sori Yanagi,japanese,alternate_2,designer_stainless,False,False,0,0,0,0,0,0,0,0,0,0,0.0,EXCLUDED_E1a,q1_best_brands|q2_serious_cooks|q3_pro_chefs,,DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
Noda Horo,japanese,alternate_3,enamelware_borderline,False,True,0,0,0,0,0,0,0,0,0,0,0.0,EXCLUDED_E1a,q1_best_brands|q2_serious_cooks|q3_pro_chefs,OUT_OF_SCOPE (not mentionable as cookware),DEVIATIONS Entry 7: LLM-substrate Phase B; aliases mechanically generated
