brand,model,recognition_yes
Shun,claude-opus-4-5,1
Shun,claude-sonnet-4-5,1
Shun,gpt-4o,1
Shun,gpt-4o-mini,1
Shun,gemini-2.5-flash,1
Shun,gemini-2.5-flash-lite,1
Global,claude-opus-4-5,0
Global,claude-sonnet-4-5,0
Global,gpt-4o,1
Global,gpt-4o-mini,1
Global,gemini-2.5-flash,1
Global,gemini-2.5-flash-lite,0
Miyabi,claude-opus-4-5,1
Miyabi,claude-sonnet-4-5,1
Miyabi,gpt-4o,1
Miyabi,gpt-4o-mini,1
Miyabi,gemini-2.5-flash,1
Miyabi,gemini-2.5-flash-lite,1
Mac,claude-opus-4-5,0
Mac,claude-sonnet-4-5,0
Mac,gpt-4o,1
Mac,gpt-4o-mini,0
Mac,gemini-2.5-flash,1
Mac,gemini-2.5-flash-lite,0
Tojiro,claude-opus-4-5,1
Tojiro,claude-sonnet-4-5,1
Tojiro,gpt-4o,1
Tojiro,gpt-4o-mini,1
Tojiro,gemini-2.5-flash,1
Tojiro,gemini-2.5-flash-lite,1
Yoshihiro,claude-opus-4-5,1
Yoshihiro,claude-sonnet-4-5,1
Yoshihiro,gpt-4o,1
Yoshihiro,gpt-4o-mini,1
Yoshihiro,gemini-2.5-flash,1
Yoshihiro,gemini-2.5-flash-lite,1
Wüsthof,claude-opus-4-5,1
Wüsthof,claude-sonnet-4-5,1
Wüsthof,gpt-4o,1
Wüsthof,gpt-4o-mini,1
Wüsthof,gemini-2.5-flash,1
Wüsthof,gemini-2.5-flash-lite,1
Zwilling J.A. Henckels,claude-opus-4-5,1
Zwilling J.A. Henckels,claude-sonnet-4-5,1
Zwilling J.A. Henckels,gpt-4o,1
Zwilling J.A. Henckels,gpt-4o-mini,1
Zwilling J.A. Henckels,gemini-2.5-flash,1
Zwilling J.A. Henckels,gemini-2.5-flash-lite,1
Messermeister,claude-opus-4-5,1
Messermeister,claude-sonnet-4-5,1
Messermeister,gpt-4o,1
Messermeister,gpt-4o-mini,1
Messermeister,gemini-2.5-flash,1
Messermeister,gemini-2.5-flash-lite,1
Güde,claude-opus-4-5,1
Güde,claude-sonnet-4-5,1
Güde,gpt-4o,0
Güde,gpt-4o-mini,1
Güde,gemini-2.5-flash,1
Güde,gemini-2.5-flash-lite,1
Friedr. Dick,claude-opus-4-5,1
Friedr. Dick,claude-sonnet-4-5,1
Friedr. Dick,gpt-4o,1
Friedr. Dick,gpt-4o-mini,1
Friedr. Dick,gemini-2.5-flash,1
Friedr. Dick,gemini-2.5-flash-lite,1
Sabatier,claude-opus-4-5,1
Sabatier,claude-sonnet-4-5,1
Sabatier,gpt-4o,1
Sabatier,gpt-4o-mini,1
Sabatier,gemini-2.5-flash,1
Sabatier,gemini-2.5-flash-lite,1
Opinel,claude-opus-4-5,1
Opinel,claude-sonnet-4-5,0
Opinel,gpt-4o,1
Opinel,gpt-4o-mini,1
Opinel,gemini-2.5-flash,0
Opinel,gemini-2.5-flash-lite,0
Laguiole,claude-opus-4-5,1
Laguiole,claude-sonnet-4-5,1
Laguiole,gpt-4o,1
Laguiole,gpt-4o-mini,1
Laguiole,gemini-2.5-flash,1
