substrate,brand,amazon_status,asin,product_title,bsr_rank,bsr_category,listing_url,acquisition_timestamp,notes
audiophile_headphones,Sennheiser,listed,B08J9MVB6W,"Sennheiser HD 560S Open-Back Over-Ear Wired Headphones – Neutral, Natural Sound for Music, Gaming, and Content Creation, Black",1359,Electronics,https://www.amazon.com/dp/B08J9MVB6W,2026-05-28T18:41:53.103099+00:00,
audiophile_headphones,Beyerdynamic,listed,B0011UB9CQ,"beyerdynamic DT 990 PRO, 250 Ohm, Open Back, Over Ear, Wired Headphones, 3m Coiled Cable, Black with Grey Velour Ear Pads",136,Musical Instruments,https://www.amazon.com/dp/B0011UB9CQ,2026-05-28T18:42:42.475050+00:00,
audiophile_headphones,Denon,listed,B07MTG2R68,Denon AH-D5200 Ultra Premium HiFi Over Ear Headphones (Brown),200101,Electronics,https://www.amazon.com/dp/B07MTG2R68,2026-05-28T18:43:45.439518+00:00,
audiophile_headphones,Grado,listed,B0DGTHKCZ3,"beyerdynamic DT 1990 PRO MKII Wired Over-Ear, 30 Ohm, Open Back, Professional Recording Studio Monitor Headphones for Mixing, Editing, Audiophile, DJ Stereo Headsets, Made in Germany, Black",5438,Musical Instruments,https://www.amazon.com/dp/B0DGTHKCZ3,2026-05-28T18:44:33.249866+00:00,
audiophile_headphones,Sony,listed,B0BS1PRC4L,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Black",61,Electronics,https://www.amazon.com/dp/B0BS1PRC4L,2026-05-28T18:45:25.575851+00:00,
audiophile_headphones,Audio-Technica,listed,B00HVLUR86,"Audio-Technica ATH-M50X Professional Studio Monitor Headphones, Black, Professional Grade, Critically Acclaimed, with Detachable Cable",126,Musical Instruments,https://www.amazon.com/dp/B00HVLUR86,2026-05-28T18:46:39.292465+00:00,
audiophile_headphones,Stax,listed,B0D6B7X4YX,"Edifier STAX Spirit S5 Wireless Planar Magnetic Headphones, Snapdragon Sound, aptX Adaptive, Hi-Res Audio (LDAC LHDC), Bluetooth 5.4, Dual-Mic CVC Tech, 80H Playback & Fast Charging for Audiophiles",81214,Electronics,https://www.amazon.com/dp/B0D6B7X4YX,2026-05-28T18:47:39.162691+00:00,
audiophile_headphones,Koss,listed,B006T9ZKAQ,"Koss KPH7 Lightweight Portable Headphone, Black",743,Electronics,https://www.amazon.com/dp/B006T9ZKAQ,2026-05-28T18:48:51.527505+00:00,
audiophile_headphones,Audeze,listed,B0C2BJ724T,"Audeze MM-100 Professional Open-Back Headphones, Wired",58426,Electronics,https://www.amazon.com/dp/B0C2BJ724T,2026-05-28T18:49:57.592571+00:00,
audiophile_headphones,HiFiMan,listed,B09PH1N67T,"HIFIMAN Edition XS Full-Size Over-Ear Open-Back Planar Magnetic Hi-Fi Headphones with Stealth Magnets Design, Adjustable Headband, Detachable Cable for Audiophiles, Home, Studio-Black",8511,Electronics,https://www.amazon.com/dp/B09PH1N67T,2026-05-28T18:51:00.266194+00:00,
audiophile_headphones,Focal,listed,B0B93YKQT3,Focal Bathys High-Fidelity Bluetooth Noise Cancelling Headphones,18189,Electronics,https://www.amazon.com/dp/B0B93YKQT3,2026-05-28T18:51:48.763865+00:00,
audiophile_headphones,Meze,listed,B0DP4V91BM,MEZE AUDIO 105 AER | Wired Over-The-Ear Lightweight Audiophile Open-Back Headphones | 50mm Dynamic Drivers | Low Impedance 42 Ohms | Cables and Carrying Pouch Included (Black),20696,Electronics,https://www.amazon.com/dp/B0DP4V91BM,2026-05-28T18:52:37.088440+00:00,
audiophile_headphones,ZMF Headphones,listed,B0FKG6TDRR,"CMF BY Nothing Headphone Pro Active Noise Canceling Wireless Headphones Bluetooth 5.4 Over The Ear Headset, 50H ANC Playtime, Bass&Treble Slider, Custom EQ&Spatial Audio, Hi-Res LDAC, Dark Grey",1378,Electronics,https://www.amazon.com/dp/B0FKG6TDRR,2026-05-28T18:53:25.079298+00:00,
audiophile_headphones,Spirit Torino,listed,B0CD78VVLX,"TuneFlux Wireless Bluetooth Headphones Over Ear, 80H Playtime, 3EQ Sound Modes, HiFi Stereo Headphones with Deep Bass Microphone, Foldable Bluetooth 5.3 Headsets for Smartphone/PC/Computer",11395,Electronics,https://www.amazon.com/dp/B0CD78VVLX,2026-05-28T18:54:13.136776+00:00,
audiophile_headphones,Final Audio,listed,B071FB3PNM,"final Canal type earphone ""E3000"" FI-E3DSSã€Japan Domestic genuine productsã€‘",33090,Electronics,https://www.amazon.com/dp/B071FB3PNM,2026-05-28T18:55:13.673505+00:00,
audiophile_headphones,Dan Clark Audio,listed,B0CCZ26B5V,"Bose QuietComfort Headphones - Wireless Bluetooth Headphones, Active Over Ear Noise Cancelling and Mic, USB-C Charging, Deep Bass, Up to 24 Hours of Playtime, Black",56,Electronics,https://www.amazon.com/dp/B0CCZ26B5V,2026-05-28T18:56:03.335340+00:00,
