substrate,brand,amazon_status,asin,product_title,bsr_rank,bsr_category,listing_url,acquisition_timestamp,notes
premium_kitchenware,Le Creuset,listed,B00VA5HG0Q,"Le Creuset Enameled Cast Iron Signature Round Dutch Oven, 5.5 qt., Cerise",6271,Kitchen &amp; Dining,https://www.amazon.com/dp/B00VA5HG0Q,2026-05-28T19:42:26.961521+00:00,
premium_kitchenware,Staub,listed,B07W7LZ69P,"Staub Silicone with Wood Handle Cooking Utensil, Multi-function Spatula Spoon",4178,Kitchen &amp; Dining,https://www.amazon.com/dp/B07W7LZ69P,2026-05-28T19:43:14.486296+00:00,
premium_kitchenware,Mauviel,listed,B0BD76KZZ5,"Amazon Basics Ceramic Nonstick Cookware Set, Induction Ready, Dishwasher & Oven Safe, Even Heating, 10-Piece Set with Frying Pans, Saucepans, Glass Lids, Copper Color",113061,Kitchen &amp; Dining,https://www.amazon.com/dp/B0BD76KZZ5,2026-05-28T19:44:01.991469+00:00,
premium_kitchenware,Demeyere,listed,B006ZNCMBQ,"All-Clad D5® Stainless Steel Core 10 Piece Cookware Set- Made in USA- The Upgrade for Supremely Even Heat- Includes Frying Pans, Saucepan, Sautépan, Stockpot -Oven Safe & Induction Compatible",20313,Kitchen &amp; Dining,https://www.amazon.com/dp/B006ZNCMBQ,2026-05-28T19:44:49.754196+00:00,
premium_kitchenware,Fissler,listed,B0DDMG4NKG,Fissler M5 Pro-Ply 5-ply Stainless Steel 7 Piece Cookware Set,237619,Kitchen &amp; Dining,https://www.amazon.com/dp/B0DDMG4NKG,2026-05-28T19:45:34.952137+00:00,
premium_kitchenware,de Buyer,listed,B00462QP0W,"de Buyer MINERAL B Carbon Steel Fry Pan - 10.25” Diameter, 7.3” Cooking Surface - Ideal for Searing, Sauteing & Reheating - Naturally Non-Stick Finish - Made in France",13398,Kitchen &amp; Dining,https://www.amazon.com/dp/B00462QP0W,2026-05-28T19:46:21.496918+00:00,
premium_kitchenware,All-Clad,listed,B098KBWPP6,"All-Clad HA1 Hard Anodized Nonstick Fry Pan Set – 5-Piece Cookware, 8"", 10"", 12"" Skillets with Lid, Induction Compatible, Oven Safe to 500°F, Lid Safe to 350°F, Black",1855,Kitchen &amp; Dining,https://www.amazon.com/dp/B098KBWPP6,2026-05-28T19:47:10.110690+00:00,
premium_kitchenware,Lodge,listed,B0BFXS6KNY,"Lodge Seasoned Cast Iron Skillet Set 8, 10.25 & 12 Inches - PFAS-Free, Non-Toxic Cookware - Use with an Oven, Stove, Grill, or Campfire - Naturally Non-Stick & Oven Safe",205,Home &amp; Kitchen,https://www.amazon.com/dp/B0BFXS6KNY,2026-05-28T19:47:58.543787+00:00,
premium_kitchenware,Made In,listed,B0BB5BTN9Y,"Made In Cookware | 3-Piece (Includes 8"",10"",12"") Stainless Frying Pan Set | 5 Ply Stainless Clad | Professional Cookware | Crafted in Italy | Induction Compatible",1974,Kitchen &amp; Dining,https://www.amazon.com/dp/B0BB5BTN9Y,2026-05-28T19:49:15.864548+00:00,
premium_kitchenware,Field Company,listed,B0CGW3P4VS,"Field Company Large Cast Iron Skillet – 11.6-Inch Pre-Seasoned Pan for 4+ Servings, Lighter & Smooth, Made in USA",19943,Kitchen &amp; Dining,https://www.amazon.com/dp/B0CGW3P4VS,2026-05-28T19:50:02.682816+00:00,
premium_kitchenware,Smithey,listed,B0DHGGSWF6,"Cast Iron Scrubber and Scraper, Chain Mail Scrubber Cast Iron for Cleaning Dishes, Stock Pots, Pans, Griddles, Grills, Dish Scouring Pads",16327,Health &amp; Household,https://www.amazon.com/dp/B0DHGGSWF6,2026-05-28T19:50:49.722048+00:00,
premium_kitchenware,Hestan,listed,B07Y3LMLBS,"Amazon Basics Stainless Steel Cookware 15-Piece Set, Oven Safe, Induction-Ready, Even Heating, Easy to Clean, Stay-Cool Handles, Pots and Pans, Silver",10927,Kitchen &amp; Dining,https://www.amazon.com/dp/B07Y3LMLBS,2026-05-28T19:51:37.629151+00:00,
premium_kitchenware,Vermicular,listed,B0C4FRYD6H,Vermicular Musui–Kamado | Cast Iron Induction Cooker for Waterless Cooking | Precision Temperature Control | Japanese Multicooker & Rice Cooker (120V) | Non-Toxic Enameled Cast Iron Pot | Sea Salt,123784,Kitchen &amp; Dining,https://www.amazon.com/dp/B0C4FRYD6H,2026-05-28T19:52:37.134548+00:00,
premium_kitchenware,Iwachu,listed,B0BGY9SCLC,"Caraway Nonstick Ceramic Mini Fry Pan (1.05 qt, 8"") - Non Toxic, PTFE & PFOA Free - Oven Safe & Compatible with All Stovetops (Gas, Electric & Induction) - Sage",923,Kitchen &amp; Dining,https://www.amazon.com/dp/B0BGY9SCLC,2026-05-28T19:53:25.527264+00:00,
premium_kitchenware,Sori Yanagi,listed,B0002CET5I,"Sori Yanagi Sori Yanagi Asymmetrical Design Fits Any Bowl or Pan Angle, High Performance Tongs, Stainless Steel Tongs, Perforated, Perforated, Can Be Used While Draining, Seamless One-Piece Molding",40984,Kitchen &amp; Dining,https://www.amazon.com/dp/B0002CET5I,2026-05-28T19:54:13.636801+00:00,
premium_kitchenware,Noda Horo,listed,B0F5QJFWBM,"Sauce pan with lid,1.5 Quart & 2.5 Quart Hybrid Nonstick Sauce pans set, Stainless Steel cookware,non stick Pots PFOA Free,Works on Induction,Ceramic and Gas Cooktops",11045,Kitchen &amp; Dining,https://www.amazon.com/dp/B0F5QJFWBM,2026-05-28T19:55:01.779373+00:00,
