substrate,brand,amazon_status,asin,product_title,bsr_rank,bsr_category,listing_url,acquisition_timestamp,notes
skincare,Estée Lauder,listed,B008N0DF10,Estée Lauder DayWear Multi-Protection Anti-Oxidant 24H-Moisture Cream SPF 15 | Anti-Aging Moisturizer | Face Moisturizer,6270,Beauty &amp; Personal Care,https://www.amazon.com/dp/B008N0DF10,2026-05-28T18:58:23.582065+00:00,
skincare,Lancôme,listed,B0C8PJ42Y5,"Lancôme Rénergie Lift Multi-Action Anti-Aging Night Cream - Anti-Aging Face Cream, Lifting, Hydrating & Firming Moisturizer, with Hyaluronic Acid",25008,Beauty &amp; Personal Care,https://www.amazon.com/dp/B0C8PJ42Y5,2026-05-28T18:59:10.697988+00:00,
skincare,La Mer,listed,B001VMM3NS,"La Mer The Body Creme for Unisex, 1.71 Pound",143696,Beauty &amp; Personal Care,https://www.amazon.com/dp/B001VMM3NS,2026-05-28T18:59:57.431220+00:00,
skincare,Sisley,listed,B0C638RP6B,"Sisley Paris Phyto-Hydra Teint, No. 1.5 Beige - 40 mL - Beautifying Tinted Moisturizer - Evens, Corrects & Illuminates - Glide-On, Light Texture for Glowy, Bare-Skin Finish",68174,Beauty &amp; Personal Care,https://www.amazon.com/dp/B0C638RP6B,2026-05-28T19:00:57.725524+00:00,
skincare,Dior Beauty,listed,B0DM3S16NM,"Lancôme Génifique Ultimate Dual Recovery Face Serum- Anti-Aging Serum Visibly Improves Fine Lines, Rough Texture, Plumpness and Even Skintone - with Beta Glucan and, Hyaluronic Acid",9918,Beauty &amp; Personal Care,https://www.amazon.com/dp/B0DM3S16NM,2026-05-28T19:01:46.638482+00:00,
skincare,Chanel Beauty,listed,B00BXFHTQY,CHANEL Hydra Beauty Creme 50g,102967,Beauty &amp; Personal Care,https://www.amazon.com/dp/B00BXFHTQY,2026-05-28T19:02:33.986859+00:00,
skincare,La Prairie,listed,B0FXYTF2XD,"La Prairie, Pure Gold Radiance Eye Cream, 0.68 oz",237462,Beauty &amp; Personal Care,https://www.amazon.com/dp/B0FXYTF2XD,2026-05-28T19:03:20.945777+00:00,
skincare,Clé de Peau Beauté,absent,,,,,,2026-05-28T19:03:20.946262+00:00,Products found but no BSR extracted
skincare,Rare Beauty,listed,B0DY1WSW83,"Summer Fridays Jet Lag™ Essentials - Mini Hydrating Skin Care Set With Jet Lag™ Mask, Eye Patches, Deep Hydration Face Serum & Hydration Mist - Travel Size Skincare Kit & Gift Set (4 Count)",2063,Beauty &amp; Personal Care,https://www.amazon.com/dp/B0DY1WSW83,2026-05-28T19:05:25.109496+00:00,
skincare,Rhode,listed,B0CGMD4JDM,Rhode Glazing Milk,4200,Beauty &amp; Personal Care,https://www.amazon.com/dp/B0CGMD4JDM,2026-05-28T19:06:15.418512+00:00,
skincare,Fenty Skin,listed,B09NL2TL4S,"Fenty Skin Set: Makeup Removing Cleanser, Fat Water Pore-Refining Toner Serum, Hydra Vizor Invisible Moisturizer, Whipped Oil Body Cream Sample",103961,Beauty &amp; Personal Care,https://www.amazon.com/dp/B09NL2TL4S,2026-05-28T19:07:17.514714+00:00,
skincare,Goop,listed,B093BF31RQ,goop Beauty Microderm Exfoliator | Microdermabrasion Scrub to Smooth Textured Skin | Physical & Chemical Exfoliant | Micro-Exfoliating Minerals & Glycolic Acid | 0.5 fl oz,14370,Beauty &amp; Personal Care,https://www.amazon.com/dp/B093BF31RQ,2026-05-28T19:08:06.431704+00:00,
skincare,Drunk Elephant,listed,B07934S6WK,"Drunk Elephant Protini Polypeptide Cream - Firming Moisturizer - Clean Clinical Skincare - Cruelty-Free - Dermatologist-Tested - Free of Essential Oils, Silicones, and Fragrance",10338,Beauty &amp; Personal Care,https://www.amazon.com/dp/B07934S6WK,2026-05-28T19:08:54.905347+00:00,
skincare,Glossier,listed,B084C3Z9DB,"Glossier Futuredew Serum, (30 ml)",63539,Beauty &amp; Personal Care,https://www.amazon.com/dp/B084C3Z9DB,2026-05-28T19:09:42.986112+00:00,
skincare,Augustinus Bader,listed,B09LTYP4N7,Augustinus Bader The Rich Cream – Luxury Face Cream – Hydrating and Nourishing Face Moisturizer – Facial Moisturizer for Wrinkle Reduction and Cellular Renewal – For Men and Women,22527,Beauty &amp; Personal Care,https://www.amazon.com/dp/B09LTYP4N7,2026-05-28T19:10:43.879867+00:00,
skincare,Tower 28,listed,B0B3S7HJ9L,"Tower 28 SOS Daily Rescue Facial Spray - Hypochlorous Acid Spray to Help Reduce Redness, Calm Irritation + Alleviate Flare-Ups - Soothing + Purifying Face Toner - Everyday Skin Care Essential (4 oz)",215,Beauty &amp; Personal Care,https://www.amazon.com/dp/B0B3S7HJ9L,2026-05-28T19:11:57.600944+00:00,
skincare,SkinCeuticals,listed,B075VX4QVM,"La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, Vitamin B5 + Hyaluronic Acid + Madecassoside, Hydrating Serum Visibly Plumps Skin, Sensitive Skin Safe, Anti Aging, Oil-Free",412,Beauty &amp; Personal Care,https://www.amazon.com/dp/B075VX4QVM,2026-05-28T19:13:17.746461+00:00,
skincare,La Roche-Posay,listed,B01N9SPQHQ,"La Roche-Posay Toleriane Double Repair Face Moisturizer, Daily Moisturizer Face Cream with Ceramide & Niacinamide for All Skin Types, Immediate Comfort & Long Lasting Hydration, Fragrance Free",22,Beauty &amp; Personal Care,https://www.amazon.com/dp/B01N9SPQHQ,2026-05-28T19:14:30.336930+00:00,
skincare,Paula's Choice,listed,B07D8DBS7S,"Paula's Choice SKIN PERFECTING 2% BHA Liquid Exfoliant with Salicylic Acid, Facial Polish for Pores, Wrinkles & Fine Lines, Suitable for Blackhead-Prone Skin, Fragrance-Free",18,Beauty &amp; Personal Care,https://www.amazon.com/dp/B07D8DBS7S,2026-05-28T19:15:18.579558+00:00,
skincare,CeraVe,listed,B09LKXR62L,"CeraVe Hydrating Toner for Face Non-Alcoholic with Hyaluronic Acid, Niacinamide, and Ceramides for Sensitive Dry Skin, Fragrance-Free Non Comedogenic, Full Size, 6.8 Fl Oz",703,Beauty &amp; Personal Care,https://www.amazon.com/dp/B09LKXR62L,2026-05-28T19:16:19.269283+00:00,
