brand_id,brand_name,I1_sov,I1_sov_form,I1_market_competition,I1_sentiment,I1_presence_quality,I1_brand_recognition,I1_composite_100,I1_engines,pull_timestamp,null_flag,I1_notes
A1,Salesforce,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
A4,Workday,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
B5,Slack,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
A2,HubSpot,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
A6,Oracle,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
A5,SAP,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
B1,Notion,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
B2,Figma,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
B3,Linear,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
B4,Airtable,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
B6,Miro,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
C5,Cloudflare,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
A7,Zendesk,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
A3,ServiceNow,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
C2,Snowflake,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
C1,Datadog,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
C3,Stripe,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
C4,Twilio,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
C6,MongoDB,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
D1,Quip,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
D2,Yammer,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
D3,Wunderlist,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
D4,HipChat,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
D5,Stride,,,,,,,,GPT/Perplexity/Gemini (cross-validated),,,
