brand_id,brand_slug,I1_sov,I1_sentiment,I1_presence_quality,I1_brand_recognition,I1_market_competition,I1_composite_100,null_flag
A1,salesforce,7.67,30.3,19.0,19.3,10.0,86.3,False
A2,hubspot,7.0,33.3,17.3,18.0,8.3,84.0,False
A3,servicenow,7.67,27.7,17.3,18.0,8.7,79.3,False
A4,workday,7.33,27.7,17.0,18.0,7.3,77.3,False
A5,sap,7.0,29.3,19.0,19.7,7.0,82.0,False
A6,oracle,6.0,23.0,18.3,19.0,5.7,72.0,False
A7,zendesk,7.33,28.3,17.0,17.7,6.3,76.7,False
B1,notion,7.33,34.0,17.3,18.0,8.0,84.7,False
B2,figma,8.33,31.7,17.3,18.0,8.7,84.0,False
B3,linear,4.67,34.7,15.0,15.3,6.7,76.3,False
B4,airtable,7.33,30.3,15.7,17.7,8.3,79.3,False
B5,slack,5.67,31.3,18.0,19.3,8.0,82.3,False
B6,miro,7.33,33.3,15.7,17.7,8.7,82.7,False
C1,datadog,7.0,32.3,16.0,17.0,8.7,81.0,False
C2,snowflake,7.33,30.3,16.7,18.0,8.3,80.7,False
C3,stripe,8.0,34.7,18.0,19.0,8.7,88.3,False
C4,twilio,7.33,29.3,15.7,17.7,8.7,78.7,False
C5,cloudflare,7.67,30.3,17.0,18.0,8.7,81.7,False
C6,mongodb,8.0,29.7,16.7,18.0,8.3,80.7,False
D1,quip,4.67,25.3,12.7,14.0,4.7,63.3,False
D2,yammer,2.0,25.3,11.0,13.7,3.7,60.3,False
D3,wunderlist,0.33,20.0,12.3,15.0,5.3,56.3,False
D4,hipchat,0.33,14.0,10.7,12.3,4.7,43.7,False
D5,stride,3.0,25.7,8.0,8.0,5.0,50.3,False
