brand_id,brand_name,C_P,recall_channel_som,aias_composite,R_cat,R_cult,R_cult_scaled,identity_load
A1,Salesforce,6,100.0,89.81481481481482,36,25,69.44444444444444,-11
A2,HubSpot,6,91.66666666666666,83.33333333333333,33,21,58.333333333333336,-12
A3,ServiceNow,6,47.22222222222222,56.48148148148149,17,8,22.22222222222222,-9
A4,Workday,6,94.44444444444444,71.2962962962963,34,7,19.444444444444446,-27
A5,SAP,6,69.44444444444444,63.88888888888889,25,8,22.22222222222222,-17
A6,Oracle,6,72.22222222222221,64.81481481481482,26,8,22.22222222222222,-18
A7,Zendesk,6,50.0,53.7037037037037,18,4,11.11111111111111,-14
B1,Notion,6,5.555555555555555,60.18518518518518,2,27,75.0,25
B2,Figma,6,2.7777777777777777,55.55555555555555,1,23,63.888888888888886,22
B3,Linear,6,0.0,44.444444444444436,0,12,33.33333333333333,12
B4,Airtable,6,0.0,42.59259259259259,0,10,27.77777777777778,10
B5,Slack,6,91.66666666666666,91.66666666666667,33,30,83.33333333333334,-3
B6,Miro,6,0.0,40.74074074074074,0,8,22.22222222222222,8
C1,Datadog,6,19.444444444444446,47.22222222222222,7,8,22.22222222222222,1
C2,Snowflake,6,27.77777777777778,54.629629629629626,10,13,36.11111111111111,3
C3,Stripe,6,11.11111111111111,42.59259259259259,4,6,16.666666666666664,2
C4,Twilio,6,5.555555555555555,37.03703703703704,2,2,5.555555555555555,0
C5,Cloudflare,6,0.0,36.11111111111111,0,3,8.333333333333332,3
C6,MongoDB,6,2.7777777777777777,37.96296296296296,1,4,11.11111111111111,3
D1,Quip,6,0.0,33.333333333333336,0,0,0.0,0
D2,Yammer,6,0.0,33.333333333333336,0,0,0.0,0
D3,Wunderlist,6,0.0,33.333333333333336,0,0,0.0,0
D4,HipChat,6,0.0,33.333333333333336,0,0,0.0,0
D5,Stride,6,0.0,33.333333333333336,0,0,0.0,0
