brand,cell,model,probe_text,response_text,recognized,timestamp,latency_s
3M,T,claude-opus-4-5,Is the brand 3M commonly recognized as a technology brand? Answer yes or no.,No,no,2026-06-01T17:24:51.925519+00:00,2.894
3M,T,claude-sonnet-4-5,Is the brand 3M commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:24:50.594157+00:00,1.561
3M,T,gemini-2.5-flash,Is the brand 3M commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:52.993680+00:00,3.443
3M,T,gemini-2.5-flash-lite,Is the brand 3M commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:50.261324+00:00,0.488
3M,T,gpt-4o,Is the brand 3M commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:49.549206+00:00,0.385
3M,T,gpt-4o-mini,Is the brand 3M commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:49.773019+00:00,0.387
Airbnb,T,claude-opus-4-5,Is the brand Airbnb commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:45.104965+00:00,1.652
Airbnb,T,claude-sonnet-4-5,Is the brand Airbnb commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:45.122707+00:00,1.546
Airbnb,T,gemini-2.5-flash,Is the brand Airbnb commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:50.346915+00:00,5.224
Airbnb,T,gemini-2.5-flash-lite,Is the brand Airbnb commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:45.961157+00:00,0.418
Airbnb,T,gpt-4o,Is the brand Airbnb commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:45.543176+00:00,0.503
Airbnb,T,gpt-4o-mini,Is the brand Airbnb commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:45.568092+00:00,0.463
Apple,T,claude-opus-4-5,Is the brand Apple commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:37.966880+00:00,1.964
Apple,T,claude-sonnet-4-5,Is the brand Apple commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:39.014139+00:00,1.653
Apple,T,gemini-2.5-flash,Is the brand Apple commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:39.509688+00:00,2.063
Apple,T,gemini-2.5-flash-lite,Is the brand Apple commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:37.998035+00:00,0.304
