brand,presence,C_P,R_cat,R_cult
Google,85.1852,6,12,16
Apple,100.0,6,18,18
Netflix,42.5926,6,0,5
Microsoft,94.4444,6,15,18
Instagram,38.8889,5,0,6
Uber,33.3333,6,0,0
Airbnb,33.3333,6,0,0
Dell Technologies,38.8889,6,3,0
Whirlpool,5.5556,1,0,0
3M,22.2222,4,0,0
QVC,0.0,0,0,0
Motorola Solutions,33.3333,6,0,0
Seagate Technology,33.3333,6,0,0
Corning,33.3333,6,0,0
VMware,37.037,6,2,0
Pitney Bowes,16.6667,3,0,0
Thermo Fisher Scientific,16.6667,3,0,0
Flex,5.5556,1,0,0
HPE,35.1852,6,1,0
CDW,33.3333,6,0,0
Netapp,33.3333,6,0,0
Jabil,11.1111,2,0,0
Lam Research,27.7778,5,0,0
Parker-Hannifin,16.6667,3,0,0
