brand,substrate,mu,sd_pop,cpc_raw,cpc_corr,cpc_resid,C_P,L,recall_defined,recog_defined
Estée Lauder,v0.20,0.027777777777777776,0.06211299937499416,2.23606797749979,0.37796447300922725,0.7999459825864197,6,6,True,False
Lancôme,v0.20,0.0,0.0,,,,6,6,False,False
La Mer,v0.20,0.25,0.1272937693043289,0.5091750772173156,0.2939723678960657,-0.5337749556743645,6,6,True,False
Sisley,v0.20,0.05555555555555555,0.07856742013183861,1.414213562373095,0.34299717028501764,0.02723806271243623,6,6,True,False
Dior Beauty,v0.20,0.0,0.0,,,,3,3,False,True
Chanel Beauty,v0.20,0.0,0.0,,,,3,3,False,True
La Prairie,v0.20,0.0,0.0,,,,6,6,False,False
Clé de Peau Beauté,v0.20,0.0,0.0,,,,6,6,False,False
Rare Beauty,v0.20,0.08333333333333333,0.08333333333333334,1.0000000000000002,0.3015113445777637,-0.3378290044079473,0,0,True,False
Rhode,v0.20,0.19444444444444445,0.17786456215091248,0.9147320339189785,0.4494112185401625,-0.22651098947812398,6,6,True,False
Fenty Skin,v0.20,0.1111111111111111,0.07856742013183861,0.7071067811865475,0.25,-0.5815757279686888,6,6,True,False
Goop,v0.20,0.027777777777777776,0.06211299937499416,2.23606797749979,0.37796447300922725,0.7999459825864197,2,2,True,True
Drunk Elephant,v0.20,0.8333333333333334,0.09622504486493763,0.11547005383792515,0.25819888974716115,0.10459642125318154,6,6,True,False
Glossier,v0.20,0.08333333333333333,0.1272937693043289,1.5275252316519468,0.46056618647183833,0.18969622724399926,6,6,True,False
Augustinus Bader,v0.20,0.19444444444444442,0.14958791130929178,0.7693092581620721,0.37796447300922725,-0.37193376523503063,6,6,True,False
Tower 28,v0.20,0.027777777777777776,0.06211299937499416,2.23606797749979,0.37796447300922725,0.7999459825864197,2,2,True,True
SkinCeuticals,v0.20,0.7500000000000001,0.12729376930432892,0.1697250257391052,0.29397236789606573,0.011411907396227994,6,6,True,False
La Roche-Posay,v0.20,0.75,0.08333333333333337,0.11111111111111116,0.19245008972987535,-0.04720200723176626,6,6,True,False
Paula's Choice,v0.20,0.5833333333333334,0.26787918780535985,0.4592214648091883,0.5433581647846062,0.006029374950043465,6,6,True,False
CeraVe,v0.20,0.9722222222222223,0.06211299937499414,0.06388765649999396,0.3779644730092278,0.2987465001788068,6,6,True,False
The Ordinary,v0.20,0.8611111111111112,0.06211299937499414,0.07213122508063835,0.17960530202677488,0.11040408774860594,6,6,True,False
Cetaphil,v0.20,0.2222222222222222,0.07856742013183861,0.35355339059327373,0.1889822365046136,-0.7385431375511176,6,6,True,False
Eucerin,v0.20,0.08333333333333333,0.08333333333333334,1.0000000000000002,0.3015113445777637,-0.3378290044079473,6,6,True,False
Bioderma,v0.20,0.05555555555555555,0.07856742013183861,1.414213562373095,0.34299717028501764,0.02723806271243623,6,6,True,False
MAC Cosmetics,v0.21,0.4444444444444444,0.15713484026367724,0.35355339059327384,0.316227766016838,-0.19786417866780215,6,6,True,False
NARS,v0.21,0.8055555555555555,0.1495879113092918,0.18569533817705192,0.3779644730092272,0.33052405977744487,6,6,True,False
Bobbi Brown,v0.21,0.22222222222222224,0.07856742013183861,0.35355339059327373,0.1889822365046136,-0.6263234345825524,6,6,True,False
Tom Ford Beauty,v0.21,0.16666666666666666,0.16666666666666669,1.0000000000000002,0.447213595499958,-0.08699163915451336,6,6,True,False
Giorgio Armani Beauty,v0.21,0.027777777777777776,0.06211299937499416,2.23606797749979,0.37796447300922725,0.8812893033985574,6,6,True,False
Hourglass,v0.21,0.05555555555555555,0.12422599874998833,2.23606797749979,0.5423261445466404,0.934846710387901,6,6,True,False
Chantecaille,v0.21,0.0,0.0,,,,6,6,False,False
Laura Mercier,v0.21,0.13888888888888887,0.14958791130929178,1.077032961426901,0.43254684624159306,-0.06351608471695647,6,6,True,False
Rare Beauty,v0.21,0.5,0.09622504486493763,0.19245008972987526,0.19245008972987526,-0.2518526655525131,6,6,True,False
Fenty Beauty,v0.21,0.6944444444444445,0.17786456215091248,0.25612496949731395,0.38612291966536916,0.18672406314033213,6,6,True,False
Haus Labs,v0.21,0.1111111111111111,0.12422599874998831,1.118033988749895,0.39528470752104744,-0.07607246438330639,6,6,True,False
Pat McGrath Labs,v0.21,0.38888888888888884,0.12422599874998833,0.31943828249997,0.2548235957188128,-0.33909410073979357,6,6,True,False
Charlotte Tilbury,v0.21,0.8055555555555555,0.2022252747022366,0.2510382720441558,0.5109635445336237,0.39586699364454875,6,6,True,False
Huda Beauty,v0.21,0.3055555555555555,0.17786456215091248,0.5821022034029864,0.38612291966536916,-0.2371024008048085,6,6,True,False
Kylie Cosmetics,v0.21,0.13888888888888887,0.11453071182271278,0.8246211251235321,0.33117581336027346,-0.3159279210203253,6,6,True,False
Anastasia Beverly Hills,v0.21,0.3611111111111111,0.11453071182271281,0.31716197120135853,0.23844535493687,-0.3949278190277487,6,6,True,False
Maybelline,v0.21,0.3333333333333333,0.3191423692521127,0.9574271077563381,0.67700320038633,0.191779910537887,6,6,True,False
L'Oréal Paris,v0.21,0.19444444444444442,0.17786456215091248,0.9147320339189786,0.4494112185401626,-0.11870219824619133,6,6,True,False
CoverGirl,v0.21,0.0,0.0,,,,6,6,False,False
Revlon,v0.21,0.0,0.0,,,,6,6,False,False
NYX Professional Makeup,v0.21,0.3055555555555556,0.2791632116978025,0.9136250564655354,0.6060303022726894,0.09442045225774065,6,6,True,False
e.l.f. Cosmetics,v0.21,0.27777777777777773,0.15713484026367724,0.5656854249492381,0.3508232077228117,-0.3070765862479006,6,6,True,False
Wet n Wild,v0.21,0.0,0.0,,,,6,6,False,False
Milani Cosmetics,v0.21,0.0,0.0,,,,6,6,False,False
Mercedes-Benz,v0.22,0.7222222222222222,0.07856742013183865,0.1087856586440843,0.17541160386140592,0.1384317013791314,6,6,True,False
Jaguar,v0.22,0.2777777777777778,0.12422599874998831,0.4472135954999579,0.2773500981126146,-0.10241924070791003,6,6,True,False
Cadillac,v0.22,0.2222222222222222,0.12422599874998831,0.5590169943749475,0.2988071523335984,-0.06302570170078492,6,6,True,False
Rolls-Royce,v0.22,0.3611111111111111,0.11453071182271281,0.31716197120135853,0.23844535493687,-0.12385607520471287,6,6,True,False
Bentley,v0.22,0.3333333333333333,0.0,0.0,0.0,-0.4772229763400036,6,6,True,False
Porsche,v0.22,0.8888888888888888,0.12422599874998833,0.13975424859373686,0.3952847075210474,0.3866298709323771,6,6,True,False
BMW,v0.22,0.611111111111111,0.12422599874998833,0.20327890704543547,0.2548235957188128,0.08810523004475376,6,6,True,False
Tesla,v0.22,0.3611111111111111,0.11453071182271281,0.31716197120135853,0.23844535493687,-0.12385607520471287,6,6,True,False
Rivian,v0.22,0.027777777777777776,0.06211299937499416,2.23606797749979,0.37796447300922725,1.3605907718865322,6,6,True,False
Lucid,v0.22,0.0,0.0,,,,6,6,False,False
Polestar,v0.22,0.0,0.0,,,,6,6,False,False
Fisker,v0.22,0.0,0.0,,,,5,5,False,True
Toyota,v0.22,0.6666666666666666,0.09622504486493763,0.14433756729740646,0.2041241452319315,0.10157375016458917,6,6,True,False
Honda,v0.22,0.5,0.0,0.0,0.0,-0.2599933967364104,6,6,True,False
Ford,v0.22,0.2222222222222222,0.07856742013183861,0.35355339059327373,0.1889822365046136,-0.26848930548245864,6,6,True,False
Chevrolet,v0.22,0.19444444444444442,0.06211299937499416,0.31943828249997,0.15694120514358614,-0.33880934350969455,6,6,True,False
