substrate,brand,cell,set,mean_r,sd_pop,cpc_raw,cpc_score,status,panel_n,n_frames
v0.20,Estée Lauder,A,omnibus,0.16666666666666666,0.372677996249965,,,undefined,6,6
v0.20,Lancôme,A,omnibus,0.0,0.0,,,undefined,6,6
v0.20,La Mer,A,omnibus,1.5,0.7637626158259734,0.5091750772173156,0.662613645756624,defined,6,6
v0.20,Sisley,A,omnibus,0.3333333333333333,0.4714045207910317,,,undefined,6,6
v0.20,Dior Beauty,A,omnibus,0.0,0.0,,,undefined,6,6
v0.20,Chanel Beauty,A,omnibus,0.0,0.0,,,undefined,6,6
v0.20,La Prairie,A,omnibus,0.0,0.0,,,undefined,6,6
v0.20,Clé de Peau Beauté,A,omnibus,0.0,0.0,,,undefined,6,6
v0.20,Rare Beauty,B,omnibus,0.5,0.5,,,undefined,6,6
v0.20,Rhode,B,omnibus,1.1666666666666667,1.0671873729054748,0.9147320339189784,0.5222662922462574,defined,6,6
v0.20,Fenty Skin,B,omnibus,0.6666666666666666,0.4714045207910317,,,undefined,6,6
v0.20,Goop,B,omnibus,0.16666666666666666,0.372677996249965,,,undefined,6,6
v0.20,Drunk Elephant,B,omnibus,5.0,0.5773502691896257,0.11547005383792515,0.8964830535426433,defined,6,6
v0.20,Glossier,B,omnibus,0.5,0.7637626158259734,,,undefined,6,6
v0.20,Augustinus Bader,B,omnibus,1.1666666666666667,0.8975274678557508,0.7693092581620721,0.5651923175029236,defined,6,6
v0.20,Tower 28,B,omnibus,0.16666666666666666,0.372677996249965,,,undefined,6,6
v0.20,SkinCeuticals,C,omnibus,4.5,0.7637626158259734,0.1697250257391052,0.8549017743449044,defined,6,6
v0.20,La Roche-Posay,C,omnibus,4.5,0.5,0.1111111111111111,0.8999999999999999,defined,6,6
v0.20,Paula's Choice,C,omnibus,3.5,1.6072751268321592,0.45922146480918835,0.6852969368366321,defined,6,6
v0.20,CeraVe,C,omnibus,5.833333333333333,0.37267799624996495,0.06388765649999399,0.9399488694979569,defined,6,6
v0.20,The Ordinary,C,omnibus,5.166666666666667,0.37267799624996495,0.07213122508063838,0.9327216450810738,defined,6,6
v0.20,Cetaphil,C,omnibus,1.3333333333333333,0.47140452079103173,0.35355339059327384,0.7387961250362585,defined,6,6
v0.20,Eucerin,C,omnibus,0.5,0.5,,,undefined,6,6
v0.20,Bioderma,C,omnibus,0.3333333333333333,0.4714045207910317,,,undefined,6,6
v0.21,MAC Cosmetics,A,omnibus,2.6666666666666665,0.9428090415820634,0.3535533905932738,0.7387961250362586,defined,6,6
v0.21,NARS,A,omnibus,4.833333333333333,0.8975274678557507,0.18569533817705186,0.8433869711737677,defined,6,6
v0.21,Bobbi Brown,A,omnibus,1.3333333333333333,0.4714045207910317,0.3535533905932738,0.7387961250362586,defined,6,6
v0.21,Tom Ford Beauty,A,omnibus,1.0,1.0,1.0,0.5,defined,6,6
v0.21,Giorgio Armani Beauty,A,omnibus,0.16666666666666666,0.372677996249965,,,undefined,6,6
v0.21,Hourglass,A,omnibus,0.3333333333333333,0.74535599249993,,,undefined,6,6
v0.21,Chantecaille,A,omnibus,0.0,0.0,,,undefined,6,6
v0.21,Laura Mercier,A,omnibus,0.8333333333333334,0.8975274678557507,,,undefined,6,6
v0.21,Rare Beauty,B,omnibus,3.0,0.5773502691896257,0.19245008972987523,0.8386095222035911,defined,6,6
v0.21,Fenty Beauty,B,omnibus,4.166666666666667,1.0671873729054748,0.25612496949731395,0.796099133671539,defined,6,6
v0.21,Haus Labs,B,omnibus,0.6666666666666666,0.74535599249993,,,undefined,6,6
v0.21,Pat McGrath Labs,B,omnibus,2.3333333333333335,0.7453559924999299,0.3194382824999699,0.7578982763068516,defined,6,6
v0.21,Charlotte Tilbury,B,omnibus,4.833333333333333,1.2133516482134197,0.2510382720441558,0.7993360573741941,defined,6,6
v0.21,Huda Beauty,B,omnibus,1.8333333333333333,1.0671873729054748,0.5821022034029862,0.6320704173529833,defined,6,6
v0.21,Kylie Cosmetics,B,omnibus,0.8333333333333334,0.6871842709362768,,,undefined,6,6
v0.21,Anastasia Beverly Hills,B,omnibus,2.1666666666666665,0.6871842709362768,0.31716197120135853,0.7592080714932264,defined,6,6
v0.21,Maybelline,C,omnibus,2.0,1.9148542155126762,0.9574271077563381,0.5108747069239427,defined,6,6
v0.21,L'Oréal Paris,C,omnibus,1.1666666666666667,1.0671873729054748,0.9147320339189784,0.5222662922462574,defined,6,6
v0.21,CoverGirl,C,omnibus,0.0,0.0,,,undefined,6,6
v0.21,Revlon,C,omnibus,0.0,0.0,,,undefined,6,6
v0.21,NYX Professional Makeup,C,omnibus,1.8333333333333333,1.6749792701868151,0.9136250564655356,0.5225684083835104,defined,6,6
v0.21,e.l.f. Cosmetics,C,omnibus,1.6666666666666667,0.9428090415820634,0.565685424949238,0.6386979044864147,defined,6,6
v0.21,Wet n Wild,C,omnibus,0.0,0.0,,,undefined,6,6
v0.21,Milani Cosmetics,C,omnibus,0.0,0.0,,,undefined,6,6
v0.22,Mercedes-Benz,A,omnibus,4.333333333333333,0.4714045207910317,0.10878565864408424,0.9018875670008968,defined,6,6
v0.22,Jaguar,A,omnibus,1.6666666666666667,0.7453559924999299,0.4472135954999579,0.6909830056250527,defined,6,6
v0.22,Cadillac,A,omnibus,1.3333333333333333,0.7453559924999299,0.5590169943749475,0.6414298263637128,defined,6,6
v0.22,Rolls-Royce,A,omnibus,2.1666666666666665,0.6871842709362768,0.31716197120135853,0.7592080714932264,defined,6,6
v0.22,Bentley,A,omnibus,2.0,0.0,0.0,1.0,defined,6,6
v0.22,Porsche,A,omnibus,5.333333333333333,0.7453559924999298,0.13975424859373684,0.8773821209561887,defined,6,6
v0.22,BMW,A,omnibus,3.6666666666666665,0.7453559924999298,0.20327890704543541,0.8310625193750198,defined,6,6
v0.22,Tesla,B,omnibus,2.1666666666666665,0.6871842709362768,0.31716197120135853,0.7592080714932264,defined,6,6
v0.22,Rivian,B,omnibus,0.16666666666666666,0.372677996249965,,,undefined,6,6
v0.22,Lucid,B,omnibus,0.0,0.0,,,undefined,6,6
v0.22,Polestar,B,omnibus,0.0,0.0,,,undefined,6,6
v0.22,Fisker,B,omnibus,0.0,0.0,,,undefined,6,6
v0.22,Toyota,C,omnibus,4.0,0.5773502691896257,0.14433756729740643,0.8738680163771168,defined,6,6
v0.22,Honda,C,omnibus,3.0,0.0,0.0,1.0,defined,6,6
v0.22,Ford,C,omnibus,1.3333333333333333,0.4714045207910317,0.3535533905932738,0.7387961250362586,defined,6,6
