substrate,brand,cell,mean_r,defined,recall_per_model,recog_per_model,eta2_cvcpc,eta2_cp,delta_eta2
v0.19,Audeze,,2.500000,True,"[3, 2, 3, 3, 0, 4]","[1, 1, 1, 1, 1, 1]",0.105263,0.000000,0.105263
v0.19,Audio-Technica,,3.666667,True,"[6, 5, 1, 6, 0, 4]","[1, 1, 1, 1, 1, 1]",0.370000,0.000000,0.370000
v0.19,Beyerdynamic,,3.666667,True,"[5, 4, 5, 3, 0, 5]","[1, 1, 1, 1, 1, 1]",0.224138,0.000000,0.224138
v0.19,Dan Clark Audio,,0.833333,False,"[2, 1, 0, 0, 0, 2]","[1, 1, 1, 1, 1, 1]",0.482759,0.000000,0.482759
v0.19,Denon,,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 0]",0.000000,0.666667,-0.666667
v0.19,Final Audio,,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.19,Focal,,3.166667,True,"[4, 3, 3, 5, 0, 4]","[1, 1, 1, 1, 1, 1]",0.292135,0.000000,0.292135
v0.19,Grado,,1.166667,True,"[2, 2, 2, 1, 0, 0]","[1, 1, 1, 1, 1, 1]",0.896552,0.000000,0.896552
v0.19,HiFiMan,,2.166667,True,"[3, 3, 3, 2, 0, 2]","[1, 1, 1, 1, 1, 1]",0.634146,0.000000,0.634146
v0.19,Koss,,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0]",0.000000,0.250000,-0.250000
v0.19,Meze,,0.666667,False,"[0, 1, 1, 0, 0, 2]","[1, 1, 1, 1, 1, 1]",0.100000,0.000000,0.100000
v0.19,Sennheiser,,5.000000,True,"[6, 6, 6, 6, 0, 6]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.19,Sony,,4.000000,True,"[6, 4, 4, 6, 0, 4]","[1, 0, 1, 1, 0, 1]",0.500000,0.250000,0.250000
v0.19,Spirit Torino,,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 1]",0.000000,0.400000,-0.400000
v0.19,Stax,,0.666667,False,"[1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 0]",1.000000,0.400000,0.600000
v0.19,ZMF Headphones,,0.166667,False,"[0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.20,Estée Lauder,A,0.166667,False,"[0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.20,Lancôme,A,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.20,La Mer,A,1.500000,True,"[2, 3, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]",0.857143,0.000000,0.857143
v0.20,Sisley,A,0.333333,False,"[0, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1]",0.250000,0.000000,0.250000
v0.20,Dior Beauty,A,0.000000,False,"[0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 1]",0.000000,0.666667,-0.666667
v0.20,Chanel Beauty,A,0.000000,False,"[0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 1]",0.000000,0.666667,-0.666667
