/Users/pablou/aias/scripts/run_acquisition_v34.py:66: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as gga
I0610 10:14:39.996507 1099528 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
F0610 10:14:40.000214 1099560 ares_resolver.cc:285] Check failed: channel_ != nullptr ((null) vs. (null)) 
I0610 10:14:40.001056 1099531 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
F0610 10:14:40.003561 1099585 ares_resolver.cc:285] Check failed: channel_ != nullptr ((null) vs. (null)) 
I0610 10:14:40.004235 1099529 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0610 10:14:40.006860 1099530 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
F0610 10:14:40.007512 1099606 ares_resolver.cc:285] Check failed: channel_ != nullptr ((null) vs. (null)) 
*** Check failure stack trace: ***
    @        0x10e9f32c4  absl::lts_20250512::log_internal::LogMessage::Flush()
    @        0x10ec4a510  grpc_event_engine::experimental::AresResolver::~AresResolver()
    @        0x10e69e8ac  grpc_event_engine::experimental::AresResolver::~AresResolver()
    @        0x10e69e8bc  grpc_event_engine::experimental::AresResolver::~AresResolver()
    @        0x10e69e998  grpc_event_engine::experimental::AresResolver::Orphan()
    @        0x10e6bfe90  grpc_event_engine::experimental::PosixEventEngine::PosixDNSResolver::~PosixDNSResolver()
    @        0x10e7bc184  grpc_core::(anonymous namespace)::EventEngineClientChannelDNSResolver::EventEngineDNSRequestWrapper::Orphan()
    @        0x10e7c6e3c  grpc_core::PollingResolver::OnRequestCompleteLocked()
    @        0x10e7c7868  absl::lts_20250512::internal_any_invocable::RemoteInvoker<>()
    @        0x10e85b3ec  grpc_core::WorkSerializer::WorkSerializerImpl::Run()
    @        0x10e6d4690  grpc_event_engine::experimental::WorkStealingThreadPool::ThreadState::Step()
    @        0x10e6d4244  grpc_event_engine::experimental::WorkStealingThreadPool::ThreadState::ThreadBody()
    @        0x10e6d4aa0  grpc_event_engine::experimental::WorkStealingThreadPool::WorkStealingThreadPoolImpl::StartThread()::$_0::__invoke()
    @        0x10e8500f8  grpc_core::(anonymous namespace)::ThreadInternalsPosix::ThreadInternalsPosix()::{lambda()#1}::__invoke()
    @        0x18da2ad38  _pthread_start
    @        0x18da25cd0  thread_start
F0610 10:14:40.009527 1099625 ares_resolver.cc:285] Check failed: channel_ != nullptr ((null) vs. (null)) 
I0610 10:14:40.046232 1099530 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
F0610 10:14:40.049185 1099667 ares_resolver.cc:285] Check failed: channel_ != nullptr ((null) vs. (null)) 
I0610 10:14:40.049253 1099531 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0610 10:15:42.637975 1099529 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0610 10:15:42.715507 1099528 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0610 10:15:42.718130 1101491 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(15, generation: 1)
I0610 10:15:42.718191 1101491 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(14, generation: 1)
run_acquisition_v34 — installing SDK provenance tee:
  patched: anthropic Messages.create
  patched: openai Completions.create
  patched: google.generativeai GenerativeModel.generate_content
  patched: google.genai Models.generate_content

=== v22: Phase A ===
AIAS v0.22 acquisition runner
  Pre-reg:     /Users/pablou/aias/prereg/v0_22_automotive_content.py
  Phase:       v0.22
  Substrate:   Automotive
  Lock state:  v0.22-prereg-r2
  Panel:       6-slot
  Brands:      24 (4 cells: A/B/C/D)
  Output:      /Users/pablou/aias/osf/v34/data/v22

--- Phase A: Recognition ---
  144 probes (6 models × 24 brands)
  Probe template: 'Is the brand {BRAND} commonly recognized as a car brand? Answer yes or no.'
  [  1/144] gemini-2.5-flash-lite     A.1 Mercedes-Benz                    → yes
  [  2/144] gpt-4o-mini               A.1 Mercedes-Benz                    → yes
  [  3/144] gpt-4o                    A.1 Mercedes-Benz                    → yes
  [  4/144] gpt-4o                    A.2 Jaguar                           → yes
  [  5/144] claude-sonnet-4-5         A.1 Mercedes-Benz                    → yes
  [  6/144] gemini-2.5-flash          A.1 Mercedes-Benz                    → yes
  [  7/144] gpt-4o-mini               A.2 Jaguar                           → yes
  [  8/144] claude-opus-4-5           A.2 Jaguar                           → yes
  [  9/144] gemini-2.5-flash-lite     A.2 Jaguar                           → yes
  [ 10/144] claude-sonnet-4-5         A.2 Jaguar                           → yes
  [ 11/144] gemini-2.5-flash          A.2 Jaguar                           → yes
  [ 12/144] gpt-4o                    A.3 Cadillac                         → yes
  [ 13/144] gpt-4o-mini               A.3 Cadillac                         → yes
  [ 14/144] gemini-2.5-flash-lite     A.3 Cadillac                         → yes
  [ 15/144] claude-opus-4-5           A.3 Cadillac                         → yes
  [ 16/144] gemini-2.5-flash          A.3 Cadillac                         → yes
  [ 17/144] gpt-4o                    A.4 Rolls-Royce                      → yes
  [ 18/144] gpt-4o-mini               A.4 Rolls-Royce                      → yes
  [ 19/144] claude-sonnet-4-5         A.4 Rolls-Royce                      → yes
  [ 20/144] gemini-2.5-flash-lite     A.4 Rolls-Royce                      → yes
  [ 21/144] gemini-2.5-flash          A.4 Rolls-Royce                      → yes
  [ 22/144] claude-sonnet-4-5         A.3 Cadillac                         → yes
  [ 23/144] claude-opus-4-5           A.1 Mercedes-Benz                    → yes
  [ 24/144] gpt-4o                    A.5 Bentley                          → yes
  [ 25/144] claude-sonnet-4-5         A.5 Bentley                          → yes
  [ 26/144] gemini-2.5-flash-lite     A.5 Bentley                          → yes
  [ 27/144] gpt-4o-mini               A.5 Bentley                          → yes
  [ 28/144] gpt-4o                    A.6 Porsche                          → yes
  [ 29/144] claude-sonnet-4-5         A.6 Porsche                          → yes
  [ 30/144] claude-opus-4-5           A.4 Rolls-Royce                      → yes
  [ 31/144] claude-opus-4-5           A.6 Porsche                          → yes
  [ 32/144] gemini-2.5-flash          A.5 Bentley                          → yes
  [ 33/144] gpt-4o-mini               A.6 Porsche                          → yes
  [ 34/144] gemini-2.5-flash-lite     A.6 Porsche                          → yes
  [ 35/144] gpt-4o-mini               A.7 BMW                              → yes
  [ 36/144] gemini-2.5-flash          A.6 Porsche                          → yes
  [ 37/144] gemini-2.5-flash-lite     A.7 BMW                              → yes
  [ 38/144] gemini-2.5-flash          A.7 BMW                              → yes
  [ 39/144] gpt-4o                    A.7 BMW                              → yes
  [ 40/144] gpt-4o                    B.1 Tesla                            → yes
  [ 41/144] claude-opus-4-5           B.1 Tesla                            → yes
  [ 42/144] gpt-4o-mini               B.1 Tesla                            → yes
  [ 43/144] gemini-2.5-flash-lite     B.1 Tesla                            → yes
  [ 44/144] gemini-2.5-flash          B.1 Tesla                            → yes
  [ 45/144] claude-opus-4-5           A.7 BMW                              → yes
  [ 46/144] claude-opus-4-5           A.5 Bentley                          → yes
  [ 47/144] gpt-4o-mini               B.2 Rivian                           → yes
  [ 48/144] gpt-4o                    B.2 Rivian                           → yes
  [ 49/144] gemini-2.5-flash-lite     B.2 Rivian                           → yes
  [ 50/144] claude-sonnet-4-5         B.2 Rivian                           → yes
  [ 51/144] claude-sonnet-4-5         A.7 BMW                              → yes
  [ 52/144] gpt-4o                    B.3 Lucid                            → yes
  [ 53/144] claude-sonnet-4-5         B.1 Tesla                            → yes
  [ 54/144] gpt-4o-mini               B.3 Lucid                            → yes
  [ 55/144] claude-opus-4-5           B.3 Lucid                            → yes
  [ 56/144] gemini-2.5-flash          B.2 Rivian                           → yes
  [ 57/144] gemini-2.5-flash-lite     B.3 Lucid                            → yes
