brand,panel_model,recognition_yes
Audeze,claude-opus-4-5,1
Audeze,claude-sonnet-4-5,1
Audeze,gemini-2.5-flash,1
Audeze,gemini-2.5-flash-lite,1
Audeze,gpt-4o,1
Audeze,gpt-4o-mini,1
Audio-Technica,claude-opus-4-5,1
Audio-Technica,claude-sonnet-4-5,1
Audio-Technica,gemini-2.5-flash,1
Audio-Technica,gemini-2.5-flash-lite,1
Audio-Technica,gpt-4o,1
Audio-Technica,gpt-4o-mini,1
Beyerdynamic,claude-opus-4-5,1
Beyerdynamic,claude-sonnet-4-5,1
Beyerdynamic,gemini-2.5-flash,1
Beyerdynamic,gemini-2.5-flash-lite,1
Beyerdynamic,gpt-4o,1
Beyerdynamic,gpt-4o-mini,1
Dan Clark Audio,claude-opus-4-5,1
Dan Clark Audio,claude-sonnet-4-5,1
Dan Clark Audio,gemini-2.5-flash,1
Dan Clark Audio,gemini-2.5-flash-lite,1
Dan Clark Audio,gpt-4o,1
Dan Clark Audio,gpt-4o-mini,1
Denon,claude-opus-4-5,0
Denon,claude-sonnet-4-5,0
Denon,gemini-2.5-flash,0
Denon,gemini-2.5-flash-lite,0
Denon,gpt-4o,1
Denon,gpt-4o-mini,1
Final Audio,claude-opus-4-5,1
Final Audio,claude-sonnet-4-5,1
Final Audio,gemini-2.5-flash,1
Final Audio,gemini-2.5-flash-lite,1
Final Audio,gpt-4o,1
Final Audio,gpt-4o-mini,1
Focal,claude-opus-4-5,1
Focal,claude-sonnet-4-5,1
Focal,gemini-2.5-flash,1
Focal,gemini-2.5-flash-lite,1
Focal,gpt-4o,1
Focal,gpt-4o-mini,1
Grado,claude-opus-4-5,1
Grado,claude-sonnet-4-5,1
Grado,gemini-2.5-flash,1
Grado,gemini-2.5-flash-lite,1
Grado,gpt-4o,1
Grado,gpt-4o-mini,1
HiFiMan,claude-opus-4-5,1
HiFiMan,claude-sonnet-4-5,1
HiFiMan,gemini-2.5-flash,1
HiFiMan,gemini-2.5-flash-lite,1
HiFiMan,gpt-4o,1
HiFiMan,gpt-4o-mini,1
Koss,claude-opus-4-5,1
Koss,claude-sonnet-4-5,0
Koss,gemini-2.5-flash,0
Koss,gemini-2.5-flash-lite,0
Koss,gpt-4o,0
Koss,gpt-4o-mini,1
Meze,claude-opus-4-5,1
Meze,claude-sonnet-4-5,1
Meze,gemini-2.5-flash,1
Meze,gemini-2.5-flash-lite,1
Meze,gpt-4o,1
Meze,gpt-4o-mini,1
Sennheiser,claude-opus-4-5,1
Sennheiser,claude-sonnet-4-5,1
Sennheiser,gemini-2.5-flash,0
Sennheiser,gemini-2.5-flash-lite,1
Sennheiser,gpt-4o,1
Sennheiser,gpt-4o-mini,1
Sony,claude-opus-4-5,0
Sony,claude-sonnet-4-5,0
Sony,gemini-2.5-flash,0
Sony,gemini-2.5-flash-lite,1
Sony,gpt-4o,1
Sony,gpt-4o-mini,1
Spirit Torino,claude-opus-4-5,1
Spirit Torino,claude-sonnet-4-5,1
Spirit Torino,gemini-2.5-flash,1
Spirit Torino,gemini-2.5-flash-lite,1
Spirit Torino,gpt-4o,1
Spirit Torino,gpt-4o-mini,0
Stax,claude-opus-4-5,1
Stax,claude-sonnet-4-5,1
Stax,gemini-2.5-flash,1
Stax,gemini-2.5-flash-lite,1
Stax,gpt-4o,1
Stax,gpt-4o-mini,1
ZMF Headphones,claude-opus-4-5,1
ZMF Headphones,claude-sonnet-4-5,1
ZMF Headphones,gemini-2.5-flash,1
ZMF Headphones,gemini-2.5-flash-lite,1
ZMF Headphones,gpt-4o,1
ZMF Headphones,gpt-4o-mini,1
