brand,panel_model,frame,mentioned,rank
Sennheiser,claude-opus-4-5,q1_audiophile,1,
Beyerdynamic,claude-opus-4-5,q1_audiophile,1,
Denon,claude-opus-4-5,q1_audiophile,0,
Grado,claude-opus-4-5,q1_audiophile,0,
Sony,claude-opus-4-5,q1_audiophile,1,
Audio-Technica,claude-opus-4-5,q1_audiophile,0,
Stax,claude-opus-4-5,q1_audiophile,0,
Koss,claude-opus-4-5,q1_audiophile,0,
Audeze,claude-opus-4-5,q1_audiophile,1,
HiFiMan,claude-opus-4-5,q1_audiophile,1,
Focal,claude-opus-4-5,q1_audiophile,1,
Meze,claude-opus-4-5,q1_audiophile,0,
ZMF Headphones,claude-opus-4-5,q1_audiophile,0,
Spirit Torino,claude-opus-4-5,q1_audiophile,0,
Final Audio,claude-opus-4-5,q1_audiophile,0,
Dan Clark Audio,claude-opus-4-5,q1_audiophile,0,
Sennheiser,claude-sonnet-4-5,q1_audiophile,1,
Beyerdynamic,claude-sonnet-4-5,q1_audiophile,1,
Denon,claude-sonnet-4-5,q1_audiophile,0,
Grado,claude-sonnet-4-5,q1_audiophile,0,
Sony,claude-sonnet-4-5,q1_audiophile,0,
Audio-Technica,claude-sonnet-4-5,q1_audiophile,0,
Stax,claude-sonnet-4-5,q1_audiophile,0,
Koss,claude-sonnet-4-5,q1_audiophile,0,
Audeze,claude-sonnet-4-5,q1_audiophile,1,
HiFiMan,claude-sonnet-4-5,q1_audiophile,1,
Focal,claude-sonnet-4-5,q1_audiophile,1,
Meze,claude-sonnet-4-5,q1_audiophile,0,
ZMF Headphones,claude-sonnet-4-5,q1_audiophile,0,
Spirit Torino,claude-sonnet-4-5,q1_audiophile,0,
Final Audio,claude-sonnet-4-5,q1_audiophile,0,
Dan Clark Audio,claude-sonnet-4-5,q1_audiophile,0,
Sennheiser,gpt-4o,q1_audiophile,1,1
Beyerdynamic,gpt-4o,q1_audiophile,1,4
Denon,gpt-4o,q1_audiophile,0,
Grado,gpt-4o,q1_audiophile,1,6
Sony,gpt-4o,q1_audiophile,0,
Audio-Technica,gpt-4o,q1_audiophile,0,
Stax,gpt-4o,q1_audiophile,0,
Koss,gpt-4o,q1_audiophile,0,
Audeze,gpt-4o,q1_audiophile,1,2
HiFiMan,gpt-4o,q1_audiophile,1,5
Focal,gpt-4o,q1_audiophile,1,3
Meze,gpt-4o,q1_audiophile,0,
ZMF Headphones,gpt-4o,q1_audiophile,0,
Spirit Torino,gpt-4o,q1_audiophile,0,
Final Audio,gpt-4o,q1_audiophile,0,
Dan Clark Audio,gpt-4o,q1_audiophile,0,
Sennheiser,gpt-4o-mini,q1_audiophile,1,1
Beyerdynamic,gpt-4o-mini,q1_audiophile,1,4
Denon,gpt-4o-mini,q1_audiophile,0,
Grado,gpt-4o-mini,q1_audiophile,1,6
Sony,gpt-4o-mini,q1_audiophile,1,7
Audio-Technica,gpt-4o-mini,q1_audiophile,0,
Stax,gpt-4o-mini,q1_audiophile,0,
Koss,gpt-4o-mini,q1_audiophile,0,
Audeze,gpt-4o-mini,q1_audiophile,1,2
HiFiMan,gpt-4o-mini,q1_audiophile,1,5
Focal,gpt-4o-mini,q1_audiophile,1,3
Meze,gpt-4o-mini,q1_audiophile,0,
ZMF Headphones,gpt-4o-mini,q1_audiophile,0,
Spirit Torino,gpt-4o-mini,q1_audiophile,0,
Final Audio,gpt-4o-mini,q1_audiophile,0,
Dan Clark Audio,gpt-4o-mini,q1_audiophile,0,
Sennheiser,gemini-2.5-flash,q1_audiophile,0,
Beyerdynamic,gemini-2.5-flash,q1_audiophile,0,
Denon,gemini-2.5-flash,q1_audiophile,0,
Grado,gemini-2.5-flash,q1_audiophile,0,
Sony,gemini-2.5-flash,q1_audiophile,0,
Audio-Technica,gemini-2.5-flash,q1_audiophile,0,
Stax,gemini-2.5-flash,q1_audiophile,0,
Koss,gemini-2.5-flash,q1_audiophile,0,
Audeze,gemini-2.5-flash,q1_audiophile,0,
HiFiMan,gemini-2.5-flash,q1_audiophile,0,
Focal,gemini-2.5-flash,q1_audiophile,0,
Meze,gemini-2.5-flash,q1_audiophile,0,
ZMF Headphones,gemini-2.5-flash,q1_audiophile,0,
Spirit Torino,gemini-2.5-flash,q1_audiophile,0,
Final Audio,gemini-2.5-flash,q1_audiophile,0,
Dan Clark Audio,gemini-2.5-flash,q1_audiophile,0,
Sennheiser,gemini-2.5-flash-lite,q1_audiophile,1,
Beyerdynamic,gemini-2.5-flash-lite,q1_audiophile,1,15
Denon,gemini-2.5-flash-lite,q1_audiophile,0,
Grado,gemini-2.5-flash-lite,q1_audiophile,0,
Sony,gemini-2.5-flash-lite,q1_audiophile,0,
Audio-Technica,gemini-2.5-flash-lite,q1_audiophile,0,
Stax,gemini-2.5-flash-lite,q1_audiophile,0,
Koss,gemini-2.5-flash-lite,q1_audiophile,0,
Audeze,gemini-2.5-flash-lite,q1_audiophile,1,3
HiFiMan,gemini-2.5-flash-lite,q1_audiophile,0,
Focal,gemini-2.5-flash-lite,q1_audiophile,1,12
Meze,gemini-2.5-flash-lite,q1_audiophile,0,
ZMF Headphones,gemini-2.5-flash-lite,q1_audiophile,0,
Spirit Torino,gemini-2.5-flash-lite,q1_audiophile,0,
Final Audio,gemini-2.5-flash-lite,q1_audiophile,0,
Dan Clark Audio,gemini-2.5-flash-lite,q1_audiophile,0,
Sennheiser,claude-opus-4-5,q2_enthusiast,1,1
Beyerdynamic,claude-opus-4-5,q2_enthusiast,1,2
Denon,claude-opus-4-5,q2_enthusiast,0,
Grado,claude-opus-4-5,q2_enthusiast,1,9
Sony,claude-opus-4-5,q2_enthusiast,0,
Audio-Technica,claude-opus-4-5,q2_enthusiast,1,3
Stax,claude-opus-4-5,q2_enthusiast,0,
Koss,claude-opus-4-5,q2_enthusiast,0,
Audeze,claude-opus-4-5,q2_enthusiast,1,5
HiFiMan,claude-opus-4-5,q2_enthusiast,1,4
Focal,claude-opus-4-5,q2_enthusiast,1,6
Meze,claude-opus-4-5,q2_enthusiast,1,7
ZMF Headphones,claude-opus-4-5,q2_enthusiast,1,8
Spirit Torino,claude-opus-4-5,q2_enthusiast,0,
Final Audio,claude-opus-4-5,q2_enthusiast,0,
Dan Clark Audio,claude-opus-4-5,q2_enthusiast,0,
Sennheiser,claude-sonnet-4-5,q2_enthusiast,1,1
Beyerdynamic,claude-sonnet-4-5,q2_enthusiast,1,2
Denon,claude-sonnet-4-5,q2_enthusiast,1,9
Grado,claude-sonnet-4-5,q2_enthusiast,0,
Sony,claude-sonnet-4-5,q2_enthusiast,1,7
Audio-Technica,claude-sonnet-4-5,q2_enthusiast,1,5
Stax,claude-sonnet-4-5,q2_enthusiast,0,
Koss,claude-sonnet-4-5,q2_enthusiast,0,
Audeze,claude-sonnet-4-5,q2_enthusiast,1,4
HiFiMan,claude-sonnet-4-5,q2_enthusiast,1,3
Focal,claude-sonnet-4-5,q2_enthusiast,1,6
Meze,claude-sonnet-4-5,q2_enthusiast,1,8
ZMF Headphones,claude-sonnet-4-5,q2_enthusiast,1,14
Spirit Torino,claude-sonnet-4-5,q2_enthusiast,0,
Final Audio,claude-sonnet-4-5,q2_enthusiast,0,
Dan Clark Audio,claude-sonnet-4-5,q2_enthusiast,0,
Sennheiser,gpt-4o,q2_enthusiast,1,1
Beyerdynamic,gpt-4o,q2_enthusiast,1,3
Denon,gpt-4o,q2_enthusiast,0,
Grado,gpt-4o,q2_enthusiast,1,7
Sony,gpt-4o,q2_enthusiast,1,4
Audio-Technica,gpt-4o,q2_enthusiast,1,5
Stax,gpt-4o,q2_enthusiast,0,
Koss,gpt-4o,q2_enthusiast,0,
Audeze,gpt-4o,q2_enthusiast,1,2
HiFiMan,gpt-4o,q2_enthusiast,1,8
Focal,gpt-4o,q2_enthusiast,1,6
Meze,gpt-4o,q2_enthusiast,0,
ZMF Headphones,gpt-4o,q2_enthusiast,0,
Spirit Torino,gpt-4o,q2_enthusiast,0,
Final Audio,gpt-4o,q2_enthusiast,0,
Dan Clark Audio,gpt-4o,q2_enthusiast,0,
Sennheiser,gpt-4o-mini,q2_enthusiast,1,1
Beyerdynamic,gpt-4o-mini,q2_enthusiast,1,3
Denon,gpt-4o-mini,q2_enthusiast,0,
Grado,gpt-4o-mini,q2_enthusiast,1,8
Sony,gpt-4o-mini,q2_enthusiast,1,6
Audio-Technica,gpt-4o-mini,q2_enthusiast,0,
Stax,gpt-4o-mini,q2_enthusiast,0,
Koss,gpt-4o-mini,q2_enthusiast,0,
Audeze,gpt-4o-mini,q2_enthusiast,1,7
HiFiMan,gpt-4o-mini,q2_enthusiast,0,
Focal,gpt-4o-mini,q2_enthusiast,1,4
Meze,gpt-4o-mini,q2_enthusiast,0,
ZMF Headphones,gpt-4o-mini,q2_enthusiast,0,
Spirit Torino,gpt-4o-mini,q2_enthusiast,0,
Final Audio,gpt-4o-mini,q2_enthusiast,0,
Dan Clark Audio,gpt-4o-mini,q2_enthusiast,0,
Sennheiser,gemini-2.5-flash,q2_enthusiast,0,
Beyerdynamic,gemini-2.5-flash,q2_enthusiast,0,
Denon,gemini-2.5-flash,q2_enthusiast,0,
