substrate,phase,call_index,alias,returned_model_id,timestamp
v20,A,1,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:23.359971+00:00
v20,A,2,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:07:23.985032+00:00
v20,A,3,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:24.214213+00:00
v20,A,4,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:07:24.856581+00:00
v20,A,5,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:24.936757+00:00
v20,A,6,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:07:25.984253+00:00
v20,A,7,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:07:25.986161+00:00
v20,A,8,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:26.346097+00:00
v20,A,9,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:07:27.255993+00:00
v20,A,10,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:07:27.639236+00:00
v20,A,11,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:07:28.065734+00:00
v20,A,12,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:28.397299+00:00
v20,A,13,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:28.850411+00:00
v20,A,14,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:07:29.241372+00:00
v20,A,15,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:07:29.972561+00:00
v20,A,16,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:07:30.281127+00:00
v20,A,17,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:30.902771+00:00
v20,A,18,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:07:31.097692+00:00
v20,A,19,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:32.124177+00:00
v20,A,20,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:07:32.739842+00:00
v20,A,21,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:07:32.966786+00:00
v20,A,22,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:07:33.659635+00:00
v20,A,23,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:33.787345+00:00
v20,A,24,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:07:35.195398+00:00
v20,A,25,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:07:35.204114+00:00
v20,A,26,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:35.990438+00:00
v20,A,27,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:07:35.992305+00:00
v20,A,28,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:07:36.103832+00:00
v20,A,29,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:37.041411+00:00
v20,A,30,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:07:37.299153+00:00
v20,A,31,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:37.796623+00:00
v20,A,32,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:07:38.250155+00:00
v20,A,33,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:07:39.213817+00:00
v20,A,34,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:07:39.692991+00:00
v20,A,35,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:41.178623+00:00
v20,A,36,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:07:41.312052+00:00
v20,A,37,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:41.722903+00:00
v20,A,38,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:07:42.661848+00:00
v20,A,39,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:07:42.668686+00:00
v20,A,40,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:07:43.110248+00:00
v20,A,41,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:43.269649+00:00
v20,A,42,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:07:43.341545+00:00
v20,A,43,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:07:43.347154+00:00
v20,A,44,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:07:43.800726+00:00
v20,A,45,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:43.933428+00:00
v20,A,46,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:07:44.415422+00:00
v20,A,47,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:44.787003+00:00
v20,A,48,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:07:45.465041+00:00
v20,A,49,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:07:45.702650+00:00
v20,A,50,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:45.886387+00:00
v20,A,51,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:07:46.662134+00:00
v20,A,52,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:07:47.164122+00:00
v20,A,53,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:07:47.216339+00:00
v20,A,54,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:47.318583+00:00
v20,A,55,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:07:47.531084+00:00
v20,A,56,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:48.098788+00:00
v20,A,57,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:07:48.100508+00:00
v20,A,58,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:48.803757+00:00
v20,A,59,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:07:48.909371+00:00
v20,A,60,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:07:48.967836+00:00
v20,A,61,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:49.466961+00:00
v20,A,62,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:07:49.516064+00:00
v20,A,63,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:07:49.753354+00:00
v20,A,64,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:50.256525+00:00
v20,A,65,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:07:50.757362+00:00
v20,A,66,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:07:50.794896+00:00
v20,A,67,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:07:51.097188+00:00
v20,A,68,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:51.320592+00:00
v20,A,69,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:07:53.621551+00:00
v20,A,70,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:07:53.724644+00:00
v20,A,71,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:54.145995+00:00
v20,A,72,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:07:54.458395+00:00
v20,A,73,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:54.815100+00:00
v20,A,74,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:07:56.093850+00:00
v20,A,75,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:07:58.377709+00:00
v20,A,76,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:07:58.532462+00:00
v20,A,77,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:07:58.869085+00:00
v20,A,78,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:07:59.234826+00:00
