brand,substrate,mean_r,cv_cpc,c_p,status,flagged,analyzable,group,exclusion_reason
Dan Clark Audio,v0.19,0.833333,0.481456,6,undefined,True,True,phantom_analyzable,
Denon,v0.19,0.000000,,3,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Final Audio,v0.19,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Koss,v0.19,0.000000,,2,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Meze,v0.19,0.666667,0.472136,6,undefined,True,True,phantom_analyzable,
Spirit Torino,v0.19,0.000000,,5,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Stax,v0.19,0.666667,0.585786,5,undefined,True,True,phantom_analyzable,
ZMF Headphones,v0.19,0.166667,0.309017,6,undefined,True,True,phantom_analyzable,
Audeze,v0.19,2.500000,0.665193,6,defined,False,False,non_phantom,comparison_group
Audio-Technica,v0.19,3.666667,0.608708,6,defined,False,False,non_phantom,comparison_group
Beyerdynamic,v0.19,3.666667,0.671339,6,defined,False,False,non_phantom,comparison_group
Focal,v0.19,3.166667,0.668215,6,defined,False,False,non_phantom,comparison_group
Grado,v0.19,1.166667,0.565192,6,defined,False,False,non_phantom,comparison_group
HiFiMan,v0.19,2.166667,0.669995,6,defined,False,False,non_phantom,comparison_group
Sennheiser,v0.19,5.000000,0.690983,6,defined,False,False,non_phantom,comparison_group
Sony,v0.19,4.000000,0.666667,4,defined,False,False,non_phantom,comparison_group
Bioderma,v0.20,0.333333,0.414214,6,undefined,True,True,phantom_analyzable,
Chanel Beauty,v0.20,0.000000,,3,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Clé de Peau Beauté,v0.20,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Dior Beauty,v0.20,0.000000,,3,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Estée Lauder,v0.20,0.166667,0.309017,6,undefined,True,True,phantom_analyzable,
Eucerin,v0.20,0.500000,0.500000,6,undefined,True,True,phantom_analyzable,
Fenty Skin,v0.20,0.666667,0.585786,6,undefined,True,True,phantom_analyzable,
Glossier,v0.20,0.500000,0.395644,6,undefined,True,True,phantom_analyzable,
Goop,v0.20,0.166667,0.309017,2,undefined,True,True,phantom_analyzable,
La Prairie,v0.20,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Lancôme,v0.20,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Rare Beauty,v0.20,0.500000,0.500000,0,undefined,True,True,phantom_analyzable,
Sisley,v0.20,0.333333,0.414214,6,undefined,True,True,phantom_analyzable,
Tower 28,v0.20,0.166667,0.309017,2,undefined,True,True,phantom_analyzable,
Augustinus Bader,v0.20,1.166667,0.565192,6,defined,False,False,non_phantom,comparison_group
CeraVe,v0.20,5.833333,0.939949,6,defined,False,False,non_phantom,comparison_group
Cetaphil,v0.20,1.333333,0.738796,6,defined,False,False,non_phantom,comparison_group
Drunk Elephant,v0.20,5.000000,0.896483,6,defined,False,False,non_phantom,comparison_group
La Mer,v0.20,1.500000,0.662614,6,defined,False,False,non_phantom,comparison_group
La Roche-Posay,v0.20,4.500000,0.900000,6,defined,False,False,non_phantom,comparison_group
Paula's Choice,v0.20,3.500000,0.685297,6,defined,False,False,non_phantom,comparison_group
Rhode,v0.20,1.166667,0.522266,6,defined,False,False,non_phantom,comparison_group
SkinCeuticals,v0.20,4.500000,0.854902,6,defined,False,False,non_phantom,comparison_group
The Ordinary,v0.20,5.166667,0.932722,6,defined,False,False,non_phantom,comparison_group
Chantecaille,v0.21,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
CoverGirl,v0.21,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Giorgio Armani Beauty,v0.21,0.166667,0.309017,6,undefined,True,True,phantom_analyzable,
Haus Labs,v0.21,0.666667,0.472136,6,undefined,True,True,phantom_analyzable,
Hourglass,v0.21,0.333333,0.309017,6,undefined,True,True,phantom_analyzable,
Kylie Cosmetics,v0.21,0.833333,0.548059,6,undefined,True,True,phantom_analyzable,
Laura Mercier,v0.21,0.833333,0.481456,6,undefined,True,True,phantom_analyzable,
Milani Cosmetics,v0.21,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Revlon,v0.21,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Wet n Wild,v0.21,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Anastasia Beverly Hills,v0.21,2.166667,0.759208,6,defined,False,False,non_phantom,comparison_group
Bobbi Brown,v0.21,1.333333,0.738796,6,defined,False,False,non_phantom,comparison_group
Charlotte Tilbury,v0.21,4.833333,0.799336,6,defined,False,False,non_phantom,comparison_group
Fenty Beauty,v0.21,4.166667,0.796099,6,defined,False,False,non_phantom,comparison_group
