substrate,brand,phi,pi_hat,J,J_defined,J_n_models,il_direct,c_p,recall_mean
v0.20,Estée Lauder,1.028571428571429,0.027777777777777776,,False,1,-1.0,6.0,0.16666666666666666
v0.20,La Mer,0.6222222222222222,0.25,0.6666666666666666,True,6,5.0,6.0,1.5
v0.20,Sisley,0.847058823529412,0.05555555555555555,1.0,True,2,2.0,6.0,0.3333333333333333
v0.20,Rare Beauty,0.6545454545454545,0.08333333333333333,1.0,True,3,3.0,0.0,0.5
v0.20,Rhode,1.4541871921182266,0.19444444444444445,0.5555555555555555,True,4,7.0,6.0,1.1666666666666667
v0.20,Fenty Skin,0.45000000000000007,0.1111111111111111,1.0,True,4,4.0,6.0,0.6666666666666666
v0.20,Goop,1.028571428571429,0.027777777777777776,,False,1,1.0,2.0,0.16666666666666666
v0.20,Drunk Elephant,0.4800000000000001,0.8333333333333334,0.8800000000000002,True,6,4.0,6.0,5.0
v0.20,Glossier,1.5272727272727273,0.08333333333333333,0.5,True,2,3.0,6.0,0.5
v0.20,Augustinus Bader,1.0285714285714287,0.19444444444444445,0.75,True,4,7.0,6.0,1.1666666666666667
v0.20,Tower 28,1.028571428571429,0.027777777777777776,,False,1,1.0,2.0,0.16666666666666666
v0.20,SkinCeuticals,0.6222222222222222,0.75,0.7366666666666666,True,6,-9.0,6.0,4.5
v0.20,La Roche-Posay,0.26666666666666666,0.75,0.7155555555555556,True,6,-7.0,6.0,4.5
v0.20,Paula's Choice,2.125714285714286,0.5833333333333334,0.4444444444444444,True,6,1.0,6.0,3.5
v0.20,CeraVe,1.0285714285714282,0.9722222222222222,0.9444444444444446,True,6,-1.0,6.0,5.833333333333333
v0.20,The Ordinary,0.23225806451612913,0.8611111111111112,0.9444444444444446,True,6,5.0,6.0,5.166666666666667
v0.20,Cetaphil,0.25714285714285723,0.2222222222222222,0.4666666666666667,True,6,-4.0,6.0,1.3333333333333333
v0.20,Eucerin,0.6545454545454545,0.08333333333333333,1.0,True,3,-3.0,6.0,0.5
v0.20,Bioderma,0.847058823529412,0.05555555555555555,0.0,True,2,-2.0,6.0,0.3333333333333333
