rank,brand,tier,presence,consistency,rank_som,primary_pct,presence_anthropic,presence_openai
1,YNAB,incumbent,100.0,100.0,63.1,40.6,100.0,100.0
2,Monarch Money,challenger,90.6,85.4,43.3,39.6,81.2,100.0
3,Copilot,challenger,69.8,93.7,18.9,4.2,72.9,66.7
4,Empower,incumbent,65.6,97.8,16.1,3.1,64.6,66.7
5,Mint,incumbent,43.8,32.7,33.0,0.0,64.6,22.9
6,Rocket Money,mid-tier,35.4,0.0,7.8,6.2,0.0,70.8
7,EveryDollar,mid-tier,25.0,41.1,5.5,4.2,14.6,35.4
8,Quicken Simplifi,incumbent,16.7,82.3,2.9,1.0,14.6,18.8
9,PocketGuard,mid-tier,15.6,34.0,3.0,1.0,8.3,22.9
10,Tiller,challenger,12.5,52.9,1.7,1.0,16.7,8.3
11,Quicken,incumbent,10.4,100.0,1.7,0.0,10.4,10.4
12,NerdWallet,incumbent,9.4,0.0,2.9,0.0,16.7,2.1
13,Goodbudget,mid-tier,3.1,52.9,0.6,1.0,4.2,2.1
14,Lunch Money,challenger,1.0,0.0,0.1,0.0,0.0,2.1
15,Origin,challenger,0.0,0.0,0.0,0.0,0.0,0.0
16,Cleo,challenger,0.0,0.0,0.0,0.0,0.0,0.0
