rank,brand,tier,presence,consistency,rank_som,primary_pct,presence_anthropic,presence_openai
1,CeraVe,incumbent,66.7,100.0,52.5,22.9,66.7,66.7
2,La Roche-Posay,incumbent,63.5,93.0,25.2,12.5,60.4,66.7
3,Vanicream,incumbent,44.8,83.6,24.7,3.1,39.6,50.0
4,Neutrogena,incumbent,38.5,73.2,10.4,3.1,45.8,31.2
5,Paula's Choice,challenger,32.3,49.8,5.8,10.4,20.8,43.8
6,Cetaphil,incumbent,31.2,81.1,10.4,3.1,27.1,35.4
7,Skinceuticals,challenger,25.0,76.4,9.8,8.3,29.2,20.8
8,Eucerin,incumbent,21.9,25.9,3.6,2.1,10.4,33.3
9,First Aid Beauty,mid-tier,17.7,91.7,3.2,1.0,16.7,18.8
10,Drunk Elephant,challenger,17.7,91.7,3.6,1.0,16.7,18.8
11,EltaMD,mid-tier,16.7,100.0,3.4,2.1,16.7,16.7
12,Bioderma,mid-tier,16.7,0.0,2.5,2.1,0.0,33.3
13,Avène,mid-tier,15.6,71.7,3.6,1.0,12.5,18.8
14,Aveeno,incumbent,13.5,0.0,2.0,1.0,2.1,25.0
15,Tatcha,mid-tier,13.5,45.6,2.8,1.0,18.8,8.3
16,The Ordinary,challenger,13.5,67.4,2.4,2.1,10.4,16.7
17,Augustinus Bader,challenger,7.3,0.0,1.0,0.0,0.0,14.6
18,La Mer,incumbent,2.1,100.0,1.6,0.0,2.1,2.1
19,Estée Lauder,incumbent,2.1,0.0,0.4,0.0,0.0,4.2
20,Kiehl's,mid-tier,2.1,0.0,0.4,0.0,4.2,0.0
21,Youth to the People,challenger,2.1,0.0,0.4,0.0,0.0,4.2
22,Lancôme,incumbent,1.0,0.0,0.1,0.0,0.0,2.1
23,Clinique,incumbent,1.0,0.0,0.2,0.0,0.0,2.1
24,SK-II,incumbent,0.0,0.0,0.0,0.0,0.0,0.0
25,Olay,incumbent,0.0,0.0,0.0,0.0,0.0,0.0
26,Origins,mid-tier,0.0,0.0,0.0,0.0,0.0,0.0
27,Dermalogica,mid-tier,0.0,0.0,0.0,0.0,0.0,0.0
28,Murad,mid-tier,0.0,0.0,0.0,0.0,0.0,0.0
29,Glossier,challenger,0.0,0.0,0.0,0.0,0.0,0.0
30,Sunday Riley,challenger,0.0,0.0,0.0,0.0,0.0,0.0
31,Beauty of Joseon,challenger,0.0,0.0,0.0,0.0,0.0,0.0
