brand,familiarity_1_7,dprime
Google,6.833333333333333,3.0757814276592352
Apple,6.733333333333333,3.2109371094812538
Netflix,6.7,2.3526384084801064
Microsoft,6.413793103448276,2.1783421405149275
Instagram,6.387096774193548,2.7547376121842935
Uber,6.344827586206897,1.9523928502097005
Airbnb,5.896551724137931,1.9120911574961768
Dell Technologies,5.709677419354839,2.2092883579450215
Whirlpool,4.9,2.576005409322309
3M,4.862068965517241,1.6588580556023147
QVC,4.066666666666666,1.4311293175588797
Motorola Solutions,4.033333333333333,2.20237454191298
Seagate Technology,2.8333333333333335,2.0781931827384863
Corning,2.1333333333333333,1.4082653509659373
VMware,2.1,2.067034767976888
Pitney Bowes,1.6666666666666667,1.1107716166367858
Thermo Fisher Scientific,1.6333333333333333,2.3491220894227425
Flex,1.4,1.6476579223451704
HPE,1.3333333333333333,1.1741700795041792
CDW,1.3225806451612903,0.6107396690881626
Netapp,1.1724137931034482,0.7908197279981933
Jabil,1.1666666666666667,2.105794641215175
Lam Research,1.0,2.7547376121842935
Parker-Hannifin,1.0,1.4615639353373056
