rank,brand,tier,presence,consistency,rank_som,primary_pct,presence_anthropic_opus,presence_anthropic_sonnet,presence_google_flash,presence_openai_flagship,presence_openai_mini,presence_xai_grok
1,Target,incumbent,83.7,97.6,47.7,44.1,83.3,81.2,83.3,83.3,83.3,87.5
2,Amazon,incumbent,70.8,92.6,16.5,23.3,77.1,64.6,75.0,72.9,64.6,70.8
3,IKEA,incumbent,67.0,98.7,38.9,20.1,66.7,66.7,66.7,66.7,66.7,68.8
4,Walmart,incumbent,64.9,94.5,27.6,11.8,64.6,58.3,66.7,68.8,64.6,66.7
5,HomeGoods,incumbent,47.9,52.0,7.2,9.4,64.6,22.9,62.5,66.7,56.2,14.6
6,Crate & Barrel,mid-tier,47.6,77.3,14.7,18.1,58.3,60.4,47.9,47.9,37.5,33.3
7,Costco,incumbent,46.2,73.3,8.1,7.3,66.7,33.3,35.4,52.1,47.9,41.7
8,Wayfair,incumbent,39.9,93.1,6.0,7.3,37.5,43.8,41.7,37.5,41.7,37.5
9,Pottery Barn,mid-tier,38.9,67.4,5.1,10.8,52.1,39.6,47.9,45.8,18.8,29.2
10,Williams-Sonoma,mid-tier,36.8,68.5,9.9,14.9,47.9,54.2,27.1,35.4,29.2,27.1
11,Bed Bath & Beyond,incumbent,36.8,49.5,5.1,8.0,54.2,41.7,16.7,10.4,47.9,50.0
12,West Elm,mid-tier,28.8,59.3,2.7,5.9,35.4,12.5,39.6,39.6,16.7,29.2
13,Sur La Table,mid-tier,16.3,36.7,1.5,4.9,31.2,14.6,2.1,25.0,12.5,12.5
14,Brooklinen,challenger,12.8,17.7,1.1,1.4,22.9,2.1,2.1,18.8,6.2,25.0
15,Parachute,challenger,12.5,43.2,1.5,1.4,20.8,6.2,4.2,18.8,16.7,8.3
16,Container Store,mid-tier,9.0,3.6,0.6,2.1,22.9,0.0,2.1,10.4,14.6,4.2
17,Boll & Branch,challenger,5.9,9.6,0.9,0.7,12.5,0.0,2.1,4.2,12.5,4.2
18,World Market,mid-tier,5.2,0.0,0.3,0.0,2.1,2.1,8.3,14.6,2.1,2.1
19,Quince,challenger,5.2,0.0,0.9,0.0,16.7,0.0,2.1,0.0,10.4,2.1
20,At Home,mid-tier,4.9,0.0,0.3,0.3,2.1,0.0,12.5,14.6,0.0,0.0
21,Pier 1,mid-tier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
