substrate,brand,cluster,mean_r,cvcpc
v0.19,Audeze,2,2.5,0.6652
v0.19,Audio-Technica,3,3.667,0.6087
v0.19,Beyerdynamic,3,3.667,0.6713
v0.19,Focal,3,3.167,0.6682
v0.19,Grado,2,1.167,0.5652
v0.19,HiFiMan,2,2.167,0.67
v0.19,Sennheiser,1,5.0,0.691
v0.19,Sony,3,4.0,0.6667
v0.20,La Mer,2,1.5,0.6626
v0.20,Rhode,2,1.167,0.5223
v0.20,Drunk Elephant,1,5.0,0.8965
v0.20,Augustinus Bader,2,1.167,0.5652
v0.20,SkinCeuticals,3,4.5,0.8549
v0.20,La Roche-Posay,3,4.5,0.9
v0.20,Paula's Choice,3,3.5,0.6853
v0.20,CeraVe,1,5.833,0.9399
v0.20,The Ordinary,1,5.167,0.9327
v0.20,Cetaphil,2,1.333,0.7388
v0.21,MAC Cosmetics,3,2.667,0.7388
v0.21,NARS,1,4.833,0.8434
v0.21,Bobbi Brown,2,1.333,0.7388
v0.21,Tom Ford Beauty,2,1.0,0.5
v0.21,Rare Beauty,3,3.0,0.8386
v0.21,Fenty Beauty,1,4.167,0.7961
v0.21,Pat McGrath Labs,3,2.333,0.7579
v0.21,Charlotte Tilbury,1,4.833,0.7993
v0.21,Huda Beauty,3,1.833,0.6321
v0.21,Anastasia Beverly Hills,3,2.167,0.7592
v0.21,Maybelline,3,2.0,0.5109
v0.21,L'Oréal Paris,2,1.167,0.5223
v0.21,NYX Professional Makeup,3,1.833,0.5226
v0.21,e.l.f. Cosmetics,2,1.667,0.6387
v0.22,Mercedes-Benz,1,4.333,0.9019
v0.22,Jaguar,2,1.667,0.691
v0.22,Cadillac,2,1.333,0.6414
v0.22,Rolls-Royce,2,2.167,0.7592
v0.22,Bentley,2,2.0,1.0
v0.22,Porsche,1,5.333,0.8774
v0.22,BMW,1,3.667,0.8311
v0.22,Tesla,3,2.167,0.7592
v0.22,Toyota,1,4.0,0.8739
v0.22,Honda,3,3.0,1.0
v0.22,Ford,2,1.333,0.7388
v0.22,Chevrolet,2,1.167,0.7579
v0.22,Hyundai,3,2.667,0.7388
v0.22,Volkswagen,2,1.167,0.7579
v0.23,S02,3,1.667,0.6387
v0.23,S04,3,1.833,0.6321
v0.23,S05,3,1.5,0.6104
v0.23,S11,3,1.5,0.4421
v0.23,S13,3,1.167,0.4437
v0.23,S15,3,1.667,0.6012
v0.23,S17,3,1.5,0.5438
v0.23,S19,3,1.167,0.5652
v0.23,S20,3,1.5,0.6104
