analysis,k,gap,gap_s
omnibus_raw,1,0.3338,0.0489
omnibus_raw,2,0.6137,0.0543
omnibus_raw,3,0.7404,0.0579
omnibus_raw,4,0.7967,0.0615
omnibus_raw,5,0.8256,0.0604
omnibus_raw,6,0.824,0.0595
omnibus_raw,7,0.8117,0.0649
omnibus_raw,8,0.8172,0.064
omnibus_mean_recall_residual,1,0.8698,0.0538
omnibus_mean_recall_residual,2,0.9386,0.0536
omnibus_mean_recall_residual,3,0.9764,0.0562
omnibus_mean_recall_residual,4,1.0203,0.0625
omnibus_mean_recall_residual,5,1.0476,0.06
omnibus_mean_recall_residual,6,1.1033,0.0604
omnibus_mean_recall_residual,7,1.1108,0.0627
omnibus_mean_recall_residual,8,1.1286,0.0658
v23_raw,1,-0.4319,0.1564
v23_raw,2,-0.4959,0.1712
v23_raw,3,-0.4489,0.1878
v23_raw,4,-0.3364,0.2208
v23_raw,5,-0.2499,0.2518
v23_raw,6,-0.2196,0.2783
v23_raw,7,-0.3086,0.3665
v23_raw,8,-0.1629,0.502
v23_residual,1,-0.209,0.1479
v23_residual,2,-0.1741,0.1617
v23_residual,3,-0.0664,0.1893
v23_residual,4,0.0067,0.2017
v23_residual,5,0.0522,0.2483
v23_residual,6,0.0011,0.2761
v23_residual,7,0.0807,0.3495
v23_residual,8,-0.1269,0.4717
