c1,c2,dist,n
1.500000000000000000e+01,3.200000000000000000e+01,6.243448246648055644e-01,2.000000000000000000e+00
8.000000000000000000e+00,4.300000000000000000e+01,6.380101502230384192e-01,2.000000000000000000e+00
1.700000000000000000e+01,4.500000000000000000e+01,7.174066470248660066e-01,2.000000000000000000e+00
1.400000000000000000e+01,4.400000000000000000e+01,7.224150673869194073e-01,2.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,7.356997138409335779e-01,2.000000000000000000e+00
1.600000000000000000e+01,4.000000000000000000e+01,7.844445362528313925e-01,2.000000000000000000e+00
2.600000000000000000e+01,2.700000000000000000e+01,8.308613309701284866e-01,2.000000000000000000e+00
1.100000000000000000e+01,2.100000000000000000e+01,8.412870972779207257e-01,2.000000000000000000e+00
2.000000000000000000e+01,3.300000000000000000e+01,9.128767641934776300e-01,2.000000000000000000e+00
2.800000000000000000e+01,3.000000000000000000e+01,9.957824607418005458e-01,2.000000000000000000e+00
1.000000000000000000e+01,3.800000000000000000e+01,1.000068431085813447e+00,2.000000000000000000e+00
7.000000000000000000e+00,1.300000000000000000e+01,1.016488364041724379e+00,2.000000000000000000e+00
4.000000000000000000e+00,9.000000000000000000e+00,1.023806579415114548e+00,2.000000000000000000e+00
3.000000000000000000e+00,3.900000000000000000e+01,1.036122722860766565e+00,2.000000000000000000e+00
1.200000000000000000e+01,4.100000000000000000e+01,1.059896538216203110e+00,2.000000000000000000e+00
5.600000000000000000e+01,5.700000000000000000e+01,1.091105857426436510e+00,4.000000000000000000e+00
5.000000000000000000e+00,3.600000000000000000e+01,1.104786801652169359e+00,2.000000000000000000e+00
4.200000000000000000e+01,7.000000000000000000e+01,1.177907459051939165e+00,5.000000000000000000e+00
2.400000000000000000e+01,6.800000000000000000e+01,1.188737094211708367e+00,3.000000000000000000e+00
4.800000000000000000e+01,6.100000000000000000e+01,1.200729171430357178e+00,3.000000000000000000e+00
3.100000000000000000e+01,7.100000000000000000e+01,1.244603378796818705e+00,3.000000000000000000e+00
1.800000000000000000e+01,4.600000000000000000e+01,1.252379774303975513e+00,2.000000000000000000e+00
2.200000000000000000e+01,6.900000000000000000e+01,1.265697062051555521e+00,3.000000000000000000e+00
3.400000000000000000e+01,6.200000000000000000e+01,1.367619391709691934e+00,3.000000000000000000e+00
2.300000000000000000e+01,6.500000000000000000e+01,1.374804518705834866e+00,3.000000000000000000e+00
5.300000000000000000e+01,5.400000000000000000e+01,1.396971943971996089e+00,2.000000000000000000e+00
5.500000000000000000e+01,6.000000000000000000e+01,1.415741619784845806e+00,4.000000000000000000e+00
2.900000000000000000e+01,5.900000000000000000e+01,1.627798088969578005e+00,3.000000000000000000e+00
6.000000000000000000e+00,2.500000000000000000e+01,1.727414077841766149e+00,2.000000000000000000e+00
2.000000000000000000e+00,6.600000000000000000e+01,1.740524963139321812e+00,3.000000000000000000e+00
6.300000000000000000e+01,7.200000000000000000e+01,1.891587656984272892e+00,7.000000000000000000e+00
5.000000000000000000e+01,5.100000000000000000e+01,2.009687941650574405e+00,2.000000000000000000e+00
7.300000000000000000e+01,7.400000000000000000e+01,2.052810169931312156e+00,6.000000000000000000e+00
4.700000000000000000e+01,7.600000000000000000e+01,2.082312194269177574e+00,3.000000000000000000e+00
1.900000000000000000e+01,8.100000000000000000e+01,2.087290539358382713e+00,5.000000000000000000e+00
5.800000000000000000e+01,8.000000000000000000e+01,2.169847280775176301e+00,4.000000000000000000e+00
7.700000000000000000e+01,8.400000000000000000e+01,2.226336756866349464e+00,6.000000000000000000e+00
7.500000000000000000e+01,8.200000000000000000e+01,2.375324992420634995e+00,6.000000000000000000e+00
3.700000000000000000e+01,8.300000000000000000e+01,2.556839505651680167e+00,3.000000000000000000e+00
7.800000000000000000e+01,8.500000000000000000e+01,2.574771054652082558e+00,1.000000000000000000e+01
7.900000000000000000e+01,8.900000000000000000e+01,2.809275882070033425e+00,8.000000000000000000e+00
6.700000000000000000e+01,9.400000000000000000e+01,2.869764430517435461e+00,1.200000000000000000e+01
1.000000000000000000e+00,8.600000000000000000e+01,2.984516051266682179e+00,3.000000000000000000e+00
6.400000000000000000e+01,9.000000000000000000e+01,3.020961914863880438e+00,6.000000000000000000e+00
5.200000000000000000e+01,9.800000000000000000e+01,3.292676569605946124e+00,7.000000000000000000e+00
4.900000000000000000e+01,8.700000000000000000e+01,3.654696419721601419e+00,7.000000000000000000e+00
8.800000000000000000e+01,9.100000000000000000e+01,3.788897712056712219e+00,9.000000000000000000e+00
9.300000000000000000e+01,9.500000000000000000e+01,3.974225715142221560e+00,1.100000000000000000e+01
9.200000000000000000e+01,9.600000000000000000e+01,3.981448183679237918e+00,1.800000000000000000e+01
9.700000000000000000e+01,1.010000000000000000e+02,4.616085807028549759e+00,1.200000000000000000e+01
1.000000000000000000e+02,1.040000000000000000e+02,5.834101158104035179e+00,1.900000000000000000e+01
9.900000000000000000e+01,1.050000000000000000e+02,7.264140246750381280e+00,2.600000000000000000e+01
1.030000000000000000e+02,1.060000000000000000e+02,9.995415734245934658e+00,4.400000000000000000e+01
1.020000000000000000e+02,1.070000000000000000e+02,1.560050213712697520e+01,5.500000000000000000e+01
