==============================================================================
AIAS Measurement Run v0.3
Started:  2026-05-04T11:10:35
Plan:     6 prompts x 6 models x 8 runs = 288 calls
Methodology: prompts=household_v1.0, registry=household_v1.0, temp=0.7
Models:
  - anthropic_sonnet   -> Anthropic claude-sonnet-4-6
  - anthropic_opus     -> Anthropic claude-opus-4-7 (no temp)
  - openai_mini        -> OpenAI gpt-5.4-mini
  - openai_flagship    -> OpenAI gpt-5.5 (no temp)
  - google_flash       -> Google gemini-2.5-flash
  - xai_grok           -> xAI grok-4-1-fast
==============================================================================
  [  1/288] p1_functional      | anthropic_sonnet   | run 1 -> OK (1 attempt, 7.4s)
  [  2/288] p1_functional      | anthropic_sonnet   | run 2 -> OK (1 attempt, 7.1s)
  [  3/288] p1_functional      | anthropic_sonnet   | run 3 -> OK (1 attempt, 6.6s)
  [  4/288] p1_functional      | anthropic_sonnet   | run 4 -> OK (1 attempt, 6.9s)
  [  5/288] p1_functional      | anthropic_sonnet   | run 5 -> OK (1 attempt, 7.6s)
  [  6/288] p1_functional      | anthropic_sonnet   | run 6 -> OK (1 attempt, 7.2s)
  [  7/288] p1_functional      | anthropic_sonnet   | run 7 -> OK (1 attempt, 6.9s)
  [  8/288] p1_functional      | anthropic_sonnet   | run 8 -> OK (1 attempt, 7.1s)
  [  9/288] p1_functional      | anthropic_opus     | run 1 -> OK (1 attempt, 8.3s)
  [ 10/288] p1_functional      | anthropic_opus     | run 2 -> OK (1 attempt, 9.8s)
  [ 11/288] p1_functional      | anthropic_opus     | run 3 -> OK (1 attempt, 10.4s)
  [ 12/288] p1_functional      | anthropic_opus     | run 4 -> OK (1 attempt, 9.2s)
  [ 13/288] p1_functional      | anthropic_opus     | run 5 -> OK (1 attempt, 9.2s)
  [ 14/288] p1_functional      | anthropic_opus     | run 6 -> OK (1 attempt, 9.5s)
  [ 15/288] p1_functional      | anthropic_opus     | run 7 -> OK (1 attempt, 10.2s)
  [ 16/288] p1_functional      | anthropic_opus     | run 8 -> OK (1 attempt, 8.9s)
  [ 17/288] p1_functional      | openai_mini        | run 1 -> OK (1 attempt, 4.6s)
  [ 18/288] p1_functional      | openai_mini        | run 2 -> OK (1 attempt, 3.4s)
  [ 19/288] p1_functional      | openai_mini        | run 3 -> OK (1 attempt, 2.8s)
  [ 20/288] p1_functional      | openai_mini        | run 4 -> OK (1 attempt, 3.5s)
  [ 21/288] p1_functional      | openai_mini        | run 5 -> OK (1 attempt, 4.3s)
  [ 22/288] p1_functional      | openai_mini        | run 6 -> OK (1 attempt, 2.6s)
  [ 23/288] p1_functional      | openai_mini        | run 7 -> OK (1 attempt, 2.9s)
  [ 24/288] p1_functional      | openai_mini        | run 8 -> OK (1 attempt, 3.7s)
  [ 25/288] p1_functional      | openai_flagship    | run 1 -> OK (1 attempt, 8.6s)
  [ 26/288] p1_functional      | openai_flagship    | run 2 -> OK (1 attempt, 8.3s)
  [ 27/288] p1_functional      | openai_flagship    | run 3 -> OK (1 attempt, 10.7s)
  [ 28/288] p1_functional      | openai_flagship    | run 4 -> OK (1 attempt, 8.3s)
  [ 29/288] p1_functional      | openai_flagship    | run 5 -> OK (1 attempt, 7.6s)
  [ 30/288] p1_functional      | openai_flagship    | run 6 -> OK (1 attempt, 8.8s)
  [ 31/288] p1_functional      | openai_flagship    | run 7 -> OK (1 attempt, 7.2s)
  [ 32/288] p1_functional      | openai_flagship    | run 8 -> OK (1 attempt, 8.9s)
  [ 33/288] p1_functional      | google_flash       | run 1 -> OK (1 attempt, 17.0s)
  [ 34/288] p1_functional      | google_flash       | run 2 -> OK (4 attempts, 51.6s)
  [ 35/288] p1_functional      | google_flash       | run 3 -> OK (4 attempts, 56.1s)
  [ 36/288] p1_functional      | google_flash       | run 4 -> FAILED [transient_final] after 4 attempts (37.3s)
  [ 37/288] p1_functional      | google_flash       | run 5 -> OK (1 attempt, 14.6s)
  [ 38/288] p1_functional      | google_flash       | run 6 -> OK (4 attempts, 74.9s)
  [ 39/288] p1_functional      | google_flash       | run 7 -> FAILED [hard_error] after 4 attempts (85.6s)
  [ 40/288] p1_functional      | google_flash       | run 8 -> FAILED [hard_error] after 4 attempts (120.0s)
  [ 41/288] p1_functional      | xai_grok           | run 1 -> OK (1 attempt, 12.3s)
  [ 42/288] p1_functional      | xai_grok           | run 2 -> OK (1 attempt, 12.6s)
  [ 43/288] p1_functional      | xai_grok           | run 3 -> OK (1 attempt, 12.9s)
  [ 44/288] p1_functional      | xai_grok           | run 4 -> OK (1 attempt, 10.8s)
  [ 45/288] p1_functional      | xai_grok           | run 5 -> OK (1 attempt, 13.9s)
  [ 46/288] p1_functional      | xai_grok           | run 6 -> OK (1 attempt, 10.9s)
  [ 47/288] p1_functional      | xai_grok           | run 7 -> OK (1 attempt, 13.0s)
  [ 48/288] p1_functional      | xai_grok           | run 8 -> OK (1 attempt, 10.7s)
  [ 49/288] p2_contextual      | anthropic_sonnet   | run 1 -> OK (1 attempt, 8.0s)
  [ 50/288] p2_contextual      | anthropic_sonnet   | run 2 -> OK (1 attempt, 8.3s)
  [ 51/288] p2_contextual      | anthropic_sonnet   | run 3 -> OK (1 attempt, 8.2s)
  [ 52/288] p2_contextual      | anthropic_sonnet   | run 4 -> OK (1 attempt, 8.7s)
  [ 53/288] p2_contextual      | anthropic_sonnet   | run 5 -> OK (1 attempt, 8.7s)
  [ 54/288] p2_contextual      | anthropic_sonnet   | run 6 -> OK (1 attempt, 7.6s)
  [ 55/288] p2_contextual      | anthropic_sonnet   | run 7 -> OK (1 attempt, 8.3s)
  [ 56/288] p2_contextual      | anthropic_sonnet   | run 8 -> OK (1 attempt, 7.9s)
  [ 57/288] p2_contextual      | anthropic_opus     | run 1 -> OK (1 attempt, 13.3s)
  [ 58/288] p2_contextual      | anthropic_opus     | run 2 -> OK (1 attempt, 12.0s)
  [ 59/288] p2_contextual      | anthropic_opus     | run 3 -> OK (1 attempt, 13.1s)
  [ 60/288] p2_contextual      | anthropic_opus     | run 4 -> OK (1 attempt, 11.9s)
  [ 61/288] p2_contextual      | anthropic_opus     | run 5 -> OK (1 attempt, 14.8s)
  [ 62/288] p2_contextual      | anthropic_opus     | run 6 -> OK (1 attempt, 15.4s)
  [ 63/288] p2_contextual      | anthropic_opus     | run 7 -> OK (1 attempt, 13.2s)
  [ 64/288] p2_contextual      | anthropic_opus     | run 8 -> OK (1 attempt, 15.7s)
  [ 65/288] p2_contextual      | openai_mini        | run 1 -> OK (1 attempt, 5.8s)
  [ 66/288] p2_contextual      | openai_mini        | run 2 -> OK (1 attempt, 4.3s)
  [ 67/288] p2_contextual      | openai_mini        | run 3 -> OK (1 attempt, 8.7s)
  [ 68/288] p2_contextual      | openai_mini        | run 4 -> OK (1 attempt, 6.4s)
  [ 69/288] p2_contextual      | openai_mini        | run 5 -> OK (1 attempt, 9.0s)
  [ 70/288] p2_contextual      | openai_mini        | run 6 -> OK (1 attempt, 6.6s)
  [ 71/288] p2_contextual      | openai_mini        | run 7 -> OK (1 attempt, 5.5s)
  [ 72/288] p2_contextual      | openai_mini        | run 8 -> OK (1 attempt, 6.9s)
  [ 73/288] p2_contextual      | openai_flagship    | run 1 -> OK (1 attempt, 35.0s)
  [ 74/288] p2_contextual      | openai_flagship    | run 2 -> OK (1 attempt, 24.8s)
  [ 75/288] p2_contextual      | openai_flagship    | run 3 -> OK (1 attempt, 27.8s)
  [ 76/288] p2_contextual      | openai_flagship    | run 4 -> OK (1 attempt, 24.4s)
  [ 77/288] p2_contextual      | openai_flagship    | run 5 -> OK (1 attempt, 26.5s)
  [ 78/288] p2_contextual      | openai_flagship    | run 6 -> OK (1 attempt, 21.5s)
  [ 79/288] p2_contextual      | openai_flagship    | run 7 -> OK (1 attempt, 21.8s)
  [ 80/288] p2_contextual      | openai_flagship    | run 8 -> OK (1 attempt, 19.4s)
  [ 81/288] p2_contextual      | google_flash       | run 1 -> FAILED [rate_limit_final] after 4 attempts (133.5s)
  [ 82/288] p2_contextual      | google_flash       | run 2 -> FAILED [rate_limit_final] after 4 attempts (180.0s)
  [ 83/288] p2_contextual      | google_flash       | run 3 -> FAILED [rate_limit_final] after 4 attempts (180.1s)
  [ 84/288] p2_contextual      | google_flash       | run 4 -> OK (1 attempt, 19.2s)
  [ 85/288] p2_contextual      | google_flash       | run 5 -> OK (1 attempt, 18.0s)
  [ 86/288] p2_contextual      | google_flash       | run 6 -> OK (3 attempts, 102.2s)
  [ 87/288] p2_contextual      | google_flash       | run 7 -> OK (1 attempt, 19.8s)
  [ 88/288] p2_contextual      | google_flash       | run 8 -> FAILED [rate_limit_final] after 4 attempts (141.0s)
  [ 89/288] p2_contextual      | xai_grok           | run 1 -> OK (1 attempt, 17.2s)
